date,moisture,light,humidity,temperature,price
2 1 2017,79,34,78,54,42
2 1 2017,63,32,69,83,48
2 1 2017,70,25,47,67,46
2 1 2017,59,55,66,57,78
2 1 2017,33,28,70,80,47
3 1 2017,71,50,85,73,35
3 1 2017,78,46,73,74,62
3 1 2017,55,57,62,63,72
3 1 2017,47,28,62,82,56
3 1 2017,42,70,80,64,43
4 1 2017,78,34,61,55,65
4 1 2017,65,51,46,51,80
4 1 2017,47,46,77,76,31
4 1 2017,49,54,58,85,56
4 1 2017,58,62,70,60,40
5 1 2017,45,66,42,50,47
5 1 2017,55,66,48,72,73
5 1 2017,32,34,71,68,54
5 1 2017,85,51,65,64,50
5 1 2017,73,25,55,64,36
6 1 2017,56,29,53,54,36
6 1 2017,52,74,58,54,40
6 1 2017,35,75,72,78,67
6 1 2017,72,51,40,57,51
6 1 2017,63,27,54,83,75
7 1 2017,66,40,60,70,74
7 1 2017,60,75,50,60,72
7 1 2017,74,26,49,50,31
7 1 2017,53,63,66,73,51
7 1 2017,61,25,68,75,38
8 1 2017,68,72,82,46,42
8 1 2017,51,74,61,84,73
8 1 2017,74,53,43,77,73
8 1 2017,35,45,51,78,49
8 1 2017,49,55,56,82,83
9 1 2017,36,49,73,83,48
9 1 2017,52,52,67,55,56
9 1 2017,32,48,71,48,85
9 1 2017,59,44,82,60,56
9 1 2017,39,70,54,68,82
10 1 2017,44,58,47,67,36
10 1 2017,34,47,59,62,49
10 1 2017,85,54,60,79,50
10 1 2017,56,51,75,60,31
10 1 2017,72,48,62,58,69
11 1 2017,55,66,43,85,65
11 1 2017,71,59,67,62,54
11 1 2017,58,62,77,78,75
11 1 2017,67,34,50,65,53
11 1 2017,70,46,41,65,74
12 1 2017,80,68,77,70,44
12 1 2017,48,45,46,76,61
12 1 2017,81,62,78,83,42
12 1 2017,65,64,42,73,35
12 1 2017,42,37,67,48,44
13 1 2017,44,55,80,75,81
13 1 2017,63,59,65,46,54
13 1 2017,50,64,82,49,83
13 1 2017,51,68,40,49,65
13 1 2017,59,59,49,52,50
14 1 2017,84,52,72,76,48
14 1 2017,44,64,63,45,66
14 1 2017,36,41,43,68,43
14 1 2017,73,39,49,70,45
14 1 2017,35,38,56,68,44
15 1 2017,50,58,49,54,70
15 1 2017,64,48,84,65,71
15 1 2017,62,72,64,51,83
15 1 2017,66,49,71,57,80
15 1 2017,70,74,57,49,83
16 1 2017,66,34,67,80,60
16 1 2017,50,35,46,46,46
16 1 2017,31,69,51,58,80
16 1 2017,32,58,81,83,30
16 1 2017,51,49,76,75,83
17 1 2017,53,58,40,52,85
17 1 2017,36,26,58,69,75
17 1 2017,71,43,54,67,63
17 1 2017,70,59,41,70,33
17 1 2017,35,72,55,45,35
18 1 2017,64,54,67,59,48
18 1 2017,85,73,85,54,49
18 1 2017,43,74,68,68,37
18 1 2017,68,50,77,63,41
18 1 2017,57,45,68,64,59
19 1 2017,75,42,61,51,68
19 1 2017,64,46,81,73,74
19 1 2017,38,52,64,55,52
19 1 2017,48,71,53,69,31
19 1 2017,43,51,77,59,65
20 1 2017,47,39,40,85,65
20 1 2017,67,31,60,83,82
20 1 2017,63,48,53,53,69
20 1 2017,63,48,74,59,57
20 1 2017,56,35,81,79,75
21 1 2017,49,37,77,57,85
21 1 2017,45,43,72,74,43
21 1 2017,73,70,49,45,30
21 1 2017,71,66,54,61,34
21 1 2017,58,34,81,52,74
22 1 2017,35,32,74,67,75
22 1 2017,49,46,64,51,34
22 1 2017,63,64,78,68,66
22 1 2017,83,66,47,72,39
22 1 2017,61,56,41,65,58
23 1 2017,66,44,84,51,47
23 1 2017,32,69,41,65,79
23 1 2017,79,45,65,83,85
23 1 2017,33,42,76,71,67
23 1 2017,73,72,56,60,50
24 1 2017,52,58,55,53,55
24 1 2017,74,38,76,64,43
24 1 2017,82,27,82,83,71
24 1 2017,66,59,67,84,43
24 1 2017,74,64,40,66,36
25 1 2017,30,50,54,73,61
25 1 2017,48,50,75,54,34
25 1 2017,81,34,55,81,83
25 1 2017,43,72,74,45,35
25 1 2017,32,69,66,72,84
26 1 2017,41,61,82,59,39
26 1 2017,32,33,75,50,34
26 1 2017,30,46,44,69,67
26 1 2017,73,64,46,78,66
26 1 2017,41,56,41,72,77
27 1 2017,69,58,53,52,61
27 1 2017,66,47,62,64,77
27 1 2017,77,51,46,62,32
27 1 2017,83,45,53,52,50
27 1 2017,51,26,61,64,46
28 1 2017,49,52,45,83,47
28 1 2017,60,35,60,62,55
28 1 2017,63,46,80,61,54
28 1 2017,66,61,75,83,67
28 1 2017,38,47,68,74,62
29 1 2017,81,63,61,53,85
29 1 2017,57,53,75,83,31
29 1 2017,85,65,82,52,36
29 1 2017,70,55,66,46,30
29 1 2017,58,27,61,62,39
30 1 2017,77,49,45,59,84
30 1 2017,58,32,59,53,35
30 1 2017,63,30,74,69,71
30 1 2017,76,74,46,49,61
30 1 2017,36,30,74,48,59
31 1 2017,78,57,49,74,47
31 1 2017,31,26,82,64,60
31 1 2017,37,25,55,61,46
31 1 2017,31,49,70,80,79
31 1 2017,64,52,45,62,79
1 2 2017,62,74,52,66,62
1 2 2017,47,68,51,64,84
1 2 2017,43,44,68,53,56
1 2 2017,55,62,41,74,79
1 2 2017,81,66,74,82,42
2 2 2017,53,46,77,85,55
2 2 2017,56,52,45,59,80
2 2 2017,74,55,67,60,42
2 2 2017,30,67,43,68,61
2 2 2017,41,68,58,66,36
3 2 2017,69,52,60,69,43
3 2 2017,84,69,47,77,30
3 2 2017,74,73,72,64,61
3 2 2017,50,50,74,73,62
3 2 2017,58,47,51,54,82
4 2 2017,44,38,62,65,67
4 2 2017,62,25,72,49,48
4 2 2017,32,68,60,68,75
4 2 2017,37,69,55,49,45
4 2 2017,34,57,41,77,33
5 2 2017,68,27,62,72,58
5 2 2017,43,32,58,47,61
5 2 2017,44,41,73,63,59
5 2 2017,51,47,54,57,49
5 2 2017,48,25,62,76,38
6 2 2017,38,26,45,62,70
6 2 2017,46,72,58,52,43
6 2 2017,52,75,62,74,59
6 2 2017,78,38,65,50,64
6 2 2017,52,62,63,83,47
7 2 2017,52,39,81,59,42
7 2 2017,80,56,69,58,69
