Entity,alternative_name,story,year,records_lost,organization,breach_cause,records_rounded,severity,impact
Experian / T-mobile,,"The world's biggest data monitoring firm disclosed a massive breach of customers who applied for service with T-Mobile. Names, addresses, birth dates, Social Security numbers, drivers license numbers and passport numbers.",2015,15000000,web,hacked,15000,3,45000
Telegram ,Instant messaging service,"Despite Telegram's claims of super security, they've been hacked by a group called Rocket Kitten. ",2017,15000000,tech,hacked,15000,1,15000
"T-Mobile, Deutsche Telecom",,"Thieves got their hands on a storage device with the data, which included the names, addresses, cell phone numbers, and some birth dates and e-mail addresses for high-profile German citizens. The company said the records did not contain bank details, credit card numbers, or call data.",2006,17000000,telecoms,lost / stolen device or media,17000,1,17000
Zomato,Restaurants & events,The hacker is selling the stolen dataset for around $1000. ,2017,17000000,web,hacked,17000,4,68000
Disqus,,"hackers 17.5m email addresses in July 2012. About a third of those accounts contained passwords, which were hashed using the dated SHA-1 algorithm",2012,17500000,web,hacked,17500,4,70000
Auction.co.kr,South Korea's largest online shopping site,,2008,18000000,web,hacked,18000,3,54000
AOL,American Online,"Durp. AOL VOLUNTARILY released search data for roughly 20 million web queries from 658,000 anonymized users of the service. No one is quite sure why.",2006,20000000,web,accidentally published,20000,1,20000
Korea Credit Bureau,,,2014,20000000,financial,inside job,20000,5,100000
US Office of Personnel Management (2nd Breach),,"attackers have targeted the forms submitted by intelligence and military personnel for security clearances. The document includes personal information - everything from eye colour, to financial history, to past substance abuse, as well as contact details for the individual's friends and relatives",2015,21500000,government,hacked,21500,5,107500
Yahoo Japan,,22 million Yahoo user IDs may have been leaked after Yahoo detected an unauthorized attempt to access the administrative system of its web portal Yahoo Japan. The leaked information did not include passwords and data necessary for identity verification to reset passwords.,2013,22000000,"tech, web",hacked,22000,1,22000
Zappos,,,2012,24000000,web,hacked,24000,2,48000
Sony Online Entertainment,,"Hacked by LulzSec. In addition to the Sony Playstation Network breach, compromised 77 million records. More than 23,000 lost financial data, according to Sony.",2011,24600000,gaming,hacked,24600,3,73800
UK Revenue & Customs,HMRC,A set of discs containing confidential details of 25 million child benefit recipients was lost.,2007,25000000,government,lost / stolen device or media,25000,1,25000
Mail. ru,Game-related forums,Two hackers attacked three game-related forums hosted by Russian company Mail.ru. ,2016,25000000,web,hacked,25000,2,50000
US Dept of Vet Affairs,,The Veterans Affairs Department agreed to pay $20 million to settle a class action lawsuit over the loss of a laptop. The department originally took three weeks to report the theft. The laptop was recovered with the data apparently intact a month after it was reported stolen. But it is impossible to say with absolute certainty that the data was not accessed and copied.  ,2006,26500000,"government, military",lost / stolen device or media,26500,2,53000
Tianya,"Usernames, clear tect passwords and email addresses hacked. ",blogging site,2011,28000000,web,hacked,28000,1,28000
