Region,2009,2010,2011,2012,2013,2014,2015,2016
Qazaqstan,0.28032816,0.2841856559,0.2795244682,0.2945877181,0.3056272893,0.3305947479,0.3582265122,0.3669178981
Aqmola,0.3259382819,0.3458863444,0.3714331261,0.384045672,0.4154597234,0.4536082474,0.4726440988,0.4907597536
Aqtobe,0.2605189855,0.2585967831,0.2420085878,0.2606920023,0.2733122733,0.3019127391,0.3354315289,0.3631119657
Almaty,0.2200825309,0.2348372562,0.227527311,0.2449453624,0.268957222,0.2939267501,0.3379775838,0.3335266074
Atyrau,0.2025009332,0.2046299425,0.2226544266,0.2476250792,0.250782666,0.2906368393,0.2938983716,0.2913256956
West KZ,0.2854970538,0.2683146878,0.2698412698,0.2901034929,0.314910859,0.3395019025,0.342299678,0.3645584726
Zhambyl, 0.1817357806,0.2047751249,0.2003837996,0.2145006309,0.2377507716,0.2705148206,0.3006606607,0.3059275794
Qaraghandy, 0.3729025795,0.3763326226,0.3722832261,0.3971755725,0.4310436838,0.4504212573,0.4603257556,0.4701339784
Qostanay,0.4580354367,0.4532212044,0.4185400688,0.4769746023,0.4798313422,0.506751631,0.5051417887,0.5556147832
Qyzylorda, 0.2128979592,0.2135131131,0.2116085752,0.2169022209,0.2221614227,0.2419820641,0.2954272992,0.3220788404
Manghystau, 0.2064220183,0.178756015,0.189833201,0.2198741007,0.2266500623,0.2586264101,0.2425077506,0.262374462
South KZ, 0.1249164997,0.1387775782,0.1312741313,0.1535821895,0.1587307634,0.1862071871,0.2271602676,0.2384021788
Pavlodar,0.425340818,0.4236582357,0.4285100902,0.436876603,0.4699825986,0.5027658267,0.5340408163,0.5716218829
North KZ, 0.397415552,0.4218540081,0.3772106109,0.4205277374,0.4360600296,0.4819196429,0.4961389961,0.5754346607
East KZ,0.361328125,0.3817246491,0.3567164179,0.3629504158,0.3810177768,0.408183226,0.4576878302,0.4754418514
Astana city,0.304159833,0.2725301531,0.2920189969,0.2832695792,0.3060626123,0.3106412843,0.3378221707,0.3268430835
Almaty city,0.3842215499,0.385935853,0.3929309485,0.3729329276,0.3436761408,0.3400266188,0.3587874581,0.3578764038
