Region,No Kids,1 Kid,2+ Kids
Qazaqstan, 31.71,18.29,50.00
Aqmola, 32.45,17.55,50.00
Aqtobe, 31.35,18.65,50.00
Almaty, 30.51,19.49,50.00
Atyrau, 27.74,22.26,50.00
West KZ, 34.50,15.50,50.00
Zhambyl,25.82,24.18,50.00
Qaraghandy,34.42,15.58,50.00
Qostanay, 36.42,13.58,50.00
Qyzylorda,24.85,25.15,50.00
Manghystau,26.61,23.39,50.00
South KZ,23.73,26.27,50.00
Pavlodar, 35.66,14.34,50.00
North KZ,35.45,14.55,50.00
East KZ, 36.12,13.88,50.00
Astana city, 31.92,18.08,50.00
Almaty city, 33.21,16.79,50.00
