State,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 19 Years,20 Years and Over
Almaty city, 18707, 11192, 5288, 3558, 6194
Qaraghandy, 14485, 10482, 5092, 4062, 6606
Almaty, 13630, 9881, 4944, 3523, 5096
East KZ, 13386, 9506, 4753, 3589, 6634
South KZ, 12144, 8272, 4177, 2957, 3703
Astana city, 9822, 6102, 2824, 1845, 3042
Qostanay, 8699, 6239, 3305, 2680, 4748
Pavlodar, 8482, 6018, 2986, 2459, 4255
Aqtobe, 6812, 4481, 2178, 1663, 2437
Zhambyl, 6757, 4615, 2310, 1613, 2383
Aqmola, 6400, 4556, 2526, 1932, 3607
Kyzylorda, 5640, 3259, 1556, 1003, 1004
North KZ, 4935, 3908, 2029, 1725, 3271
Manghystau, 4733, 2701, 1310, 870, 967
West KZ, 4709, 3680, 1845, 1322, 2422
Atyrau, 4557, 3144, 1557, 966, 1122 
