"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12"
97564,"94109","San Francisco","CA","San Francisco","San Francisco",10,2957,2958,2962,2968,2964,2953,2931,2911,2892,2930,2994,3067,3112,3135,3143,3141,3167,3214,3260,3295,3336,3359,3338,3278,3231,3238,3302,3396,3469,3524,3575,3619,3659,3688,3724,3762,3834,3909,3963,3971,3954,3945,3948,3953,3960,3964,3985,4034,4107,4190,4269,4339,4400,4451,4503,4561,4618,4663,4698,4723,4725,4678,4623,4581,4571,4564,4556,4539,4515,4490,4475,4468,4455,4436,4418,4401,4387,4374,4363,4356,4352,4348,4341,4334,4319,4295
96107,"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",20,2010,1983,1975,1974,1963,1949,1931,1905,1877,1851,1835,1817,1792,1763,1743,1742,1759,1783,1821,1847,1845,1816,1800,1805,1827,1841,1838,1822,1830,1831,1852,1850,1843,1828,1823,1845,1859,1869,1854,1838,1813,1782,1735,1724,1782,1881,1978,2038,2076,2108,2128,2156,2147,2151,2144,2166,2172,2174,2170,2159,2165,2182,2217,2244,2294,2335,2373,2383,2377,2371,2361,2358,2363,2381,2400,2421,2434,2452,2472,2499,2516,2525,2518,2505,2489,2480
96027,"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",32,2251,2261,2273,2291,2302,2302,2296,2292,2287,2272,2269,2281,2304,2305,2298,2306,2318,2335,2339,2345,2348,2356,2362,2356,2368,2369,2379,2371,2368,2367,2381,2381,2380,2372,2368,2367,2377,2386,2396,2393,2396,2401,2410,2418,2440,2481,2522,2549,2572,2597,2637,2667,2679,2674,2664,2667,2676,2700,2722,2746,2755,2762,2770,2788,2811,2845,2879,2906,2923,2920,2912,2910,2911,2908,2907,2903,2901,2905,2916,2930,2937,2936,2928,2925,2930,2939
97771,"94565","Pittsburg","CA","San Francisco","Contra Costa",33,1436,1412,1382,1347,1313,1287,1272,1263,1272,1278,1280,1263,1241,1231,1229,1235,1241,1246,1251,1261,1263,1257,1251,1253,1254,1265,1276,1288,1298,1300,1294,1284,1276,1273,1280,1289,1288,1292,1303,1318,1331,1340,1349,1358,1362,1373,1390,1413,1430,1446,1458,1466,1474,1487,1501,1522,1538,1558,1573,1587,1597,1614,1636,1654,1678,1700,1724,1743,1761,1776,1788,1804,1822,1842,1855,1862,1870,1877,1883,1885,1888,1890,1892,1892,1892,1895
97711,"94501","Alameda","CA","San Francisco","Alameda",68,1943,1921,1830,1701,1599,1531,1487,1455,1430,1442,1470,1505,1492,1488,1506,1534,1568,1602,1634,1659,1662,1637,1599,1577,1562,1572,1578,1612,1656,1708,1732,1730,1692,1648,1634,1655,1684,1727,1780,1835,1873,1896,1923,1959,2015,2051,2077,2080,2089,2114,2138,2175,2215,2251,2282,2320,2395,2488,2574,2616,2635,2675,2719,2752,2754,2729,2722,2726,2746,2771,2798,2830,2849,2853,2845,2847,2854,2870,2883,2892,2877,2859,2843,2839,2819,2790
97565,"94110","San Francisco","CA","San Francisco","San Francisco",72,3391,3465,3488,3435,3339,3255,3183,3135,3102,3120,3162,3193,3222,3216,3236,3263,3296,3328,3356,3372,3378,3360,3325,3300,3281,3252,3268,3348,3467,3560,3616,3650,3678,3697,3690,3693,3742,3804,3876,3906,3898,3882,3877,3885,3902,3943,3997,4076,4140,4197,4246,4320,4412,4512,4615,4708,4799,4844,4898,4929,4980,4997,5023,5010,4988,4972,4957,4945,4924,4900,4867,4826,4805,4770,4742,4682,4654,4643,4653,4658,4673,4706,4758,4804,4824,4812
96015,"90034","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",75,2166,2154,2148,2152,2149,2142,2126,2110,2091,2066,2051,2046,2049,2039,2042,2050,2059,2046,2034,2043,2054,2063,2050,2037,2032,2045,2061,2072,2080,2097,2118,2134,2139,2139,2140,2146,2162,2173,2183,2188,2188,2192,2195,2204,2241,2294,2359,2398,2425,2446,2460,2473,2482,2506,2517,2527,2533,2543,2558,2579,2603,2627,2657,2669,2699,2724,2764,2782,2789,2792,2791,2799,2804,2804,2807,2808,2808,2808,2810,2819,2824,2819,2817,2815,2818,2816
96025,"90044","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",81,1590,1585,1572,1554,1536,1535,1550,1561,1587,1603,1626,1617,1588,1541,1505,1495,1505,1524,1536,1534,1527,1516,1515,1526,1543,1572,1593,1607,1620,1634,1642,1643,1625,1616,1601,1607,1604,1611,1618,1616,1610,1585,1566,1566,1590,1631,1676,1718,1752,1774,1785,1795,1791,1793,1791,1802,1811,1811,1815,1816,1828,1844,1870,1894,1916,1933,1948,1967,1980,1995,2002,2008,2017,2037,2067,2102,2132,2159,2185,2203,2214,2212,2213,2214,2220,2235
96193,"90650","Norwalk","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",84,1758,1747,1735,1719,1705,1694,1684,1668,1660,1669,1690,1707,1705,1697,1687,1678,1673,1672,1669,1677,1684,1688,1689,1691,1695,1704,1714,1724,1729,1732,1737,1739,1749,1750,1751,1747,1750,1760,1768,1769,1765,1765,1764,1774,1781,1789,1797,1802,1808,1824,1852,1868,1878,1889,1906,1924,1930,1931,1925,1921,1917,1916,1924,1944,1975,2002,2020,2026,2033,2035,2046,2061,2076,2086,2101,2109,2119,2123,2130,2135,2144,2157,2173,2191,2205,2220
96239,"90805","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",85,1553,1563,1564,1570,1559,1554,1552,1542,1540,1548,1568,1582,1572,1545,1516,1504,1509,1520,1528,1516,1501,1489,1494,1502,1525,1545,1583,1611,1636,1653,1664,1676,1671,1663,1645,1638,1624,1621,1620,1617,1601,1580,1553,1550,1569,1614,1662,1692,1719,1722,1732,1734,1744,1758,1774,1804,1821,1821,1809,1800,1820,1845,1861,1869,1878,1890,1911,1926,1952,1967,1983,1997,2008,2018,2039,2062,2083,2101,2123,2138,2145,2142,2141,2147,2156,2177
