Position,Track,Artist,Streams,ADMIN
1,Échame La Culpa,Luis Fonsi,27913,Ecuador
2,Criminal,Natti Natasha,24455,Ecuador
3,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,23461,Ecuador
4,Sensualidad,Bad Bunny,23217,Ecuador
5,Mayores,Becky G,20097,Ecuador
6,Corazón,Maluma,19835,Ecuador
7,Se Preparó,Ozuna,18907,Ecuador
8,Robarte un Beso,Carlos Vives,18396,Ecuador
9,Suena El Dembow,Joey Montana,18333,Ecuador
10,Que Va,Alex Sensation,18164,Ecuador
1,113,Booba,479164,France
2,Drapeau noir,Booba,455768,France
3,Ridin',Booba,455212,France
4,Trône,Booba,447957,France
5,Friday,Booba,438010,France
6,Petite fille,Booba,432349,France
7,Centurion,Booba,410109,France
8,Bouyon,Booba,372252,France
9,Ça va aller,Booba,359289,France
10,Terrain,Booba,344360,France
1,Sensualidad,Bad Bunny,268648,Argentina
2,Criminal,Natti Natasha,249610,Argentina
3,She Don't Give a FO (feat. Khea),Duki,212223,Argentina
4,Échame La Culpa,Luis Fonsi,211465,Argentina
5,Se Preparó,Ozuna,195682,Argentina
6,Corazón,Maluma,188964,Argentina
7,Mayores,Becky G,180277,Argentina
8,Perro Fiel,Shakira,173465,Argentina
9,Que Va,Alex Sensation,161701,Argentina
10,Suena El Dembow,Joey Montana,160901,Argentina
1,Solmussa (feat. BEHM),Pikku G,126813,Finland
2,Nössö,Petri Nygård,80871,Finland
3,rockstar,Post Malone,77547,Finland
4,Kaadutaan,Nikke Ankara,73235,Finland
5,Enkelit,Cheek,68903,Finland
6,Manteli,Teflon Brothers,60858,Finland
7,Kelpaat kelle vaan (Vain elämää kausi 7) [feat. Apocalyptica],SANNI,54866,Finland
8,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,50891,Finland
9,"Kynnet, Kynnet",Pyhimys,49170,Finland
10,Wolves,Selena Gomez,48991,Finland
1,All Falls Down,Alan Walker,129896,Norway
2,All I Want for Christmas Is You,Mariah Carey,129115,Norway
3,Home for Christmas,Maria Mena,125198,Norway
4,rockstar,Post Malone,119548,Norway
5,Strongest,Ina Wroldsen,116687,Norway
6,Last Christmas,Wham!,113258,Norway
7,Let You Down,NF,103554,Norway
8,Himmel På Jord,Kurt Nilsen,96155,Norway
9,Wolves,Selena Gomez,95000,Norway
10,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,92829,Norway
1,Perdonami,Salmo,228675,Italy
2,La musica non c'è,Coez,194010,Italy
3,RAP (feat. Izi),Charlie Charles,191131,Italy
4,Favorisca i sentimenti,J-AX,149845,Italy
5,Irraggiungibile (feat. Federica),Shade,147902,Italy
6,La legge del più forte,Tedua,133456,Italy
7,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,128342,Italy
8,rockstar,Post Malone,123634,Italy
9,Perfect,Ed Sheeran,122933,Italy
10,Giovane Fuoriclasse,Capo Plaza,120340,Italy
1,rockstar,Post Malone,4225,Lithuania
2,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,3608,Lithuania
3,All I Want for Christmas Is You,Mariah Carey,3052,Lithuania
4,Wolves,Selena Gomez,3014,Lithuania
5,Havana,Camila Cabello,2517,Lithuania
6,What Lovers Do (feat. SZA),Maroon 5,2407,Lithuania
7,Let You Down,NF,2375,Lithuania
8,Dusk Till Dawn - Radio Edit,ZAYN,2305,Lithuania
9,Last Christmas,Wham!,2276,Lithuania
10,Gucci Gang,Lil Pump,2230,Lithuania
1,Perfect,Ed Sheeran,214187,Philippines
2,Too Good At Goodbyes,Sam Smith,209229,Philippines
3,Titibo-Tibo,Moira Dela Torre,203009,Philippines
4,Havana,Camila Cabello,201238,Philippines
5,What Lovers Do (feat. SZA),Maroon 5,178819,Philippines
6,Young Dumb & Broke,Khalid,169471,Philippines
7,New Rules,Dua Lipa,161341,Philippines
8,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,143003,Philippines
9,Wolves,Selena Gomez,139478,Philippines
10,I Like Me Better,Lauv,130482,Philippines
1,Wolves,Selena Gomez,26541,Taiwan
2,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,20555,Taiwan
3,What Lovers Do (feat. SZA),Maroon 5,19842,Taiwan
4,Too Good At Goodbyes,Sam Smith,18772,Taiwan
5,So Far Away,Martin Garrix,18494,Taiwan
6,Havana,Camila Cabello,17731,Taiwan
7,All Falls Down,Alan Walker,17098,Taiwan
8,How Long,Charlie Puth,16880,Taiwan
9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,16265,Taiwan
