Position,Track Name,Artist,Streams,ADMIN
1,Felices los 4,Maluma,27072,Ecuador
2,Me Rehúso,Danny Ocean,25147,Ecuador
3,Una Lady Como Tú,Manuel Turizo,21814,Ecuador
4,Báilame,Nacho,20347,Ecuador
5,Escápate Conmigo,Wisin,19249,Ecuador
6,Mi Gente,J Balvin,18897,Ecuador
7,Hey DJ,CNCO,17590,Ecuador
8,Shape of You,Ed Sheeran,16470,Ecuador
9,Ahora Dice,Chris Jeday,15326,Ecuador
10,Bonita,J Balvin,13543,Ecuador
1,?. Macarena,Damso,151852,France
2,Despacito - Remix,Luis Fonsi,148562,France
3,Shape of You,Ed Sheeran,146701,France
4,Wild Thoughts,DJ Khaled,125897,France
5,Ma jolie,Jul,114376,France
6,Chocolat (feat. Awa),Lartiste,109620,France
7,Despacito (Featuring Daddy Yankee),Luis Fonsi,107101,France
8,I'm the One,DJ Khaled,101351,France
9,Attention,Charlie Puth,100639,France
10,Unforgettable,French Montana,95965,France
1,Felices los 4,Maluma,242675,Argentina
2,Me Rehúso,Danny Ocean,218178,Argentina
3,Hey DJ,CNCO,180049,Argentina
4,Escápate Conmigo,Wisin,171794,Argentina
5,Ahora Dice,Chris Jeday,168948,Argentina
6,Tu Foto,Ozuna,138027,Argentina
7,Shape of You,Ed Sheeran,134863,Argentina
8,Bonita,J Balvin,131836,Argentina
9,Despacito - Remix,Luis Fonsi,126520,Argentina
10,Despacito (Featuring Daddy Yankee),Luis Fonsi,124164,Argentina
1,Despacito - Remix,Luis Fonsi,82495,Finland
2,Juna,Spekti,79712,Finland
3,Hanuri (feat. Boyat),Antti Tuisku,78151,Finland
4,2U (feat. Justin Bieber),David Guetta,65226,Finland
5,More Than You Know,Axwell /\ Ingrosso,63681,Finland
6,Meidän biisi,Arttu Wiskari,61155,Finland
7,Riippumatto,Mikael Gabriel,60728,Finland
8,Neljä Vuodenaikaa,Petri Nygård,60338,Finland
9,Hula Hula,Robin,58220,Finland
10,Wild Thoughts,DJ Khaled,57044,Finland
1,Despacito - Remix,Luis Fonsi,221686,Norway
2,Summer Air,ItaloBrothers,154052,Norway
3,2U (feat. Justin Bieber),David Guetta,146369,Norway
4,Fy Faen,Hkeem,129404,Norway
5,More Than You Know,Axwell /\ Ingrosso,124727,Norway
6,Wild Thoughts,DJ Khaled,121259,Norway
7,I'm the One,DJ Khaled,105054,Norway
8,One Night Stand,Vidar Villa,99479,Norway
9,Håper du har plass,Cezinando,92175,Norway
10,Mama,Jonas Blue,91120,Norway
1,Lamborghini,Gue Pequeno,238868,Italy
2,Senza Pagare VS T-Pain,J-AX,155973,Italy
3,Scarafaggio,Gue Pequeno,134622,Italy
4,Relaxxx,Gue Pequeno,134564,Italy
5,Thunder,Imagine Dragons,125668,Italy
6,Pamplona,Fabri Fibra,120134,Italy
7,Tran Tran,Sfera Ebbasta,115016,Italy
8,Volare,Fabio Rovazzi,110887,Italy
9,Despacito (Featuring Daddy Yankee),Luis Fonsi,110590,Italy
10,Happy Days,Ghali,108724,Italy
1,2U (feat. Justin Bieber),David Guetta,3342,Lithuania
2,Thunder,Imagine Dragons,3303,Lithuania
3,Despacito - Remix,Luis Fonsi,3125,Lithuania
4,There for You,Martin Garrix,2964,Lithuania
5,Feels,Calvin Harris,2782,Lithuania
6,Wild Thoughts,DJ Khaled,2765,Lithuania
7,More Than You Know,Axwell /\ Ingrosso,2686,Lithuania
8,Unforgettable,French Montana,2615,Lithuania
9,I'm the One,DJ Khaled,2475,Lithuania
10,Mama,Jonas Blue,2453,Lithuania
1,Despacito - Remix,Luis Fonsi,292156,Philippines
2,I'm the One,DJ Khaled,198443,Philippines
3,Strip That Down,Liam Payne,141355,Philippines
4,Mama,Jonas Blue,140832,Philippines
5,Shape of You,Ed Sheeran,130875,Philippines
6,Something Just Like This,The Chainsmokers,124963,Philippines
7,Attention,Charlie Puth,124553,Philippines
8,There for You,Martin Garrix,120821,Philippines
9,2U (feat. Justin Bieber),David Guetta,120749,Philippines
10,Thunder,Imagine Dragons,113976,Philippines
1,?? - ???<???????>???,Crowd Lu,25796,Taiwan
