Position,Track,Artist,Streams,ADMIN
1,Reggaetón Lento (Bailemos),CNCO,19272,Ecuador
2,Chantaje,Shakira,19270,Ecuador
3,Otra Vez (feat. J Balvin),Zion & Lennox,15761,Ecuador
4,Vente Pa' Ca,Ricky Martin,14954,Ecuador
5,Safari,J Balvin,14269,Ecuador
6,La Bicicleta,Carlos Vives,12843,Ecuador
7,Ay Mi Dios,IAmChino,10986,Ecuador
8,Andas En Mi Cabeza,Chino & Nacho,10653,Ecuador
9,Traicionera,Sebastian Yatra,9807,Ecuador
10,Shaky Shaky,Daddy Yankee,9612,Ecuador
1,One Dance,Drake,89403,France
2,Starboy,The Weeknd,80882,France
3,24K Magic,Bruno Mars,80838,France
4,My Way,Calvin Harris,72133,France
5,Mauvaise graine,Nekfeu,71082,France
6,Squa,Nekfeu,70542,France
7,Let Me Love You,DJ Snake,69647,France
8,Afro Trap Pt. 7 (La puissance),MHD,62394,France
9,Black Beatles,Rae Sremmurd,60080,France
10,Tchoin,Kaaris,59226,France
1,Chantaje,Shakira,253019,Argentina
2,Vente Pa' Ca,Ricky Martin,223988,Argentina
3,Reggaetón Lento (Bailemos),CNCO,210943,Argentina
4,Safari,J Balvin,173865,Argentina
5,Shaky Shaky,Daddy Yankee,153956,Argentina
6,Traicionera,Sebastian Yatra,151140,Argentina
7,Cuando Se Pone a Bailar,Rombai,148369,Argentina
8,Otra Vez (feat. J Balvin),Zion & Lennox,143004,Argentina
9,La Bicicleta,Carlos Vives,126389,Argentina
10,Dile Que Tu Me Quieres,Ozuna,112012,Argentina
1,Hukutaan,Arttu Lindeman,60220,Finland
2,Alone,Alan Walker,56319,Finland
3,Loistat Pimeäs,Mikael Gabriel,48022,Finland
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,44903,Finland
5,Sinuhe,Profeetat,38004,Finland
6,Starboy,The Weeknd,33454,Finland
7,Just Hold On,Steve Aoki,32917,Finland
8,Tuesday,Burak Yeter,32423,Finland
9,Pisamat,Nikke Ankara,30998,Finland
10,Black Beatles,Rae Sremmurd,29358,Finland
1,Alone,Alan Walker,103886,Norway
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,85990,Norway
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,68706,Norway
4,Call On Me - Ryan Riback Extended Remix,Starley,60334,Norway
5,I Feel It Coming,The Weeknd,56607,Norway
6,Solo Dance,Martin Jensen,54931,Norway
7,Make Me (Cry),Noah Cyrus,51011,Norway
8,Move Your Body - Alan Walker Remix,Sia,49684,Norway
9,Starboy,The Weeknd,49158,Norway
10,All Night,The Vamps,48797,Norway
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,71014,Italy
2,Tutto Molto Interessante,Fabio Rovazzi,54803,Italy
3,Closer,The Chainsmokers,54136,Italy
4,Let Me Love You,DJ Snake,52883,Italy
5,Human,Rag'n'Bone Man,48454,Italy
6,Assenzio,J-AX,45699,Italy
7,Don't Wanna Know,Maroon 5,43754,Italy
8,Starboy,The Weeknd,40261,Italy
9,Don't Let Me Down,The Chainsmokers,37734,Italy
10,Chantaje,Shakira,36586,Italy
1,Starboy,The Weeknd,2583,Lithuania
2,I Feel It Coming,The Weeknd,2257,Lithuania
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1972,Lithuania
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1961,Lithuania
5,Closer,The Chainsmokers,1944,Lithuania
6,Don't Wanna Know,Maroon 5,1795,Lithuania
7,Call On Me - Ryan Riback Extended Remix,Starley,1731,Lithuania
8,Let Me Love You,DJ Snake,1710,Lithuania
9,Black Beatles,Rae Sremmurd,1474,Lithuania
10,One Dance,Drake,1414,Lithuania
1,Versace On The Floor,Bruno Mars,185236,Philippines
2,Say You Won't Let Go,James Arthur,180552,Philippines
3,Closer,The Chainsmokers,158720,Philippines
4,All We Know,The Chainsmokers,130874,Philippines
5,Don't Wanna Know,Maroon 5,129656,Philippines
6,24K Magic,Bruno Mars,123924,Philippines
7,Starving,Hailee Steinfeld,123786,Philippines
8,"How Far I'll Go - From ""Moana""",Alessia Cara,107298,Philippines
9,Let Me Love You,DJ Snake,104960,Philippines
10,Starboy,The Weeknd,104708,Philippines
1,Closer,The Chainsmokers,18651,Taiwan
2,Starboy,The Weeknd,14568,Taiwan
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,13476,Taiwan
4,Let Me Love You,DJ Snake,13431,Taiwan
5,????,NICKTHEREAL,13315,Taiwan
6,Don't Wanna Know,Maroon 5,12820,Taiwan
7,Say You Won't Let Go,James Arthur,12318,Taiwan
8,All We Know,The Chainsmokers,12226,Taiwan
9,Alone,Alan Walker,12155,Taiwan
10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,11322,Taiwan
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28957,New Zealand
2,Starboy,The Weeknd,28259,New Zealand
3,Closer,The Chainsmokers,26958,New Zealand
4,24K Magic,Bruno Mars,24563,New Zealand
5,Say You Won't Let Go,James Arthur,24005,New Zealand
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,23884,New Zealand
7,Fake Love,Drake,22210,New Zealand
8,Don't Wanna Know,Maroon 5,22051,New Zealand
