Position,Track Name,Artist,Streams,ADMIN
1,Mi Gente,J Balvin,24898,Ecuador
2,Una Lady Como Tú,Manuel Turizo,19732,Ecuador
3,Me Rehúso,Danny Ocean,19456,Ecuador
4,Felices los 4,Maluma,17029,Ecuador
5,Escápate Conmigo,Wisin,15758,Ecuador
6,Si Tú La Ves,Nicky Jam,15304,Ecuador
7,Báilame,Nacho,15019,Ecuador
8,Bonita,J Balvin,13270,Ecuador
9,Hey DJ,CNCO,12569,Ecuador
10,Ahora Dice,Chris Jeday,12405,Ecuador
1,Réseaux,Niska,225949,France
2,?. Macarena,Damso,138959,France
3,Mamacita,Ninho,131087,France
4,Wild Thoughts,DJ Khaled,115695,France
5,Unforgettable,French Montana,111978,France
6,Feels,Calvin Harris,109154,France
7,Shape of You,Ed Sheeran,104476,France
8,Mi Gente,J Balvin,103030,France
9,Despacito - Remix,Luis Fonsi,93173,France
10,2U (feat. Justin Bieber),David Guetta,92774,France
1,Mi Gente,J Balvin,194865,Argentina
2,Me Rehúso,Danny Ocean,172439,Argentina
3,Felices los 4,Maluma,152758,Argentina
4,Bonita,J Balvin,141564,Argentina
5,Escápate Conmigo,Wisin,133393,Argentina
6,Ahora Dice,Chris Jeday,128020,Argentina
7,Hey DJ,CNCO,114118,Argentina
8,Olha a Explosão,MC Kevinho,101671,Argentina
9,Shape of You,Ed Sheeran,100324,Argentina
10,Tu Foto,Ozuna,100282,Argentina
1,EYO (feat. Nelli Matula),Profeetat,78747,Finland
2,Juna,Spekti,58709,Finland
3,Mi Gente,J Balvin,58419,Finland
4,Despacito - Remix,Luis Fonsi,54902,Finland
5,Kakkuu Järvellä,Pasi ja Anssi,54311,Finland
6,More Than You Know,Axwell /\ Ingrosso,53402,Finland
7,Meidän biisi,Arttu Wiskari,49553,Finland
8,Riippumatto,Mikael Gabriel,49347,Finland
9,Hanuri (feat. Boyat),Antti Tuisku,47298,Finland
10,2U (feat. Justin Bieber),David Guetta,45322,Finland
1,Despacito - Remix,Luis Fonsi,120751,Norway
2,Such A Boy,Astrid S,114830,Norway
3,Summer Air,ItaloBrothers,106178,Norway
4,More Than You Know,Axwell /\ Ingrosso,99738,Norway
5,2U (feat. Justin Bieber),David Guetta,93766,Norway
6,Feels,Calvin Harris,91622,Norway
7,Wild Thoughts,DJ Khaled,85390,Norway
8,Bængshot,Linda Vidala,85204,Norway
9,Rich Love (with Seeb),OneRepublic,81068,Norway
10,Unforgettable,French Montana,76185,Norway
1,Senza Pagare VS T-Pain,J-AX,152956,Italy
2,Riccione,Thegiornalisti,149849,Italy
3,Voglio ballare con te,Baby K,149634,Italy
4,Mi Gente,J Balvin,147934,Italy
5,Pamplona,Fabri Fibra,131508,Italy
6,More Than You Know,Axwell /\ Ingrosso,124593,Italy
7,Thunder,Imagine Dragons,122625,Italy
8,L'esercito del selfie,Takagi & Ketra,117981,Italy
9,El Party,Jake La Furia,102320,Italy
10,Lamborghini,Gue Pequeno,100563,Italy
1,Thunder,Imagine Dragons,3176,Lithuania
2,More Than You Know,Axwell /\ Ingrosso,3163,Lithuania
3,2U (feat. Justin Bieber),David Guetta,3109,Lithuania
4,Mi Gente,J Balvin,3047,Lithuania
5,Unforgettable,French Montana,3006,Lithuania
6,Feels,Calvin Harris,2897,Lithuania
7,There for You,Martin Garrix,2769,Lithuania
8,Mama,Jonas Blue,2746,Lithuania
9,New Rules,Dua Lipa,2738,Lithuania
10,Fetish (feat. Gucci Mane),Selena Gomez,2736,Lithuania
1,Despacito - Remix,Luis Fonsi,211317,Philippines
2,I'm the One,DJ Khaled,151839,Philippines
3,Mama,Jonas Blue,141253,Philippines
4,Strip That Down,Liam Payne,139586,Philippines
5,Attention,Charlie Puth,119290,Philippines
6,Super Far,LANY,114710,Philippines
7,I Like Me Better,Lauv,113552,Philippines
8,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,113299,Philippines
9,There for You,Martin Garrix,112591,Philippines
10,2U (feat. Justin Bieber),David Guetta,111094,Philippines
1,?? - ???<???????>???,Crowd Lu,28299,Taiwan
2,Despacito - Remix,Luis Fonsi,24535,Taiwan
3,Something Just Like This,The Chainsmokers,19593,Taiwan
4,2U (feat. Justin Bieber),David Guetta,19193,Taiwan
5,??,Joker Xue,18577,Taiwan
6,????,Namewee,18299,Taiwan
7,Shape of You,Ed Sheeran,17962,Taiwan
8,There for You,Martin Garrix,17867,Taiwan
9,Attention,Charlie Puth,17481,Taiwan
10,Feels,Calvin Harris,16397,Taiwan
1,Wild Thoughts,DJ Khaled,42375,New Zealand
2,Despacito - Remix,Luis Fonsi,41597,New Zealand
3,Feels,Calvin Harris,39804,New Zealand
4,Strip That Down,Liam Payne,36705,New Zealand
5,Glorious (feat. Skylar Grey),Macklemore,36555,New Zealand
6,Unforgettable,French Montana,35702,New Zealand
7,Thunder,Imagine Dragons,32811,New Zealand
8,I'm the One,DJ Khaled,31176,New Zealand
9,Mama,Jonas Blue,30397,New Zealand
10,Sorry Not Sorry,Demi Lovato,29969,New Zealand
1,Thunder,Imagine Dragons,3381,Estonia
2,More Than You Know,Axwell /\ Ingrosso,3340,Estonia
3,2U (feat. Justin Bieber),David Guetta,2759,Estonia
4,There for You,Martin Garrix,2702,Estonia
5,Unforgettable,French Montana,2671,Estonia
6,Mi Gente,J Balvin,2653,Estonia
7,Mama,Jonas Blue,2534,Estonia
8,Feels,Calvin Harris,2471,Estonia
9,Wild Thoughts,DJ Khaled,2235,Estonia
10,Despacito - Remix,Luis Fonsi,2133,Estonia
1,Sen Olsan Bari,Aleyna Tilki,259368,Turkey
2,Despacito - Remix,Luis Fonsi,69172,Turkey
3,Raf,Deeperise,64741,Turkey
4,Çok Çok,Edis,64016,Turkey
5,Yolla,Tarkan,63743,Turkey
6,Mi Gente,J Balvin,54612,Turkey
7,Shape of You,Ed Sheeran,51011,Turkey
8,Wild Thoughts,DJ Khaled,44661,Turkey
9,Thunder,Imagine Dragons,43538,Turkey
10,Let Me Go,No Method,42800,Turkey
1,Unforgettable,French Montana,1177620,United States
2,XO TOUR Llif3,Lil Uzi Vert,1145455,United States
3,Wild Thoughts,DJ Khaled,1136448,United States
4,Despacito - Remix,Luis Fonsi,1100499,United States
5,Bank Account,21 Savage,1015077,United States
6,HUMBLE.,Kendrick Lamar,947467,United States
7,I'm the One,DJ Khaled,939094,United States
8,Congratulations,Post Malone,867014,United States
9,Mi Gente,J Balvin,836699,United States
10,Butterfly Effect,Travis Scott,779574,United States
1,Mi Gente,J Balvin,8318,El Salvador
2,Una Lady Como Tú,Manuel Turizo,7138,El Salvador
3,Me Rehúso,Danny Ocean,6339,El Salvador
4,Escápate Conmigo,Wisin,5924,El Salvador
5,Ahora Dice,Chris Jeday,5479,El Salvador
6,Felices los 4,Maluma,5460,El Salvador
7,Bonita,J Balvin,4832,El Salvador
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,4712,El Salvador
9,Hey DJ,CNCO,4012,El Salvador
10,Báilame,Nacho,3855,El Salvador
1,Mi Gente,J Balvin,28178,Costa Rica
2,Me Rehúso,Danny Ocean,21709,Costa Rica
3,Ahora Dice,Chris Jeday,18749,Costa Rica
4,Escápate Conmigo,Wisin,18336,Costa Rica
5,Felices los 4,Maluma,18319,Costa Rica
6,Shape of You,Ed Sheeran,17319,Costa Rica
7,Una Lady Como Tú,Manuel Turizo,14403,Costa Rica
8,Hey DJ,CNCO,13148,Costa Rica
9,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,13032,Costa Rica
10,Tu Foto,Ozuna,12761,Costa Rica
1,More Than You Know,Axwell /\ Ingrosso,344222,Germany
2,Mi Gente,J Balvin,321871,Germany
3,Millionär,187 Strassenbande,283663,Germany
4,Unforgettable,French Montana,276103,Germany
5,Mama,Jonas Blue,272610,Germany
6,Thunder,Imagine Dragons,258782,Germany
7,Bon Voyage,Miami Yacine,250203,Germany
8,Wild Thoughts,DJ Khaled,244245,Germany
9,OK,Robin Schulz,241673,Germany
10,Strip That Down,Liam Payne,230192,Germany
1,Mi Gente,J Balvin,173078,Chile
2,Me Rehúso,Danny Ocean,132906,Chile
3,Escápate Conmigo,Wisin,117485,Chile
4,Bonita,J Balvin,116702,Chile
5,Felices los 4,Maluma,114815,Chile
6,Ahora Dice,Chris Jeday,99019,Chile
7,Hey DJ,CNCO,89581,Chile
8,Una Lady Como Tú,Manuel Turizo,82771,Chile
9,Báilame,Nacho,81553,Chile
10,Bella y Sensual,Romeo Santos,81537,Chile
1,Shape of You,Ed Sheeran,17028,Japan
2,Despacito - Remix,Luis Fonsi,14085,Japan
3,2U (feat. Justin Bieber),David Guetta,13439,Japan
4,I'm the One,DJ Khaled,13165,Japan
5,Mama,Jonas Blue,12109,Japan
6,Feels,Calvin Harris,11671,Japan
7,Stay (with Alessia Cara),Zedd,11542,Japan
8,TT - Japanese ver.,TWICE,11264,Japan
9,Wild Thoughts,DJ Khaled,9862,Japan
10,Something Just Like This,The Chainsmokers,9743,Japan
1,Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,632890,Brazil
2,K.O.,Pabllo Vittar,385962,Brazil
3,Fazer Falta,Mc Livinho,366170,Brazil
4,Paradinha,Anitta,358431,Brazil
5,Deixe Me Ir - Acústico,1Kilo,250855,Brazil
