date,Anhui,Chongqing,Fujian,Beijing,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Heibei,Heilongjiang,Henan,Hubei,Hunan,Inner_mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjing,Tibet,Xinjiang,Yunnan,Zhejiang
2007,1461173,845562,1256153,2435480,836620,12825296,1182161,807491,301837,2701317,    2942555,   2870720,1763774,2062512,1122056,5297961, 1010348,2155104,4336756,458517,245827,1024369,5233831,1406190,2916825,3603491,1323662,5260,1840000,1076806,6517256
2008,2134113,1319529,1543364,3294155,1079214,16210320,1880885,1058426,436451,3371488, 3633732,   3460434,2609452,2821408,1562388, 7566962,1322396,2656496,5689219,599092,329876,1300578,6804190,3688229,3907933,5029958,1760180,11022,2494903,1384333,8292612
2009,2805587,2092064,1807979,4413534,1393614,19514380,2845216,1407464,587234,4300741, 4549860,   3995881,3454364,3585915,2032357,10064518,1652773,3148398,6607905,727417,421068,1656272,8834096,4195575,5023369,7331148,1959894,31652,3100085,1795128,9860848
2010,3530000,2556000,1412000,6179000,1782000,24715000,3790000,1779000,649000,5629000, 4790000,   4990000,4276000,4559000,2579000,12718000,2036000,3518000,7393000,1087000,506000,2158000,10776000,4620000,6374000,9284000,2030000,97000,3857000,2293000,11621000
2011,4783214,3348306,1775343,8698444,2476057,31081507,4139523,2295438,854017,6855894, 4669922,   6009494,6380642,5808430,3436757,16579987,2462869,3940752,8951481,1539448,719768,2561987,13818884,5576401,7918324,12600372,2237500,145435,4658240,3358651,15201534
2012,5940032,4580692,2262243,12247777,2882947,38796116,4430566,2934113,940719,7551049, 4699238,  7176756,7545962,6859274,4058933,21457944,3321749,4070566,10548788,1584893,787886,3389152,16394660,8215037,9633086,14643263,2792278,245591,5469794,4230168,19638640
2013,7454218,5573120,4158995,16712604,3215776,46731270,4466435,3551638,1014285,8131113,4294895,  8400000,8170660,7974805,4559975,25160694,3849519,4216355,12265956,1662931,820297,4148605,18578889,10769978,11247935,17496769,3188863,320291,6447892,5030635,22969602
2014,8820160,6619734,4902578,21608174,3611685,54441665,4480396,4071989,1036774,8188218,3233405,  9312929,8215996,8785824,4715721,28544891,4304510,4239198,12838405,1653464,843054,4455613,19729775,12599976,12327841,20132840,3616736,404051,7447379,5730457,26955470
2015,10423933,7554160,5762420,27965733,3657908,65327542,4565440,4804159,1141776,7557957,1309130, 9974958,8504357,9392707,4741763,31637074,4989327,3831378,11707903,1722013,764130,4533289,22333935,14509724,12644021,21663582,3964237,497732,8613615,6505092,30703856
2016,11852299,8348121,7011389,35662313,3759905,76525595,4603839,5278331,1343451,7076302,-1960859,10504823,8223068,10069753,4588846,34026510,5266884,3428312,9166241,1960728,630314,4744847,23856771,18724971,13055518,22263112,3977270,775315,9794541,8136704,32934694
