year,age,male,female
2018,0-4,43767297,38019042
2018,5-9,43931151,37746239
2018,10-14,41325927,35485829
2018,15-19,39875186,34736007
2018,20-24,46340826,41133791
2018,25-29,62250506,56674274
2018,30-34,62012776,57996069
2018,35-39,47517099,45174314
2018,40-44,52894825,50298115
2018,45-49,63067672,60736058
2018,50-54,58167065,56623860
2018,55-59,44542668,43094751
2018,60-64,38219982,37635740
2018,65-69,32416918,32847223
2018,70-74,18750006,19686835
2018,75-79,11923868,12926724
2018,80-84,7144050,8586444
2018,85-89,3052821,4260263
2018,90-94,861585,1412881
2018,95-99,161926,324688
2018,100+,16675,46517
2050,0-4,30989064,28419105
2050,5-9,32029779,29109066
2050,10-14,32401083,29188292
2050,15-19,32315370,28857479
2050,20-24,32927024,29146395
2050,25-29,35972146,31577210
2050,30-34,41178077,35843859
2050,35-39,43541240,37562993
2050,40-44,41118506,35212417
2050,45-49,38920978,33693748
2050,50-54,40155004,35475133
2050,55-59,52977507,47911822
2050,60-64,62003720,58138419
2050,65-69,44914157,43543523
2050,70-74,39154326,38964850
2050,75-79,41177909,43064314
2050,80-84,31481861,35942588
2050,85-89,15498886,19292387
2050,90-94,5428584,7931535
2050,95-99,1530206,2845375
2050,100+,177935,442458
