time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,48335.0,40.0,41383.0,78582.0,0.0,3796.0
1,50058.0,57.0,41419.0,78585.0,6.0,3804.0
2,47008.0,38.0,41703.0,78512.0,1.0,3800.0
3,45757.0,25.0,42323.0,131989.0,2.0,3698.0
4,48279.0,69.0,149477.0,178851.0,5.5,70772.0
5,49970.0,60.0,45290.0,44106.0,0.0,56718.0
6,41694.0,55.0,40310.0,2566.0,4.0,3612.0
7,13576.0,6.0,39809.0,2469.0,0.0,3580.0
8,50938.0,64.0,40429.0,2600.0,5.5,3628.0
9,48738.0,47.0,40539.0,2546.0,0.0,3624.0
10,50455.0,95.0,44503.0,2749.0,2.5,19846.0
11,49113.0,45.0,53925.0,2391.0,0.0,3628.0
12,47558.0,52.0,56528.0,2358.0,0.0,76167.0
13,48389.0,43.0,49038.0,2473.0,0.0,22322.0
14,4223.0,0.0,61257.0,1769.0,0.0,2684.0
15,,,,,,
16,1882.0,0.0,12858.0,36913.0,0.0,1176.0
17,48870.0,64.0,41546.0,175309.0,8.0,71519.0
18,53599.0,40.0,41080.0,93998.0,0.0,3808.0
19,97996.0,447.0,41145.0,77968.0,150.0,3804.0
20,115895.0,139.0,40951.0,78045.0,0.0,3800.0
21,53888.0,38.0,40901.0,78392.0,0.0,3800.0
22,43976.0,24.0,40875.0,78220.0,0.0,3800.0
23,45068.0,33.0,40799.0,78599.0,2.5,3800.0
