time_stamp,day,dish
7,1,113.0
8,1,425.0
9,1,8.0
10,1,10.0
11,1,8.0
12,1,5.0
13,1,24.0
14,1,22.0
15,1,16.0
16,1,273.0
17,1,213.0
18,1,552467.0
19,1,470791.0
20,1,83603.0
21,1,49.0
22,1,14.0
23,1,8.0
24,1,6.0
1,2,8.0
2,2,4.0
3,2,13.0
4,2,22.0
5,2,20.0
6,2,32.0
7,2,81.0
8,2,29.0
9,2,10.0
10,2,21.0
11,2,25.0
12,2,53.0
13,2,41.0
14,2,32.0
15,2,78.0
16,2,23.0
17,2,
18,2,61.0
19,2,34.0
20,2,17.0
21,2,31.0
22,2,23.0
23,2,25.0
24,2,515.0
1,3,107.0
2,3,33.0
3,3,17.0
4,3,40.0
5,3,34.0
6,3,31.0
7,3,26.0
8,3,13.0
9,3,29.0
10,3,29.0
11,3,32.0
12,3,27.0
13,3,23.0
14,3,25.0
15,3,29.0
16,3,26.0
17,3,10.0
18,3,42.0
19,3,60.0
20,3,36.0
21,3,47.0
22,3,45.0
23,3,28.0
24,3,4.0
1,4,40.0
2,4,57.0
3,4,38.0
4,4,25.0
5,4,69.0
6,4,60.0
7,4,55.0
8,4,6.0
9,4,64.0
10,4,47.0
11,4,95.0
12,4,45.0
13,4,52.0
14,4,43.0
15,4,0.0
16,4,
17,4,0.0
18,4,64.0
19,4,40.0
20,4,447.0
21,4,139.0
22,4,38.0
23,4,24.0
24,4,33.0
1,5,26.0
2,5,22.0
3,5,9.0
4,5,31.0
5,5,8.0
6,5,46.0
7,5,23.0
8,5,41.0
9,5,38.0
10,5,46.0
11,5,16.0
12,5,31.0
13,5,33.0
14,5,46.0
15,5,34.0
16,5,62.0
17,5,34.0
18,5,49.0
19,5,13.0
20,5,41.0
21,5,55.0
22,5,37.0
23,5,38.0
24,5,13.0
1,6,17.0
2,6,37.0
3,6,24.0
4,6,34.0
5,6,26.0
6,6,25.0
7,6,4.0
8,6,40.0
9,6,54.0
10,6,521974.0
11,6,458076.0
12,6,82970.0
13,6,283.0
14,6,60.0
15,6,374.0
16,6,7.0
17,6,18.0
18,6,3.0
19,6,33.0
20,6,4.0
21,6,60.0
22,6,74.0
23,6,11.0
24,6,44.0
1,7,0.0
2,7,32.0
3,7,0.0
4,7,30.0
5,7,26.0
6,7,22.0
7,7,82.0
8,7,0.0
9,7,50.0
10,7,252.0
11,7,248.0
12,7,394.0
13,7,49.0
14,7,560571.0
15,7,418015.0
16,7,42.0
17,7,1.0
18,7,155.0
19,7,0.0
20,7,79.0
21,7,34.0
22,7,18.0
23,7,48.0
24,7,0.0
1,8,32.0
2,8,424.0
3,8,261.0
4,8,2.0
5,8,118.0
6,8,73.0
7,8,0.0
8,8,99.0
9,8,113.0
10,8,13.0
11,8,105.0
12,8,61.0
13,8,102.0
14,8,44.0
15,8,29.0
16,8,62.0
17,8,98.0
18,8,208037.0
19,8,690646.0
20,8,185132.0
21,8,27.0
22,8,18.0
23,8,7.0
24,8,19.0
1,9,14.0
2,9,7.0
3,9,12.0
4,9,30.0
5,9,38.0
6,9,26.0
