time_stamp,day,microwave
7,1,2662.0
8,1,27448.0
9,1,75297.0
10,1,3732.0
11,1,3620.0
12,1,25930.0
13,1,3935.0
14,1,75016.0
15,1,3976.0
16,1,51595.0
17,1,223458.0
18,1,19687.0
19,1,3829.0
20,1,4048.0
21,1,4142.0
22,1,3800.0
23,1,3800.0
24,1,3800.0
1,2,3792.0
2,2,3796.0
3,2,3804.0
4,2,3800.0
5,2,97972.0
6,2,4090.0
7,2,55171.0
8,2,3986.0
9,2,7266.0
10,2,4124.0
11,2,4063.0
12,2,4125.0
13,2,4166.0
14,2,4148.0
15,2,89133.0
16,2,3109.0
17,2,
18,2,17160.0
19,2,78582.0
20,2,3800.0
21,2,3796.0
22,2,3800.0
23,2,3732.0
24,2,3752.0
1,3,3804.0
2,3,3800.0
3,3,3800.0
4,3,27588.0
5,3,73364.0
6,3,59546.0
7,3,3580.0
8,3,3612.0
9,3,3620.0
10,3,3628.0
11,3,3624.0
12,3,3624.0
13,3,3612.0
14,3,3604.0
15,3,231680.0
16,3,3989.0
17,3,71996.0
18,3,3813.0
19,3,3799.0
20,3,3800.0
21,3,3800.0
22,3,3800.0
23,3,3800.0
24,3,3804.0
1,4,3796.0
2,4,3804.0
3,4,3800.0
4,4,3698.0
5,4,70772.0
6,4,56718.0
7,4,3612.0
8,4,3580.0
9,4,3628.0
10,4,3624.0
11,4,19846.0
12,4,3628.0
13,4,76167.0
14,4,22322.0
15,4,2684.0
16,4,
17,4,1176.0
18,4,71519.0
19,4,3808.0
20,4,3804.0
21,4,3800.0
22,4,3800.0
23,4,3800.0
24,4,3800.0
1,5,3800.0
2,5,3800.0
3,5,3800.0
4,5,3768.0
5,5,3730.0
6,5,27792.0
7,5,4274.0
8,5,27622.0
9,5,3624.0
10,5,3620.0
11,5,3576.0
12,5,3616.0
13,5,3592.0
14,5,3624.0
15,5,3624.0
16,5,3628.0
17,5,3596.0
18,5,4085.0
19,5,4259.0
20,5,3696.0
21,5,3804.0
22,5,3796.0
23,5,3800.0
24,5,3800.0
1,6,3800.0
2,6,3798.0
3,6,3800.0
4,6,3736.0
5,6,3624.0
6,6,96687.0
7,6,3864.0
8,6,27531.0
9,6,36334.0
10,6,61070.0
11,6,3795.0
12,6,4217.0
13,6,3676.0
14,6,3654.0
15,6,3768.0
16,6,3652.0
17,6,3636.0
18,6,3600.0
19,6,3664.0
20,6,3572.0
21,6,89872.0
22,6,3800.0
23,6,3796.0
24,6,3800.0
1,7,3532.0
2,7,3800.0
3,7,3796.0
4,7,3800.0
5,7,3796.0
6,7,27258.0
7,7,83445.0
8,7,3564.0
9,7,4128.0
10,7,598178.0
11,7,900333.0
12,7,377885.0
13,7,4063.0
14,7,3933.0
15,7,73868.0
16,7,3886.0
17,7,20924.0
18,7,16439.0
19,7,3803.0
20,7,3796.0
21,7,3806.0
22,7,3796.0
23,7,3800.0
24,7,3796.0
1,8,3800.0
2,8,3800.0
3,8,3800.0
4,8,3882.0
5,8,109418.0
6,8,80796.0
7,8,3568.0
8,8,3656.0
9,8,3640.0
10,8,13207.0
11,8,3660.0
12,8,3632.0
13,8,3656.0
14,8,3700.0
15,8,4540.0
16,8,4483.0
17,8,84043.0
18,8,98452.0
19,8,3671.0
20,8,3874.0
21,8,3820.0
22,8,3796.0
23,8,3800.0
24,8,3800.0
1,9,3800.0
2,9,3800.0
3,9,3796.0
4,9,3838.0
5,9,181152.0
6,9,46618.0
7,9,3640.0
8,9,73305.0
9,9,3780.0
10,9,3572.0
11,9,3672.0
12,9,3644.0
13,9,3564.0
14,9,3664.0
15,9,3608.0
16,9,3736.0
17,9,74752.0
18,9,3825.0
19,9,74708.0
20,9,3796.0
21,9,3800.0
22,9,3796.0
23,9,3800.0
24,9,3724.0
1,10,3540.0
2,10,3800.0
3,10,3800.0
4,10,3859.0
5,10,99203.0
6,10,37231.0
7,10,3568.0
8,10,3660.0
9,10,3616.0
10,10,3612.0
11,10,3660.0
12,10,3568.0
13,10,3664.0
14,10,3584.0
15,10,3648.0
16,10,3780.0
17,10,3800.0
18,10,3804.0
19,10,74835.0
20,10,3804.0
21,10,3800.0
22,10,3800.0
23,10,3800.0
24,10,3804.0
1,11,3800.0
2,11,3800.0
3,11,3804.0
4,11,50209.0
5,11,27119.0
6,11,35034.0
7,11,3736.0
