time_stamp,day,refrigerator
7,1,3563.0
8,1,134014.0
9,1,116762.0
10,1,54328.0
11,1,46438.0
12,1,46377.0
13,1,60233.0
14,1,55216.0
15,1,64486.0
16,1,56097.0
17,1,5820.0
18,1,66865.0
19,1,56326.0
20,1,23852.0
21,1,60451.0
22,1,57728.0
23,1,49928.0
24,1,39973.0
1,2,45883.0
2,2,19211.0
3,2,50929.0
4,2,47805.0
5,2,56636.0
6,2,53576.0
7,2,54557.0
8,2,47288.0
9,2,15708.0
10,2,45792.0
11,2,46914.0
12,2,54161.0
13,2,47157.0
14,2,48842.0
15,2,50888.0
16,2,47134.0
17,2,
18,2,48688.0
19,2,28347.0
20,2,34272.0
21,2,43743.0
22,2,48413.0
23,2,46677.0
24,2,133826.0
1,3,108968.0
2,3,57719.0
3,3,44786.0
4,3,47128.0
5,3,48870.0
6,3,46888.0
7,3,17788.0
8,3,39266.0
9,3,45259.0
10,3,47236.0
11,3,46251.0
12,3,47114.0
13,3,45538.0
14,3,36798.0
15,3,57345.0
16,3,22740.0
17,3,33229.0
18,3,50527.0
19,3,50552.0
20,3,49126.0
21,3,50728.0
22,3,50040.0
23,3,31535.0
24,3,22539.0
1,4,48335.0
2,4,50058.0
3,4,47008.0
4,4,45757.0
5,4,48279.0
6,4,49970.0
7,4,41694.0
8,4,13576.0
9,4,50938.0
10,4,48738.0
11,4,50455.0
12,4,49113.0
13,4,47558.0
14,4,48389.0
15,4,4223.0
16,4,
17,4,1882.0
18,4,48870.0
19,4,53599.0
20,4,97996.0
21,4,115895.0
22,4,53888.0
23,4,43976.0
24,4,45068.0
1,5,46022.0
2,5,42467.0
3,5,10276.0
4,5,53915.0
5,5,28655.0
6,5,52073.0
7,5,44671.0
8,5,47376.0
9,5,49346.0
10,5,45358.0
11,5,14292.0
12,5,44293.0
13,5,42338.0
14,5,50200.0
15,5,47061.0
16,5,50726.0
17,5,28119.0
18,5,49953.0
19,5,26801.0
20,5,49402.0
21,5,54351.0
22,5,46686.0
23,5,38964.0
24,5,30237.0
1,6,35293.0
2,6,49244.0
3,6,45686.0
4,6,49032.0
5,6,44394.0
6,6,33857.0
7,6,17670.0
8,6,50569.0
9,6,47129.0
10,6,76512.0
11,6,42867.0
12,6,64552.0
13,6,44765.0
14,6,63487.0
15,6,187888.0
16,6,65212.0
17,6,58728.0
18,6,27865.0
19,6,76939.0
20,6,5709.0
21,6,74960.0
22,6,37343.0
23,6,44248.0
24,6,72828.0
1,7,6112.0
2,7,70624.0
3,7,6560.0
4,7,69688.0
5,7,41286.0
6,7,44855.0
7,7,74147.0
8,7,5501.0
9,7,82293.0
10,7,70888.0
11,7,47132.0
12,7,92790.0
13,7,61463.0
14,7,103258.0
15,7,6044.0
16,7,103796.0
17,7,6237.0
18,7,101965.0
19,7,6168.0
20,7,88027.0
21,7,39492.0
22,7,44400.0
23,7,75536.0
24,7,6422.0
1,8,72439.0
2,8,118195.0
3,8,157155.0
4,8,16082.0
5,8,75170.0
6,8,67552.0
7,8,5425.0
8,8,74236.0
9,8,63760.0
10,8,14655.0
11,8,70666.0
12,8,57014.0
13,8,76483.0
14,8,28414.0
15,8,41387.0
16,8,30432.0
17,8,59721.0
18,8,66621.0
19,8,31211.0
20,8,40930.0
21,8,64984.0
22,8,32453.0
23,8,39606.0
24,8,62458.0
1,9,18522.0
2,9,50033.0
3,9,59947.0
4,9,40159.0
5,9,83113.0
6,9,75814.0
7,9,5736.0
8,9,91565.0
9,9,62373.0
10,9,5609.0
11,9,85366.0
12,9,63000.0
13,9,5935.0
14,9,81407.0
15,9,51112.0
16,9,177316.0
17,9,39669.0
18,9,78215.0
19,9,5887.0
20,9,77675.0
21,9,37789.0
22,9,42165.0
23,9,73866.0
24,9,6471.0
1,10,60667.0
2,10,6561.0
3,10,69896.0
4,10,46685.0
5,10,29936.0
6,10,69911.0
7,10,5873.0
8,10,75323.0
9,10,46397.0
10,10,32423.0
11,10,74933.0
12,10,5750.0
13,10,77814.0
14,10,18940.0
15,10,65414.0
16,10,79661.0
17,10,5862.0
18,10,78752.0
19,10,38430.0
20,10,44974.0
21,10,75579.0
22,10,6380.0
23,10,74703.0
24,10,60537.0
1,11,22088.0
2,11,74582.0
3,11,15338.0
4,11,72808.0
5,11,52547.0
6,11,59748.0
7,11,190957.0
8,11,48022.0
9,11,76772.0
10,11,19990.0
11,11,59070.0
12,11,73614.0
13,11,6550.0
14,11,69982.0
15,11,71865.0
16,11,34006.0
17,11,54520.0
18,11,84714.0
19,11,76133.0
20,11,5869.0
21,11,85451.0
22,11,71337.0
23,11,20749.0
24,11,57673.0
1,12,70108.0
2,12,36782.0
3,12,40617.0
4,12,67772.0
5,12,40996.0
6,12,40398.0
7,12,46086.0
8,12,63802.0
9,12,60567.0
10,12,29941.0
11,12,36603.0
12,12,60499.0
13,12,60668.0
14,12,62177.0
15,12,7656.0
16,12,62933.0
17,12,65480.0
18,12,76729.0
19,12,185497.0
20,12,27551.0
21,12,75950.0
22,12,66053.0
23,12,6529.0
24,12,67811.0
1,13,65842.0
2,13,6598.0
3,13,63714.0
4,13,62152.0
5,13,73525.0
6,13,6135.0
7,13,75701.0
8,13,47875.0
9,13,24006.0
10,13,66115.0
11,13,50033.0
12,13,62108.0
13,13,53078.0
14,13,72065.0
15,13,8261.0
16,13,61358.0
17,13,71947.0
18,13,62177.0
19,13,17257.0
20,13,49530.0
21,13,56348.0
22,13,58350.0
23,13,31415.0
24,13,32387.0
1,14,57737.0
2,14,54043.0
3,14,50269.0
4,14,47701.0
5,14,21343.0
6,14,76080.0
7,14,14334.0
8,14,59851.0
9,14,185513.0
10,14,67119.0
11,14,64952.0
12,14,56749.0
13,14,62811.0
14,14,58994.0
15,14,22011.0
16,14,47360.0
17,14,64994.0
18,14,5854.0
19,14,63117.0
20,14,62329.0
21,14,15882.0
22,14,52383.0
23,14,61077.0
24,14,32759.0
1,15,32550.0
2,15,61158.0
3,15,46067.0
4,15,6402.0
5,15,66197.0
6,15,47812.0
7,15,60416.0
8,15,50862.0
9,15,5846.0
10,15,66707.0
11,15,50881.0
12,15,10812.0
13,15,61061.0
14,15,54130.0
15,15,62004.0
16,15,10050.0
17,15,60243.0
18,15,68648.0
19,15,5986.0
20,15,64221.0
21,15,64973.0
22,15,6527.0
23,15,64888.0
24,15,57104.0
1,16,17366.0
2,16,190655.0
3,16,70389.0
4,16,61640.0
5,16,57697.0
6,16,41055.0
7,16,21071.0
8,16,57402.0
9,16,57023.0
10,16,58356.0
11,16,20834.0
12,16,43005.0
13,16,59075.0
14,16,59104.0
15,16,3294.0
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
24,16,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
24,17,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
24,18,
1,19,
2,19,
3,19,
4,19,
5,19,
6,19,
7,19,
8,19,798.0
9,19,26488.0
10,19,63308.0
11,19,15828.0
12,19,53245.0
13,19,48691.0
14,19,133657.0
15,19,116206.0
16,19,63256.0
17,19,34437.0
18,19,72384.0
19,19,8685.0
20,19,57579.0
21,19,57151.0
22,19,56540.0
23,19,45814.0
24,19,13990.0
1,20,54130.0
2,20,53909.0
3,20,52781.0
4,20,40897.0
5,20,28295.0
6,20,43347.0
7,20,53739.0
8,20,51012.0
9,20,63172.0
10,20,20318.0
11,20,41141.0
12,20,54645.0
13,20,56694.0
14,20,55779.0
15,20,5995.0
16,20,55053.0
17,20,53322.0
18,20,54200.0
19,20,52628.0
20,20,48092.0
21,20,6120.0
22,20,59067.0
23,20,53815.0
24,20,54197.0
1,21,50493.0
2,21,6578.0
3,21,53434.0
4,21,47163.0
5,21,57830.0
6,21,54320.0
7,21,138777.0
8,21,106790.0
9,21,57833.0
10,21,38298.0
11,21,39921.0
12,21,59083.0
13,21,58660.0
14,21,45265.0
15,21,58346.0
16,21,16150.0
17,21,46239.0
18,21,96110.0
19,21,55114.0
20,21,52145.0
21,21,27469.0
22,21,66744.0
23,21,66769.0
24,21,52479.0
1,22,10573.0
2,22,64557.0
3,22,54602.0
4,22,31611.0
5,22,48574.0
6,22,43555.0
7,22,62047.0
8,22,53984.0
9,22,5568.0
10,22,59684.0
11,22,53315.0
12,22,57982.0
13,22,53028.0
14,22,35080.0
15,22,27566.0
16,22,60812.0
17,22,118495.0
18,22,102889.0
19,22,188661.0
20,22,79873.0
21,22,79477.0
22,22,71790.0
23,22,58382.0
24,22,16710.0
1,23,69559.0
2,23,68842.0
3,23,6544.0
4,23,71371.0
5,23,80756.0
6,23,5796.0
7,23,70979.0
8,23,71841.0
9,23,6445.0
10,23,70551.0
11,23,37210.0
12,23,38115.0
13,23,69386.0
14,23,5988.0
15,23,70021.0
16,23,66238.0
17,23,10285.0
18,23,70593.0
19,23,27377.0
20,23,49485.0
21,23,69673.0
22,23,6488.0
23,23,69135.0
24,23,54020.0
1,24,20330.0
2,24,67012.0
3,24,15257.0
4,24,59207.0
5,24,55801.0
6,24,49924.0
7,24,10201.0
8,24,185930.0
9,24,57663.0
10,24,59696.0
11,24,53548.0
12,24,52569.0
13,24,18729.0
14,24,43122.0
15,24,52613.0
16,24,54322.0
17,24,52186.0
18,24,46590.0
19,24,34258.0
20,24,30403.0
21,24,53262.0
22,24,53737.0
23,24,54271.0
24,24,21642.0
1,25,39259.0
2,25,52743.0
3,25,52653.0
4,25,57354.0
5,25,12822.0
6,25,43966.0
7,25,50772.0
8,25,50028.0
9,25,50199.0
