time_stamp,day,washer
7,1,4.5
8,1,36.0
9,1,2.5
10,1,0.0
11,1,0.0
12,1,32.5
13,1,0.0
14,1,0.0
15,1,4.0
16,1,2.0
17,1,4.0
18,1,658.0
19,1,367.0
20,1,3.0
21,1,0.0
22,1,0.0
23,1,0.0
24,1,0.0
1,2,0.0
2,2,0.0
3,2,2.0
4,2,3.0
5,2,480.0
6,2,0.0
7,2,5.5
8,2,0.0
9,2,0.0
10,2,0.0
11,2,1.0
12,2,0.0
13,2,0.0
14,2,0.0
15,2,2.5
16,2,0.0
17,2,
18,2,6.0
19,2,20.0
20,2,0.0
21,2,0.0
22,2,0.0
23,2,0.0
24,2,110.0
1,3,2.5
2,3,4.0
3,3,0.0
4,3,7.5
5,3,0.0
6,3,2.5
7,3,2.0
8,3,0.0
9,3,0.0
10,3,0.0
11,3,0.0
12,3,0.0
13,3,0.0
14,3,0.0
15,3,1.0
16,3,0.0
17,3,3.0
18,3,3.0
19,3,0.0
20,3,2.0
21,3,5.0
22,3,4.0
23,3,0.0
24,3,0.0
1,4,0.0
2,4,6.0
3,4,1.0
4,4,2.0
5,4,5.5
6,4,0.0
7,4,4.0
8,4,0.0
9,4,5.5
10,4,0.0
11,4,2.5
12,4,0.0
13,4,0.0
14,4,0.0
15,4,0.0
16,4,
17,4,0.0
18,4,8.0
19,4,0.0
20,4,150.0
21,4,0.0
22,4,0.0
23,4,0.0
24,4,2.5
1,5,3.0
2,5,0.0
3,5,0.0
4,5,0.0
5,5,0.0
6,5,2.5
7,5,0.0
8,5,0.0
9,5,0.0
10,5,2.0
11,5,0.0
12,5,0.0
13,5,0.0
14,5,0.0
15,5,0.0
16,5,3.0
17,5,0.0
18,5,2.5
19,5,0.0
20,5,1.0
21,5,0.0
22,5,0.0
23,5,1.0
24,5,2.5
1,6,0.0
2,6,0.0
3,6,0.0
4,6,0.0
5,6,0.0
6,6,436.0
7,6,101.0
8,6,0.0
9,6,0.0
10,6,724.0
11,6,541.0
12,6,8380.0
13,6,146857.0
14,6,607908.0
15,6,1246186.0
16,6,0.0
17,6,0.0
18,6,0.0
19,6,0.0
20,6,0.0
21,6,613045.0
22,6,0.0
23,6,0.0
24,6,5.0
1,7,0.0
2,7,0.0
3,7,0.0
4,7,0.0
5,7,1.0
6,7,392411.5
7,7,1426957.0
8,7,0.0
9,7,0.0
10,7,102.5
11,7,102.5
12,7,2.5
13,7,0.0
14,7,454.0
15,7,271.0
16,7,15.0
17,7,0.0
18,7,6.0
19,7,0.0
20,7,2.0
21,7,1.0
22,7,2.0
23,7,2.0
24,7,0.0
1,8,1.0
2,8,158.0
3,8,68.0
4,8,9.0
5,8,495.5
6,8,100.0
7,8,0.0
8,8,0.0
9,8,1.0
10,8,0.0
11,8,0.0
12,8,0.0
13,8,0.0
14,8,3.0
15,8,0.0
16,8,0.0
17,8,0.0
18,8,276.0
19,8,791.0
20,8,65.0
21,8,0.0
22,8,0.0
23,8,1.0
24,8,0.0
1,9,0.0
2,9,0.0
3,9,0.0
4,9,10.0
5,9,571.0
6,9,0.0
7,9,272.0
8,9,170.5
9,9,225.0
10,9,0.0
11,9,0.0
12,9,0.0
13,9,0.0
14,9,0.0
15,9,0.0
16,9,0.0
17,9,0.0
18,9,0.0
19,9,0.0
20,9,4.0
21,9,0.0
22,9,0.0
23,9,2.5
24,9,0.0
1,10,0.0
2,10,0.0
3,10,2.5
4,10,7.0
