day,hour,value
1,7,31959
1,8,42840
1,9,41431
1,10,40392
1,11,39124
1,12,102872
1,13,142038
1,14,53574
1,15,70114
1,16,477208
1,17,320835
1,18,67207
1,19,65031
1,20,46829
1,21,128587
1,22,46952
1,23,43284
1,24,43122
2,1,43922
2,2,43061
2,3,43495
2,4,43184
2,5,146832
2,6,41170
2,7,41111
2,8,40988
2,9,41045
2,10,40627
2,11,40884
2,12,41004
2,13,49258
2,14,67576
2,15,78439
2,16,69722
2,17,
2,18,33864
2,19,42334
2,20,42086
2,21,41907
2,22,41830
2,23,40755
2,24,42535
3,1,42936
3,2,41627
3,3,42003
3,4,176023
3,5,63210
3,6,47169
3,7,39367
3,8,39744
3,9,39763
3,10,39814
3,11,39818
3,12,39779
3,13,39645
3,14,39635
3,15,63747
3,16,98924
3,17,47600
3,18,42369
3,19,42153
3,20,42178
3,21,42069
3,22,41848
3,23,41678
3,24,41590
4,1,41383
4,2,41419
4,3,41703
4,4,42323
4,5,149477
4,6,45290
4,7,40310
4,8,39809
4,9,40429
4,10,40539
4,11,44503
4,12,53925
4,13,56528
4,14,49038
4,15,61257
4,16,
4,17,12858
4,18,41546
4,19,41080
4,20,41145
4,21,40951
4,22,40901
4,23,40875
4,24,40799
5,1,40868
5,2,40902
5,3,41132
5,4,40554
5,5,42630
5,6,82040
5,7,116432
5,8,64977
5,9,39198
5,10,39166
5,11,38587
5,12,39020
5,13,69428
5,14,63686
5,15,50542
5,16,44687
5,17,42022
5,18,41635
5,19,41184
5,20,39990
5,21,40978
5,22,41025
5,23,41033
5,24,41038
6,1,41130
6,2,41012
6,3,41167
6,4,40445
6,5,39121
6,6,133943
6,7,41808
6,8,42315
6,9,64900
6,10,201993
6,11,95791
6,12,162054
6,13,46262
6,14,43983
6,15,50216
6,16,41010
6,17,41002
6,18,40332
6,19,41125
6,20,39896
6,21,50410
6,22,42103
6,23,41952
6,24,42202
7,1,39719
7,2,42579
7,3,42032
7,4,42027
7,5,42049
7,6,131481
7,7,70559
7,8,73927
7,9,61394
7,10,196862
7,11,159025
7,12,888975
7,13,56062
7,14,56119
7,15,43847
7,16,46122
7,17,71388
7,18,159376
7,19,43215
7,20,42216
7,21,42316
7,22,42202
7,23,41997
7,24,41902
8,1,42067
8,2,42400
8,3,42349
8,4,53978
8,5,142754
8,6,42692
8,7,39556
8,8,40878
8,9,80955
8,10,52611
8,11,39700
8,12,39380
8,13,49495
8,14,48591
8,15,66152
8,16,85739
8,17,82817
8,18,65529
8,19,53548
8,20,42657
8,21,42676
8,22,42116
8,23,42018
8,24,41892
9,1,42149
9,2,42478
9,3,42158
9,4,42183
9,5,153959
9,6,128835
9,7,39370
9,8,41151
9,9,41395
9,10,38594
9,11,39738
9,12,39430
9,13,38570
9,14,39697
9,15,39091
9,16,40590
9,17,61875
9,18,41101
9,19,41385
9,20,41039
9,21,40356
9,22,40221
9,23,40329
9,24,40543
10,1,39948
10,2,40334
10,3,40534
10,4,42037
10,5,134724
10,6,40918
10,7,38465
10,8,39498
10,9,38970
10,10,38979
10,11,39575
10,12,38500
10,13,39608
10,14,38717
10,15,39360
10,16,98711
10,17,72161
10,18,56430
10,19,59971
10,20,42373
10,21,41786
10,22,41854
10,23,41691
10,24,41803
11,1,41880
11,2,41738
11,3,41696
11,4,135588
11,5,75643
11,6,40450
11,7,41690
11,8,40252
11,9,40625
11,10,39605
11,11,40274
11,12,40585
11,13,39298
11,14,40509
11,15,40609
11,16,59963
11,17,125036
11,18,147939
11,19,47139
11,20,107881
11,21,196309
11,22,71094
11,23,64114
11,24,61137
12,1,61180
12,2,62464
12,3,66436
12,4,189043
12,5,71773
12,6,75683
12,7,70507
12,8,55415
12,9,40846
12,10,40297
12,11,40798
12,12,40940
12,13,40876
12,14,40885
12,15,41200
12,16,88756
12,17,93829
12,18,59317
12,19,42817
12,20,42660
12,21,41651
12,22,43890
12,23,43032
12,24,43041
13,1,42876
13,2,42786
13,3,43125
13,4,43026
13,5,137093
13,6,108329
13,7,65907
13,8,46125
13,9,127146
13,10,618111
13,11,219830
13,12,47848
13,13,97642
13,14,54088
13,15,55400
13,16,63894
13,17,50476
13,18,41123
13,19,41081
13,20,78244
13,21,61916
13,22,42106
13,23,42172
13,24,42138
14,1,42064
14,2,42215
14,3,42256
14,4,157337
14,5,47395
14,6,42227
14,7,40202
14,8,41130
14,9,40409
14,10,39753
14,11,135566
14,12,64311
14,13,50849
14,14,53948
14,15,46011
14,16,45128
14,17,41327
14,18,40987
14,19,41123
14,20,41336
14,21,40289
14,22,40655
14,23,40341
14,24,40303
15,1,40500
15,2,40354
15,3,40335
15,4,40230
15,5,151831
15,6,39320
15,7,39259
15,8,39477
15,9,38533
15,10,39614
15,11,39561
15,12,38815
15,13,39445
15,14,39244
15,15,38258
15,16,38639
15,17,39338
15,18,63245
15,19,70563
15,20,53082
15,21,44395
15,22,42263
15,23,42127
15,24,41982
16,1,42038
16,2,42580
16,3,152355
16,4,59792
16,5,41509
16,6,40889
16,7,40797
16,8,40904
16,9,40925
16,10,40792
16,11,40711
16,12,40912
16,13,40817
16,14,40909
16,15,21134
16,16,
16,17,
16,18,
16,19,
16,20,
16,21,
16,22,
16,23,
16,24,
17,1,43569
17,2,43479
17,3,44465
17,4,57127
17,5,145772
17,6,37954
17,7,40080
17,8,40091
17,9,38047
17,10,39038
17,11,38507
17,12,38631
17,13,38848
17,14,37868
17,15,38849
17,16,38790
17,17,37888
17,18,39832
17,19,40292
17,20,40168
17,21,39916
17,22,40031
17,23,40817
17,24,40310
18,1,41383
18,2,41419
18,3,41703
18,4,42323
18,5,149477
18,6,45290
18,7,40310
18,8,39809
18,9,40429
18,10,40539
18,11,44503
18,12,53925
18,13,56528
18,14,49038
18,15,61257
18,16,
18,17,12858
18,18,41546
18,19,41080
18,20,41145
18,21,40951
18,22,40901
18,23,40875
18,24,40799
19,1,
19,2,
19,3,
19,4,
19,5,
19,6,
19,7,
19,8,5472
19,9,41486
19,10,41120
19,11,40901
19,12,41006
