day,hour,value
1,7,2662
1,8,27448
1,9,75297
1,10,3732
1,11,3620
1,12,25930
1,13,3935
1,14,75016
1,15,3976
1,16,51595
1,17,223458
1,18,19687
1,19,3829
1,20,4048
1,21,4142
1,22,3800
1,23,3800
1,24,3800
2,1,3792
2,2,3796
2,3,3804
2,4,3800
2,5,97972
2,6,4090
2,7,55171
2,8,3986
2,9,7266
2,10,4124
2,11,4063
2,12,4125
2,13,4166
2,14,4148
2,15,89133
2,16,3109
2,17,
2,18,17160
2,19,78582
2,20,3800
2,21,3796
2,22,3800
2,23,3732
2,24,3752
3,1,3804
3,2,3800
3,3,3800
3,4,27588
3,5,73364
3,6,59546
3,7,3580
3,8,3612
3,9,3620
3,10,3628
3,11,3624
3,12,3624
3,13,3612
3,14,3604
3,15,231680
3,16,3989
3,17,71996
3,18,3813
3,19,3799
3,20,3800
3,21,3800
3,22,3800
3,23,3800
3,24,3804
4,1,3796
4,2,3804
4,3,3800
4,4,3698
4,5,70772
4,6,56718
4,7,3612
4,8,3580
4,9,3628
4,10,3624
4,11,19846
4,12,3628
4,13,76167
4,14,22322
4,15,2684
4,16,
4,17,1176
4,18,71519
4,19,3808
4,20,3804
4,21,3800
4,22,3800
4,23,3800
4,24,3800
5,1,3800
5,2,3800
5,3,3800
5,4,3768
5,5,3730
5,6,27792
5,7,4274
5,8,27622
5,9,3624
5,10,3620
5,11,3576
5,12,3616
5,13,3592
5,14,3624
5,15,3624
5,16,3628
5,17,3596
5,18,4085
5,19,4259
5,20,3696
5,21,3804
5,22,3796
5,23,3800
5,24,3800
6,1,3800
6,2,3798
6,3,3800
6,4,3736
6,5,3624
6,6,96687
6,7,3864
6,8,27531
6,9,36334
6,10,61070
6,11,3795
6,12,4217
6,13,3676
6,14,3654
6,15,3768
6,16,3652
6,17,3636
6,18,3600
6,19,3664
6,20,3572
6,21,89872
6,22,3800
6,23,3796
6,24,3800
7,1,3532
7,2,3800
7,3,3796
7,4,3800
7,5,3796
7,6,27258
7,7,83445
7,8,3564
7,9,4128
7,10,598178
7,11,900333
7,12,377885
7,13,4063
7,14,3933
7,15,73868
7,16,3886
7,17,20924
7,18,16439
7,19,3803
7,20,3796
7,21,3806
7,22,3796
7,23,3800
7,24,3796
8,1,3800
8,2,3800
8,3,3800
8,4,3882
8,5,109418
8,6,80796
8,7,3568
8,8,3656
8,9,3640
8,10,13207
8,11,3660
8,12,3632
8,13,3656
8,14,3700
8,15,4540
8,16,4483
8,17,84043
8,18,98452
8,19,3671
8,20,3874
8,21,3820
8,22,3796
8,23,3800
8,24,3800
9,1,3800
9,2,3800
9,3,3796
9,4,3838
9,5,181152
9,6,46618
9,7,3640
9,8,73305
9,9,3780
9,10,3572
9,11,3672
9,12,3644
9,13,3564
9,14,3664
9,15,3608
9,16,3736
9,17,74752
9,18,3825
9,19,74708
9,20,3796
9,21,3800
9,22,3796
9,23,3800
9,24,3724
10,1,3540
10,2,3800
10,3,3800
10,4,3859
10,5,99203
10,6,37231
10,7,3568
10,8,3660
10,9,3616
10,10,3612
10,11,3660
10,12,3568
10,13,3664
10,14,3584
10,15,3648
10,16,3780
10,17,3800
10,18,3804
10,19,74835
10,20,3804
10,21,3800
10,22,3800
10,23,3800
10,24,3804
11,1,3800
11,2,3800
11,3,3804
11,4,50209
11,5,27119
11,6,35034
11,7,3736
11,8,3632
11,9,3664
11,10,3583
11,11,3644
11,12,3656
11,13,3560
11,14,3656
11,15,3652
11,16,3789
11,17,4277
11,18,73103
11,19,3880
11,20,3900
11,21,4151
11,22,3796
11,23,3800
11,24,3800
12,1,3804
12,2,3796
12,3,3800
12,4,104296
12,5,3978
12,6,100212
12,7,3752
12,8,3644
12,9,3636
12,10,3596
12,11,3612
12,12,3640
12,13,3632
12,14,3640
12,15,3584
12,16,3800
12,17,72811
12,18,3932
12,19,3901
12,20,4004
12,21,3589
12,22,3724
12,23,3800
12,24,3800
13,1,3800
13,2,3800
13,3,3796
13,4,3800
13,5,51190
13,6,60083
13,7,39337
13,8,3595
13,9,25688
13,10,142241
13,11,32409
13,12,3667
13,13,3708
13,14,25776
13,15,34642
13,16,3708
13,17,128746
13,18,3822
13,19,3859
13,20,3952
13,21,3675
13,22,3780
13,23,3796
13,24,3800
14,1,3800
14,2,3800
14,3,3800
14,4,92898
14,5,4453
14,6,4228
14,7,50938
14,8,27554
14,9,3728
14,10,27497
14,11,27602
14,12,3632
14,13,3640
14,14,3621
14,15,108717
14,16,8307
14,17,3965
14,18,3881
14,19,3970
14,20,76680
14,21,3800
14,22,3800
14,23,3800
14,24,3800
15,1,3800
15,2,3800
15,3,3800
15,4,3800
15,5,26044
15,6,3628
15,7,3632
15,8,3632
15,9,3564
15,10,3648
15,11,3628
15,12,3572
15,13,3640
15,14,3624
15,15,3472
15,16,3576
15,17,3640
15,18,70246
15,19,3814
15,20,3768
15,21,3780
15,22,3756
15,23,3768
15,24,3768
16,1,3768
16,2,3788
16,3,48896
16,4,4561
16,5,3936
16,6,3792
16,7,3780
16,8,3772
16,9,3772
16,10,3768
16,11,3764
16,12,3772
16,13,3772
16,14,3768
16,15,1916
16,16,
16,17,
16,18,
16,19,
16,20,
16,21,
16,22,
16,23,
16,24,
17,1,3800
17,2,3800
17,3,3737
17,4,72666
17,5,75437
17,6,3568
17,7,3748
17,8,4500
17,9,3572
17,10,3656
17,11,3417
17,12,3620
17,13,3656
17,14,3568
17,15,3648
17,16,3644
17,17,3572
17,18,3783
17,19,3799
17,20,3800
17,21,3800
17,22,3800
17,23,3796
17,24,3800
18,1,3800
18,2,3800
18,3,3737
18,4,72666
18,5,75437
18,6,3568
18,7,3748
18,8,4500
18,9,3572
18,10,3656
18,11,3417
18,12,3620
18,13,3656
18,14,3568
18,15,3648
18,16,3644
18,17,3572
18,18,3783
18,19,3799
18,20,3800
18,21,3800
18,22,3800
18,23,3796
18,24,3800
19,1,
19,2,
19,3,
19,4,
19,5,
19,6,
19,7,
19,8,484
19,9,3800
19,10,3796
19,11,3800
19,12,3796
19,13,3796
19,14,3796
19,15,3800
19,16,3796
19,17,3800
19,18,126884
19,19,38338
19,20,4079
19,21,3796
19,22,3800
19,23,3752
19,24,3612
20,1,3804
20,2,3800
20,3,3801
20,4,3800
20,5,3796
20,6,3732
20,7,3584
20,8,3700
20,9,14696
20,10,3588
20,11,3632
20,12,3632
20,13,3632
20,14,58222
20,15,3921
20,16,3910
20,17,3962
20,18,3834
20,19,3859
20,20,81925
20,21,3800
20,22,3800
20,23,3800
20,24,3800
21,1,3796
21,2,3800
21,3,3796
21,4,3780
21,5,3806
21,6,50603
21,7,36997
21,8,3939
21,9,66045
21,10,46861
21,11,81604
21,12,3632
21,13,3636
21,14,29089
21,15,3640
21,16,3577
21,17,3901
21,18,3753
21,19,3857
21,20,4148
21,21,4191
21,22,4018
21,23,3800
21,24,3796
22,1,3800
22,2,3800
22,3,3726
22,4,98104
22,5,60801
22,6,52372
22,7,3648
22,8,3632
22,9,3568
22,10,3636
22,11,3632
22,12,3632
22,13,3624
22,14,3612
22,15,3592
22,16,62875
22,17,245873
22,18,35385
22,19,3702
22,20,3820
22,21,3799
22,22,3800
22,23,3800
22,24,3796
23,1,3800
23,2,3800
23,3,3737
23,4,72666
23,5,75437
23,6,3568
23,7,3748
23,8,4500
23,9,3572
23,10,3656
23,11,3417
23,12,3620
23,13,3656
23,14,3568
23,15,3648
23,16,3644
23,17,3572
23,18,3783
23,19,3799
23,20,3800
23,21,3800
23,22,3800
23,23,3796
23,24,3800
24,1,3556
24,2,3800
24,3,3800
24,4,63920
24,5,3999
24,6,3837
24,7,3804
24,8,3804
24,9,3804
24,10,3796
24,11,3796
24,12,3800
24,13,3804
24,14,3804
24,15,3800
24,16,3800
24,17,3811
24,18,84851
24,19,3851
24,20,3800
24,21,3800
24,22,3800
24,23,3800
24,24,3800
25,1,3804
25,2,3796
25,3,3800
25,4,93387
25,5,36665
25,6,3620
25,7,3628
25,8,3632
25,9,3580
25,10,3608
25,11,3584
25,12,3624
25,13,3624
25,14,3628
25,15,2920
25,16,
25,17,
25,18,2732
25,19,3731
25,20,71999
25,21,3800
25,22,3800
25,23,3804
25,24,3800
26,1,3800
26,2,3800
26,3,3800
26,4,29072
26,5,107069
26,6,3644
26,7,3644
26,8,3604
26,9,3616
26,10,3644
26,11,3620
26,12,3600
26,13,3652
26,14,3624
26,15,3600
26,16,3871
26,17,4180
26,18,4035
26,19,4010
26,20,183835
26,21,3712
26,22,3800
26,23,3800
26,24,3796
27,1,3801
27,2,3800
27,3,3804
27,4,3800
27,5,48976
27,6,69178
27,7,3691
27,8,3670
27,9,3644
27,10,4474
27,11,4318
27,12,3628
27,13,3606
27,14,4135
27,15,4051
27,16,95413
27,17,100240
27,18,62825
27,19,4068
27,20,4414
27,21,98347
27,22,15696
27,23,3804
27,24,3796
28,1,3800
28,2,3800
28,3,3800
28,4,27742
28,5,10792
28,6,4098
28,7,66025
28,8,4007
28,9,4157
28,10,35744
28,11,27222
28,12,26387
28,13,4131
28,14,3970
28,15,3896
28,16,130301
28,17,118840
28,18,4040
28,19,4100
28,20,28960
28,21,4393
28,22,3734
28,23,3800
28,24,3800
29,1,3800
29,2,3804
29,3,3800
