time_stamp,refrigerator,dish,kitchen,lighting,washer,microwave
0,65604.0,15.0,40689.0,41377.0,0.0,3801.0
1,48631.0,17.0,40758.0,41403.0,0.0,3800.0
2,22783.0,3.0,40649.0,41344.0,0.0,3804.0
3,62779.0,9.0,41931.0,41386.0,0.0,3800.0
4,54865.0,30.0,150163.0,77559.0,2.5,48976.0
5,44095.0,85.0,160331.0,240410.0,163554.0,69178.0
6,24704.0,3.0,43275.0,102989.0,1670852.5,3691.0
7,18553.0,29.0,42207.0,88345.0,164547.5,3670.0
8,59604.0,13.0,38752.0,2618.0,0.0,3644.0
9,110313.0,73.0,96783.0,62006.0,0.0,4474.0
10,63580.0,12.0,41579.0,56425.0,0.0,4318.0
11,56124.0,116.0,38702.0,2663.0,20.0,3628.0
12,21590.0,19.0,38106.0,6196.0,1.0,3606.0
13,54732.0,11.0,40429.0,107748.0,0.0,4135.0
14,11768.0,10.0,40403.0,105526.0,0.0,4051.0
15,85983.0,39.0,86214.0,117081.0,0.0,95413.0
16,190116.0,548.0,111195.0,137037.0,8079.0,100240.0
17,52234.0,371455.0,80700.0,123847.0,1490956.0,62825.0
18,64543.0,609464.0,48025.0,104603.0,619029.5,4068.0
19,14661.0,91247.0,44424.0,110099.0,3.0,4414.0
20,65933.0,22.0,44910.0,109171.0,0.0,98347.0
21,18203.0,10.0,41763.0,44711.0,0.0,15696.0
22,62239.0,12.0,41805.0,41624.0,0.0,3804.0
23,63157.0,65.0,41736.0,41480.0,16.0,3796.0
