gender,group,year,asthma,respiratory,bacterial,hypertension,heart disease,cholesterol,diabetes,hypothyroidism,depression,anxiety,epilepsy,pain relief
male,under 18,1988-1994,3.3,1.5,5.9,,,,,,2.5,,,1.2
male,under 18,1999-2002,4.4,1.7,5.2,,,,,,2.2,,,1.3
male,under 18,2007-2010,5.9,2.3,3.1,,,,,,1.2,,,1.1
male,under 18,2011-2014,4.9,2.4,2,,,,,,0.7,,,1
male,18 to 44,1988-1994,1.1,,,,0.9,1.8,1.4,1.2,1,1,0.6,5.1
male,18 to 44,1999-2002,1.6,,,,1.3,2,1.5,1.5,3.6,1.7,1.6,6
male,18 to 44,2007-2010,2.7,,,,1.3,3.3,1.7,1.2,4.4,3,2.7,6.6
male,18 to 44,2011-2014,4,,,,1.2,2.9,2.1,0.7,6.4,3.5,4,5.3
male,45 to 64,1988-1994,2.9,,,8.2,7,4.4,5.9,1.2,2.3,4.3,2.5,9.2
male,45 to 64,1999-2002,3.5,,,5.9,7.8,17.2,9.8,2.7,7,4.9,3.5,13.5
male,45 to 64,2007-2010,5.6,,,5.4,11.3,24.7,12.4,3.5,8.9,6.9,5.6,12.5
male,45 to 64,2011-2014,6.3,,,7.9,10.8,28.2,14.9,2.6,12.5,7.7,6.3,14.3
male,65 older,1988-1994,,,,14.5,10.4,5.3,9,3.3,2.3,,,11.4
male,65 older,1999-2002,,,,17.4,17.5,24.3,12.9,6.7,7.2,,,15
male,65 older,2007-2010,,,,16.8,35.4,53,20,7.2,9.4,,,17.1
male,65 older,2011-2014,,,,16.7,31.4,54.4,22.6,7.7,12,,,14.2
male,all,1988-1994,2.5,,,3.4,2.7,1.5,2.5,0.8,1.2,1.9,1.2,5.4
male,all,1999-2002,3.1,,,3.5,4.1,7.1,3.7,1.5,4.4,2.6,2.1,7.3
male,all,2007-2010,4.4,,,3.6,7.4,13.5,5.7,1.9,5.3,3.6,3.4,7.9
male,all,2011-2014,4.5,,,4.6,7.1,15,6.8,1.9,7.3,4.4,4.3,7.6
female,under 18,1988-1994,2.7,1.3,6.4,,,,,,1.5,,,1.4
female,under 18,1999-2002,3.6,1.3,5,,,,,,1.5,,,1.6
female,under 18,2007-2010,4.8,1.3,3.8,,,,,,1.5,,,1.6
female,under 18,2011-2014,3.9,1.3,3.2,,,,,,1.5,,,1.3
female,18 to 44,1988-1994,1,,,,1.3,2.8,1,2.1,2.3,1.9,1,9.1
female,18 to 44,1999-2002,1.5,,,,1.5,2.5,1.6,2.8,8.5,2.5,1.5,9.9
female,18 to 44,2007-2010,3.9,,,,1.8,2.3,2.2,4.2,11.3,4.7,3.9,9.3
female,18 to 44,2011-2014,4.2,,,,2,1.8,2.9,3.6,11.2,5,4.2,8.8
female,45 to 64,1988-1994,2.9,,,5.9,6.2,4.2,4.6,8.1,4.6,7.5,2.9,14.3
female,45 to 64,1999-2002,5.1,,,7.5,9.5,10.7,7.9,10.1,13.8,7.4,5.1,18.3
female,45 to 64,2007-2010,7.1,,,5.4,10.9,19.2,9.8,13.2,19.6,9,7.1,15.6
female,45 to 64,2011-2014,8.6,,,5.4,12.1,23.1,10.2,13.2,22.2,9.4,8.6,16.7
female,65 older,1988-1994,,,,17.3,12.8,6.4,9,9.7,3.5,,,15.6
female,65 older,1999-2002,,,,20.4,14.8,22.7,12,19.8,10.8,,,20.9
female,65 older,2007-2010,,,,17.3,29.5,41.8,17.2,22.9,17,,,17.8
female,65 older,2011-2014,,,,18.7,29.8,47.1,17.1,21.7,24.4,,,18.2
female,all,1988-1994,2.7,,,3.8,3.5,1.8,2.6,3.7,2.3,3.6,1.6,9
female,all,1999-2002,3.8,,,4.8,4.6,5.8,3.8,6.2,8.3,4,2.7,11.3
female,all,2007-2010,5.6,,,4,7.6,11.6,5.7,8.2,11.9,5.7,4.6,10.2
female,all,2011-2014,4.6,,,4.7,8.4,13.7,6.3,8,13.9,6.2,5.5,10.5
