province,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chiang Mai,60705,67310,69595,70957,79492,76159,86766,94060,106753,108762,117523,126976
Chiang Rai,33743,38813,40441,44738,51848,51174,59421,63069,75985,80670,80337,81835
Phetchaburi,82038,85278,90876,95116,101189,103217,109105,110754,128151,126614,123556,123800
Phetchabun,33067,38397,41787,45649,55125,56632,62954,65872,79455,90039,101205,92171
Loei,27668,29384,33186,40887,42311,44394,55432,66223,73927,75822,76445,77485
Phrae,31937,34382,36338,39165,42194,43466,48744,52311,58793,60988,60375,61013
Mae Hong Son,27768,29055,31988,33895,37019,38520,40017,41412,46858,50731,51655,56862
Krabi,104920,98084,123580,140443,157968,143765,159413,195778,207273,193367,195210,217685
Bangkok,324995,344236,356810,363524,369574,360232,374262,398951,429263,460596,484288,513397
Kanchanaburi,60210,64214,72507,80441,79975,86616,85404,96916,105110,107419,107469,106303
Kalasin,24182,24904,29385,31659,31948,37958,42258,48105,52546,54708,52164,51147
Kamphaeng Phet,70704,75719,84441,89119,96468,90340,97115,115493,146855,153410,138951,123428
Khon Kaen,48138,49914,60303,65487,72344,81453,87293,92176,106899,105683,105512,107607
Chanthaburi,96380,103455,118745,138041,143208,167272,181485,212562,203752,204374,212188,218411
Chachoengsao,220124,225748,256654,288953,320210,281771,346300,354426,460080,424431,423999,399194
Chon Buri,275402,329945,380045,420176,425403,384600,399284,406778,395773,429800,458602,491971
Chai Nat,52414,55977,57661,66154,84920,82233,83654,89432,114542,112949,92607,81072
Chaiyaphum,23866,25020,29440,32043,34273,40480,45035,50678,56221,59201,55161,55665
Chumphon,82239,88146,96606,109741,125415,120917,134493,142377,140400,146928,146633,151835
Trang,75651,84930,99255,98918,104582,94511,122797,142176,116160,106914,98614,96801
Trat,94142,91635,110302,118974,123904,124954,143541,158335,148697,139321,145932,148446
Tak,43610,49048,55333,56375,56749,58655,67733,67286,77620,77834,84056,88680
Nakhon Nayok,51014,53679,53258,58825,65602,69413,77608,81120,93159,94368,103373,102052
Nakhon Pathom,142373,153443,169381,158484,166490,163778,182068,202279,234428,258417,272586,288820
Nakhon Phanom,24503,25948,29809,32445,36567,43643,48897,52456,65248,70689,66404,66799
Nakhon Ratchasima,47697,51953,56824,61577,61075,66879,75307,83261,92951,101870,101449,106000
Nakhon Si Thammarat,66951,70485,73611,77575,76170,81140,102945,101575,99976,99273,92421,91648
Nakhon Sawan,50114,55566,62584,64252,73627,78382,83383,92591,115177,118322,108630,99724
Nonthaburi,101734,111890,119432,122769,125567,128646,133082,129618,142777,154092,184579,193426
Narathiwat,41256,46258,56173,58665,59892,57455,78217,88425,64013,58339,56299,54922
Nan,29924,31558,34392,38273,41759,41691,48476,49882,57536,58372,60628,64305
Bungkan,,,,,,,,48580,62546,64846,61427,60457
Buri Ram,24792,26408,30674,33139,35755,41213,48440,52777,54886,61057,57892,58554
Pathum Thani,224483,224162,233949,224126,240631,248028,264787,223227,217219,225025,231792,236145
Prachuap Khiri Khan,103155,109221,116478,120568,132447,126301,135792,150474,149427,153163,162505,171357
Prachin Buri,211448,252957,274093,332483,368115,359422,388076,305919,433182,372975,373092,345795
Pattani,50499,52470,55354,52416,56323,60448,69201,76194,79337,77342,71692,73338
Phra Nakhon Si Ayutthaya,271766,273741,298955,339994,438556,379659,428777,371564,382348,467582,425092,475795
Phayao,33592,39485,44184,47876,54566,55370,65705,66959,76142,78871,77385,80802
Phangnga,93744,99544,115561,119815,136012,128863,155618,175830,166024,166796,168303,177350
Phattalung,40002,46680,54282,56682,59137,57727,70555,78951,73883,71005,65150,60497
Phichit,36856,41653,45778,46563,58244,60967,68270,69250,100454,109291,85739,68922
Phitsanulok,45645,50657,53807,56314,64008,63376,67977,73099,99934,99837,93709,91577
Phuket,184794,148587,184635,201914,201466,175251,186737,205026,229285,255798,265954,306779
Maha Sarakham,24057,25937,29298,33219,35812,42033,48997,51713,55951,60472,55753,57069
Mukdahan,27746,29045,32521,33998,35203,39981,44466,54272,55936,62643,61427,61630
Yasothon,23370,23681,26534,28990,30783,35089,43022,45405,49390,55473,49969,47333
Yala,60817,70375,81435,86787,89239,83357,118069,132347,113136,96933,87531,89875
Roi Et,25245,26746,30684,35464,37091,43377,52138,51867,57892,63499,57959,55982
Ranong,78722,80646,82316,83554,86967,83298,86954,89121,90467,90749,93141,91452
Rayong,578223,682820,776680,847269,846207,752923,873165,918651,997255,1033263,1029765,982500
Ratchaburi,107749,119474,128665,131241,142017,153290,167657,174504,182369,179661,191458,204753
Lop Buri,65838,73093,73108,73165,79468,85731,87939,96192,116875,131765,132925,129962
Lampang,47958,50488,52139,54298,56293,70380,77337,80763,84161,85847,84251,84151
Lamphun,83313,99031,105383,112620,129577,128691,172875,177026,170845,120119,139072,142771
Si Sa Ket,21461,23587,27977,31792,34118,39473,48402,51788,57813,62171,57232,56137
Sakon Nakhon,28025,30621,30872,33979,37571,44343,48596,50559,57449,63709,58951,57559
Songkhla,97189,107802,117641,116433,119911,114182,137261,150332,149659,154631,148814,153505
Satun,77305,82851,89989,93013,92352,91861,109260,122165,120962,110430,111358,112051
Samut Prakan,292048,294169,305078,366594,358891,309346,362494,322856,368363,338000,334451,339972
Samut Songkhram,57881,67418,78189,77455,84279,89090,87801,91921,90734,92202,100852,106513
Samut Sakhon,348659,341953,347999,342425,348307,322440,348212,353696,356010,343620,356479,364354
Sa Kaeo,32550,35973,40672,44763,45825,48052,48411,54308,59241,57924,58846,60573
Saraburi,176213,190573,200983,202993,223875,245470,254855,259721,286488,293203,296739,284180
Sing Buri,71270,78052,86535,94914,108148,114904,116839,125332,142812,134718,122322,111856
Sukhothai,31417,32943,35639,37927,43760,43642,50104,55931,74411,75748,68669,59921
Suphan Buri,49764,51527,58142,61539,71722,75092,72293,84525,99694,95374,89588,90458
Surat Thani,98733,106636,125666,122003,134995,122409,152391,174142,175003,176357,170976,183584
Surin,23986,25533,29451,33036,33623,40564,46619,50213,56197,61870,56792,56159
Nong Khai,27797,29844,34144,35393,40473,46107,53475,73145,75302,79848,74509,78558
Nong Bua Lam Phu,20975,22154,26174,28857,28358,31527,36008,39022,39409,42710,39994,41963
Ang Thong,57308,60203,65616,69240,79834,77608,72017,80834,107296,98320,90487,87290
Amnat Charoen,21997,24965,28928,33318,31260,37265,42848,44355,48986,58154,51848,51221
Udon Thani,32176,33331,38453,45104,46245,55043,60748,70817,74771,78233,78559,78095
