province,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Krabi,2486.446652,2584.476129,2682.505607,3029.894265,3377.282922,4918.776033,6460.269145,5742.117911,5023.966677,5836.815123,6437.693047,7038.570971,6362.838834,5687.106697,5550.150593,5413.194489,8687.455944,11961.7174
Bangkok,4429.573855,4379.75008,4329.926306,4763.473246,5197.020186,5174.223005,5151.425825,5107.89811,5064.370394,4979.045178,5816.421019,6653.79686,6831.246395,7008.695931,7919.227812,8829.759692,7053.54694,5277.334188
Kanchanaburi,2428.612624,2564.338353,2700.064082,2742.902916,2785.741749,2399.214995,2012.688241,2835.213073,3657.737905,2919.352772,3182.308555,3445.264338,2824.612304,2203.960269,2796.63249,3389.30471,3134.285485,2879.266261
Kalasin,1539.730855,1433.675104,1327.619353,1840.227491,2352.83563,2225.056072,2097.276514,2809.628324,3521.980135,4617.590516,3874.17174,3130.752964,4046.491509,4962.230054,4479.264659,3996.299263,4106.082986,4215.866709
Kamphaeng Phet,1804.549824,2274.527395,2744.504966,2409.003525,2073.502083,2554.774111,3036.046139,3615.732137,4195.418135,3763.953861,3464.354374,3164.754886,3276.462672,3388.170458,4556.494713,5724.818968,6141.313682,6557.808395
Khon Kaen,3577.379045,2818.007049,2058.635053,2570.057674,3081.480295,3115.796219,3150.112144,2867.157962,2584.203781,3825.664851,3724.498558,3623.332265,3048.333867,2473.335469,2515.897148,2558.458827,2280.395707,2002.332586
Chanthaburi,3971.099007,3836.190324,3701.28164,4176.962512,4652.643384,5277.827619,5903.011855,5777.571291,5652.130727,5969.272669,4997.550465,4025.82826,4003.710349,3981.592438,3761.131048,3540.669657,3857.137136,4173.604614
Chachoengsao,1628.035886,2737.808395,3847.580904,3884.588273,3921.595642,4564.56264,5207.529638,3847.132329,2486.735021,4841.845562,3949.253444,3056.661326,3174.363986,3292.066645,5127.250881,6962.435117,4689.854213,2417.27331
Chon Buri,1286.735021,1711.438641,2136.142262,2077.21884,2018.295418,4279.862224,6541.429029,5323.165652,4104.902275,4463.92182,5294.264659,6124.607498,6050.272349,5975.9372,5536.57001,5097.20282,4938.724768,4780.246716
Chai Nat,1789.522589,1885.885934,1982.249279,2000.817046,2019.384813,2511.823134,3004.261455,3074.078821,3143.896187,5772.989426,5227.595322,4682.201218,5160.017623,5637.834028,7050.637616,8463.441205,8610.701698,8757.962192
Chaiyaphum,689.682794,1022.268504,1354.854213,1292.278116,1229.702019,1869.657161,2509.612304,2806.456264,3103.300224,2933.354694,3118.266581,3303.178468,3335.88273,3368.586991,4313.817687,5259.048382,5127.149952,4995.251522
Chumphon,2578.372317,2864.514579,3150.656841,2981.96091,2813.264979,2851.602051,2889.939122,3308.586991,3727.234861,4079.237424,4036.465876,3993.694329,4082.133931,4170.573534,5248.6719,6326.770266,6363.415572,6400.060878
