province,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Krabi,384.0435758,351.0733739,318.1031721,372.4126882,426.7222044,483.7391862,540.7561679,565.8923422,591.0285165,604.0371676,680.855495,757.6738225,913.1256008,1068.577379,971.2608138,873.9442486,933.7920538,993.639859
Bangkok,834.7965396,848.4940724,862.1916053,905.126562,948.0615187,952.1307273,956.1999359,1065.379686,1174.559436,1250.240308,1304.069209,1357.89811,1463.168856,1568.439603,1572.28132,1576.123037,1518.143223,1460.163409
Kanchanaburi,419.1605255,396.6997757,374.239026,433.5148991,492.7907722,440.5959628,388.4011535,444.2165972,500.032041,491.0605575,527.026594,562.9926306,525.1666133,487.340596,543.9907081,600.6408202,602.848446,605.0560718
Kalasin,221.3393143,214.3063121,207.2733098,243.5917975,279.9102852,282.6658122,285.4213393,342.4863826,399.5514258,400.7369433,388.577379,376.4178148,465.2499199,554.082025,500.064082,446.0461391,470.5655239,495.0849087
Kamphaeng Phet,313.0086511,354.4216597,395.8346684,399.5033643,403.1720602,406.2640179,409.3559756,450.3844921,491.4130087,498.5261134,539.4745274,580.4229414,589.3447613,598.2665812,652.9077219,707.5488625,676.4306312,645.3123999
Khon Kaen,369.144505,340.8843319,312.6241589,341.4130087,370.2018584,394.777315,419.3527715,391.4931112,363.6334508,482.6978533,558.2185197,633.7391862,573.6847164,513.6302467,546.7061839,579.7821211,631.7157962,683.6494713
Chanthaburi,498.1736623,433.7552067,369.336751,440.3396347,511.3425184,510.349247,509.3559756,584.7965396,660.2371035,604.4857417,613.7135533,622.9413649,700.410125,777.878885,826.0349247,874.1909644,1014.210189,1154.229414
Chachoengsao,448.8945851,445.2258891,441.5571932,458.3466838,475.1361743,508.923422,542.7106697,540.0192246,537.3277796,662.1275232,671.5315604,680.9355976,709.431272,737.9269465,922.4447293,1106.962512,994.9247036,882.8868952
Chon Buri,450.9772509,446.6837552,442.3902595,490.2915732,538.1928869,626.1294457,714.0660045,707.3854534,700.7049023,713.2329382,741.9416854,770.6504326,753.9122076,737.1739827,823.0326818,908.891381,891.1118231,873.3322653
Chai Nat,357.5456584,382.121115,406.6965716,381.4802948,356.2640179,392.5344441,428.8048702,423.5982057,418.3915412,448.4139699,524.0948414,599.7757129,623.1912848,646.6068568,848.0310798,1049.455303,878.1223967,706.7894905
