province,2007,2008,2009,2010,2011,2012,2013
Chiang Mai,0.348,0.336,0.324,0.319,0.313,0.294,0.274 
Chiang Rai,0.428,0.416,0.404,0.367,0.329,0.297,0.264 
Phetchaburi,0.341,0.321,0.301,0.271,0.241,0.247,0.252 
Phetchabun,0.343,0.348,0.353,0.330,0.307,0.291,0.275 
Loei,0.427,0.370,0.312,0.323,0.333,0.284,0.234 
Phrae,0.335,0.309,0.283,0.304,0.325,0.324,0.323 
Mae Hong Son,0.414,0.392,0.370,0.360,0.349,0.350,0.350 
Krabi,0.319,0.317,0.315,0.343,0.370,0.329,0.287 
Bangkok,0.376,0.384,0.392,0.413,0.433,0.395,0.357 
Kanchanaburi,0.357,0.330,0.302,0.291,0.279,0.260,0.240 
Kalasin,0.390,0.376,0.362,0.373,0.384,0.363,0.341 
Kamphaeng Phet,0.306,0.313,0.319,0.307,0.294,0.273,0.251 
Khon Kaen,0.328,0.354,0.380,0.307,0.233,0.233,0.233 
Chanthaburi,0.306,0.312,0.318,0.349,0.379,0.380,0.380 
Chachoengsao,0.315,0.297,0.279,0.266,0.253,0.248,0.243 
Chon Buri,0.183,0.186,0.189,0.168,0.146,0.116,0.085 
Chai Nat,0.364,0.358,0.352,0.367,0.382,0.426,0.470 
Chaiyaphum,0.337,0.323,0.309,0.312,0.314,0.336,0.358 
Chumphon,0.314,0.326,0.338,0.319,0.299,0.292,0.285 
Trang,0.319,0.333,0.347,0.387,0.427,0.453,0.479 
Trat,0.368,0.348,0.328,0.382,0.435,0.356,0.276 
Tak,0.313,0.319,0.324,0.378,0.432,0.381,0.329 
Nakhon Nayok,0.296,0.265,0.234,0.229,0.224,0.267,0.310 
Nakhon Pathom,0.191,0.200,0.209,0.237,0.264,0.269,0.273 
Nakhon Phanom,0.346,0.347,0.347,0.331,0.314,0.278,0.241 
Nakhon Ratchasima,0.356,0.341,0.326,0.334,0.342,0.339,0.336 
Nakhon Si Thammarat,0.442,0.404,0.366,0.377,0.387,0.367,0.347 
Nakhon Sawan,0.337,0.324,0.311,0.338,0.364,0.374,0.383 
Nonthaburi,0.278,0.284,0.289,0.289,0.289,0.244,0.198 
Narathiwat,0.333,0.283,0.232,0.308,0.384,0.343,0.302 
