province,2011,2012,2013,2014,2015,2016,2017
Amnat Charoen,89.3318082,88.85731205,88.50934821,88.22465052,87.8450536,87.46545668,87.08585976
Ang Thong,260.6436369,262.8122251,263.6383539,264.4644827,265.0840793,265.6004098,266.0134742
Bangkok,4902.909523,4999.642321,5044.599455,5086.886546,5126.205619,5162.334845,5194.630114
Bungkan,,,,,,,
Buri Ram,122.3979537,121.7101615,121.3032984,120.9351843,120.5089469,120.1698944,119.7727186
Chachoengsao,130.9848626,135.5073818,137.7686414,139.9738367,142.179032,144.3655392,146.5146702
Chai Nat,122.9276209,124.3042807,124.8711406,125.3570205,125.8429004,126.2478004,126.6122103
Chaiyaphum,75.30743362,75.17439544,75.05700882,74.93179641,74.81440979,74.65789429,74.54050766
Chanthaburi,73.24076996,75.9545598,77.27989902,78.62101609,79.89902177,81.20858315,82.50236668
Chiang Mai,83.88597098,83.58259491,83.39360653,83.18969802,82.94102911,82.6475998,82.31935683
Chiang Rai,98.19864401,97.66774795,97.35948573,96.99984647,96.63164437,96.22919091,95.78392325
Chon Buri,326.6330507,335.3197341,339.4453358,343.4792574,347.581939,351.5012606,355.3518221
Chumphon,70.90028385,72.16487469,72.74725205,73.31299006,73.84544936,74.41118737,74.91036796
Kalasin,117.9832975,117.5658359,117.2491408,116.8892601,116.5005889,116.068732,115.6224799
Kamphaeng Phet,90.88596095,90.11918689,89.71256429,89.30594169,88.88770129,88.49269648,88.08607387
Kanchanaburi,39.92681265,39.97813906,39.98840434,39.9832717,39.96274113,39.94221057,39.8960168
Khon Kaen,158.5432139,158.5707723,158.6167029,158.6075168,158.4789111,158.3686777,158.1114664
Krabi,76.28737062,77.15813403,77.58289668,77.94394492,78.3262313,78.68727955,79.00585153
Lampang,58.93587829,58.903965,58.86407338,58.76035517,58.66461528,58.52100545,58.34548233
Lamphun,90.6148896,90.14883213,89.94909321,89.7715475,89.61619501,89.4386493,89.2611036
Loei,47.24011634,47.05630266,46.96877233,46.86373594,46.77620562,46.67116923,46.57488587
Lop Buri,122.5210101,122.9887707,123.1661971,123.3758829,123.5533093,123.666217,123.7307357
Mae Hong Son,15.78707603,15.54262081,15.41645037,15.30605124,15.18776645,15.08525297,14.97485384
Maha Sarakham,155.0168444,155.4703863,155.6215669,155.6404645,155.5081814,155.2058202,154.8278686
Mukdahan,81.8926087,81.13221025,80.74048983,80.32572704,79.91096425,79.5653286,79.15056581
Nakhon Nayok,111.8755891,115.9754948,118.1432611,120.263902,122.3845429,124.5051838,126.5786993
Nakhon Pathom,417.0035239,434.6669114,443.7983754,452.6070099,461.5078814,470.8238195,479.909165
Nakhon Phanom,104.722432,103.8335702,103.3619293,102.7995881,102.3098072,101.7656061,101.2939651
Nakhon Ratchasima,122.7190601,122.1384013,121.8944271,121.6846092,121.4991887,121.2991298,121.1381068
Nakhon Sawan,102.8790613,102.4518746,102.1913949,101.920496,101.6079203,101.3370214,101.0452842
Nakhon Si Thammarat,144.9635112,147.6288363,148.9262964,150.1734674,151.4105806,152.6476937,153.7741707
Nan,39.36516437,39.09494292,38.94675696,38.78113736,38.62423458,38.45861497,38.28427855
Narathiwat,149.2147123,150.7341194,151.4491345,152.2311823,152.8791647,153.5494913,154.1974738
Nong Bua Lam Phu,125.5478629,124.6149995,124.0190035,123.500746,122.9306629,122.3605797,121.8682351
Nong Khai,146.4020507,145.3449962,144.6843371,143.9576121,143.2308871,142.5702281,141.7774372
Nonthaburi,2095.442252,2192.983161,2242.155349,2293.416551,2343.231513,2392.243007,2442.379355
Pathum Thani,815.6733008,848.1141078,863.9085209,879.57186,895.4973471,911.3572971,926.6929514
Pattani,311.1800103,314.4783741,315.9729452,317.8798117,319.3228459,320.7658801,322.2604512
Phangnga,53.96923202,54.88030746,55.31186951,55.69548023,56.10306661,56.48667732,56.84631236
Phattalung,139.671126,142.4160739,143.7593463,145.015014,146.2706816,147.5263493,148.6944122
Phayao,65.28746373,65.17696754,65.05068618,64.89283448,64.68762727,64.43506455,64.16671665
Phetchabun,73.20567938,72.66101776,72.37684648,72.07688791,71.77692933,71.47697076,71.17701219
Phetchaburi,74.66501144,75.03448116,75.16299237,75.30756748,75.37182308,75.45214259,75.48427039
Phichit,120.5911349,120.1497325,119.862821,119.5979795,119.311068,119.0020863,118.6931046
Phitsanulok,83.49779869,83.10947984,82.87833767,82.6471955,82.3605792,82.07396291,81.73187249
Phra Nakhon Si Ayutthaya,332.5067276,332.5458414,332.5458414,332.2329307,331.8417924,331.450654,330.9812879
Phrae,64.84570546,64.78453026,64.72335507,64.61629848,64.50924189,64.3868915,64.23395352
Phuket,812.6562978,820.5747706,824.2577813,827.3883403,831.2555015,833.6494584,836.7800175
Prachin Buri,113.0531446,117.0007656,118.9745761,120.9063906,122.7752111,124.6860276,126.5548482
Prachuap Khiri Khan,70.29313935,70.24602599,70.19891262,70.1360948,70.05757253,69.9633458,69.83771016
Ranong,55.27517059,56.06351642,56.42736833,56.76089926,57.15507217,57.4582821,57.73117104
Ratchaburi,149.3901043,150.0059079,150.2753219,150.4677606,150.6409553,150.7756624,150.8526378
Rayong,217.9898649,224.7747748,228.0405405,231.2218468,234.2905405,237.3029279,240.2027027
Roi Et,130.6231293,130.2255126,129.9965817,129.7074059,129.4182301,129.0929073,128.7434865
Sa Kaeo,97.92318353,98.04826282,98.04826282,98.04826282,98.00656972,97.92318353,97.77030885
Sakon Nakhon,97.60806116,96.88974245,96.49414664,96.06731958,95.64049252,95.20325505,94.77642799
Samut Prakan,1729.82157,1806.1094,1843.755353,1881.202121,1918.150926,1954.900547,1991.052613
Samut Sakhon,742.021237,770.7941908,785.3526177,799.1086116,813.2085053,826.1620662,838.657094
Samut Songkhram,422.3591156,426.4387207,428.1185581,429.7983955,431.2382561,432.9180935,434.3579542
Saraburi,197.0090195,197.2606631,197.2606631,197.2606631,197.1767819,197.0090195,196.701455
Satun,107.2216483,108.5528426,109.1579309,109.72268,110.3277683,110.8118389,111.3362488
Si Sa Ket,117.7944375,117.2514496,116.8894576,116.4935289,116.1089125,115.6790471,115.2491817
Sing Buri,240.0064196,242.4380956,243.5323498,244.5050202,245.3561068,246.0856096,246.6935286
Songkhla,197.6361831,200.489891,201.8694086,203.1542535,204.4255736,205.6292703,206.792393
Sukhothai,94.87435894,94.40438369,94.13149483,93.84344548,93.54023564,93.22186531,92.90349498
Suphan Buri,156.6813637,157.8198465,158.3424288,158.7530291,159.2009568,159.5742298,159.8915119
Surat Thani,74.06448404,75.15823061,75.68571122,76.1744065,76.63207351,77.08974051,77.51637924
Surin,137.1851696,136.8405141,136.6066408,136.323531,136.0281121,135.7326931,135.3634195
Tak,28.28731033,27.90331969,27.72046701,27.52542414,27.34257146,27.17190895,26.98296118
Trang,120.6909419,122.6431459,123.5582415,124.4123307,125.2664199,126.1001737,126.8525856
Trat,76.6583895,79.38985456,80.77332387,82.15679319,83.5402625,84.88825825,86.23625399
Ubon Ratchathani,110.0164828,109.3444909,109.0338532,108.6978572,108.3618613,107.9941676,107.6137949
Udon Thani,109.1872997,108.4626807,108.0364342,107.6357625,107.2180409,106.8003194,106.3825978
Uthai Thani,44.02513667,43.77254561,43.65367923,43.53481284,43.43080476,43.29708008,43.20793029
Uttaradit,55.69877856,55.59671941,55.52017505,55.4308733,55.30329937,55.18848283,55.03539411
Yala,94.86675523,95.86209307,96.34870268,96.8574309,97.29980328,97.72005703,98.14031078
Yasothon,116.4197782,116.1554609,115.8911435,115.6268262,115.33848,115.0501338,114.7137299
