,2011,2012,2013,2014,2015,2016,2017
Bangkok,7691375.577,7843123.896,7913649.816,7979987.14,8041668.424,8098345.678,8149008.461
Nakhon Pathom,904200,942500,962300,981400,1000700,1020900,1040600
Nonthaburi,1304000,1364700,1395300,1427200,1458200,1488700,1519900
Pathum Thani,1244600,1294100,1318200,1342100,1366400,1390600,1414000
Samut Prakan ,1736900,1813500,1851300,1888900,1926000,1962900,1999200
Samut Sakhon,647300,672400,685100,697100,709400,720700,731600
Ang Thong,252400,254500,255300,256100,256700,257200,257600
Phra Nakhon Si Ayutthaya,850100,850200,850200,849400,848400,847400,846200
Chai Nat,303600,307000,308400,309600,310800,311800,312700
Lop Buri,759600,762500,763600,764900,766000,766700,767100
Saraburi,704600,705500,705500,705500,705200,704600,703500
Sing Buri,197400,199400,200300,201100,201800,202400,202900
Kanchanaburi,777900,778900,779100,779000,778600,778200,777300
Phetchaburi,464800,467100,467900,468800,469200,469700,469900
Prachuap Khiri Khan,447600,447300,447000,446600,446100,445500,444700
Ratchaburi,776300,779500,780900,781900,782800,783500,783900
Samut Songkhram,176000,177700,178400,179100,179700,180400,181000
Suphan Buri,839500,845600,848400,850600,853000,855000,856700
Chachoengsao,700900,725100,737200,749000,760800,772500,784000
Chanthaburi,464200,481400,489800,498300,506400,514700,522900
Chon Buri,1425100,1463000,1481000,1498600,1516500,1533600,1550400
Nakhon Nayok,237400,246100,250700,255200,259700,264200,268600
Prachin Buri,538400,557200,566600,575800,584700,593800,602700
Sa Kaeo,704600,705500,705500,705500,705200,704600,703500
Rayong,774300,798400,810000,821300,832200,842900,853200
Trat,216100,223800,227700,231600,235500,239300,243100
Chiang Mai,1686700,1680600,1676800,1672700,1667700,1661800,1655200
Chiang Rai,1146800,1140600,1137000,1132800,1128500,1123800,1118600
Kamphaeng Phet,782300,775700,772200,768700,765100,761700,758200
Lampang,738700,738300,737800,736500,735300,733500,731300
Lamphun,408300,406200,405300,404500,403800,403000,402200
Mae Hong Son,200200,197100,195500,194100,192600,191300,189900
Nakhon Sawan,987400,983300,980800,978200,975200,972600,969800
Nan,451600,448500,446800,444900,443100,441200,439200
Phitsanulok,903100,898900,896400,893900,890800,887700,884000
Phayao,413600,412900,412100,411100,409800,408200,406500
Phetchabun,927400,920500,916900,913100,909300,905500,901700
Phichit,546400,544400,543100,541900,540600,539200,537800
Phrae,424000,423600,423200,422500,421800,421000,420000
Sukhothai,625800,622700,620900,619000,617000,614900,612800
Tak,464100,457800,454800,451600,448600,445800,442700
Uthai Thani,296300,294600,293800,293000,292300,291400,290800
Uttaradit,436600,435800,435200,434500,433500,432600,431400
Buri Ram,1263500,1256400,1252200,1248400,1244000,1240500,1236400
Chaiyaphum,962300,960600,959100,957500,956000,954000,952500
Kalasin,819600,816700,814500,812000,809300,806300,803200
Khon Kaen,1725900,1726200,1726700,1726600,1725200,1724000,1721200
Nakhon Ratchasima,2515000,2503100,2498100,2493800,2490000,2485900,2482600
Loei,539700,537600,536600,535400,534400,533200,532100
Mukdahan,355400,352100,350400,348600,346800,345300,343500
Nakhon Phanom,577300,572400,569800,566700,564000,561000,558400
Nong Khai,443200,440000,438000,435800,433600,431600,429200
Roi Et,1084100,1080800,1078900,1076500,1074100,1071400,1068500
Sakon Nakhon,937600,930700,926900,922800,918700,914500,910400
Maha Sarakham,820300,822700,823500,823600,822900,821300,819300
Si Sa Ket,1041300,1036500,1033300,1029800,1026400,1022600,1018800
Surin,1114500,1111700,1109800,1107500,1105100,1102700,1099700
Ubon Ratchathani,1735400,1724800,1719900,1714600,1709300,1703500,1697500
Amnat Charoen,282400,280900,279800,278900,277700,276500,275300
Udon Thani,1280800,1272300,1267300,1262600,1257700,1252800,1247900
Nong Bua Lam Phu,484500,480900,478600,476600,474400,472200,470300
Yasothon,484500,483400,482300,481200,480000,478800,477400
Chumphon,426100,433700,437200,440600,443800,447200,450200
Krabi,359200,363300,365300,367000,368800,370500,372000
Nakhon Si Thammarat,1441300,1467800,1480700,1493100,1505400,1517700,1528900
Narathiwat,667800,674600,677800,681300,684200,687200,690100
Pattani,603800,610200,613100,616800,619600,622400,625300
Phangnga,225100,228900,230700,232300,234000,235600,237100
Phattalung,478300,487700,492300,496600,500900,505200,509200
Phuket,441300,445600,447600,449300,451400,452700,454400
Ranong,182300,184900,186100,187200,188500,189500,190400
Satun,265800,269100,270600,272000,273500,274700,276000
Songkhla,1461300,1482400,1492600,1502100,1511500,1520400,1529000
Surat Thani,954800,968900,975700,982000,987900,993800,999300
Trang,593500,603100,607600,611800,616000,620100,623800
Yala,428900,433400,435600,437900,439900,441800,443700
