province,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chiang Mai,46.33130407,47.29253444,48.25376482,49.47132329,50.68888177,54.43768023,58.18647869,61.23037488,66.19673182,66.64530599,69.84940724,73.02146748,75.23229734,77.92374239,81.22396668,83.5950016,82.60173021
Chiang Rai,43.09516181,44.28067927,45.49823774,47.45273951,49.43928228,52.35501442,55.27074656,57.54565844,61.83915412,63.0887536,67.02979814,70.39410445,73.47004165,78.27619353,79.17334188,77.79557834,79.10925985
Phetchaburi,57.06504326,57.54565844,58.02627363,59.98077539,61.90323614,64.81896828,67.73470042,68.56776674,74.75168215,74.46331304,78.88497277,81.06376161,81.8007049,85.22909324,88.33707145,87.05543095,87.34380006
Phetchabun,43.12720282,43.47965396,43.86414611,45.08170458,46.33130407,48.92662608,51.48990708,53.25216277,58.34668376,58.79525793,61.58282602,65.81223967,66.77347004,70.20185838,73.47004165,71.70778597,72.89330343
Loei,41.49311118,42.23005447,42.93495674,44.31272028,45.65844281,48.47805191,51.29766101,54.53380327,60.39730855,60.10893944,64.24223005,67.99102852,69.62512015,72.79718039,74.14290292,73.27779558,75.32842038
Phrae,45.08170458,45.81864787,46.52355014,48.06151874,49.56744633,52.41909644,55.23870554,57.64178148,63.0887536,62.51201538,65.6520346,69.91348927,72.28452419,73.98269785,76.77026594,76.12944569,76.77026594
Mae Hong Son,41.97372637,42.99903877,44.02435117,45.49823774,47.00416533,49.37520026,51.74623518,54.24543416,60.90996475,61.550785,62.15956424,67.22204422,69.11246395,71.67574495,75.3925024,73.56616469,75.52066645
Krabi,48.51009292,49.59948734,50.65684076,52.80358859,54.95033643,58.50688882,62.0634412,63.63345082,69.40083307,68.82409484,72.0602371,77.21884012,80.16661326,81.41621275,83.56296059,82.24927908,82.66581224
Bangkok,69.240628,69.88144825,70.49022749,72.22044217,73.98269785,77.25088113,80.48702339,82.18519705,86.31848766,85.74174944,88.30503044,92.95097725,95.93079141,97.62896508,100.3844921,100.3524511,100.8330663
Kanchanaburi,56.26401794,56.52034604,56.80871516,58.34668376,59.91669337,63.53732778,67.1900032,69.08042294,74.43127203,74.17494393,77.79557834,80.99967959,82.79397629,86.03011855,88.59339955,88.08074335,87.4399231
Kalasin,41.71739827,42.10189042,42.51842358,44.18455623,45.85068888,49.02274912,52.16276834,56.23197693,60.14098045,60.71771868,64.69080423,69.08042294,70.49022749,73.53412368,75.77699455,76.70618392,77.60333227
Kamphaeng Phet,42.99903877,43.54373598,44.12047421,45.43415572,46.77987824,49.79173342,52.83562961,54.62992631,59.40403717,59.27587312,63.37712272,66.54918295,68.02306953,70.5222685,71.5475809,71.13104774,73.21371355
Khon Kaen,43.38353092,43.96026914,44.56904838,46.04293496,47.54886254,51.39378404,55.20666453,57.12912528,62.38385133,63.18487664,66.48510093,71.86799103,74.36719,77.4431272,80.55110541,79.65395707,81.2880487
Chanthaburi,57.60974047,57.93015059,58.21851971,60.71771868,63.18487664,65.84428068,68.50368472,70.39410445,75.80903557,76.64210189,79.36558795,83.17846844,85.45338033,87.47196411,90.64402435,89.58667094,89.2342198
Chachoengsao,54.62992631,55.14258251,55.65523871,58.37872477,61.13425184,63.8577379,66.58122397,67.73470042,72.86126242,73.02146748,75.23229734,80.64722845,83.21050945,85.06888818,87.79237424,87.21563601,87.88849728
Chon Buri,61.42262095,61.61486703,61.77507209,64.17814803,66.58122397,70.74655559,74.91188722,77.37904518,82.08907401,81.41621275,85.16501121,88.68952259,93.30342839,98.62223646,98.65427748,100.064082,100.096123
Chai Nat,57.67382249,58.25056072,58.79525793,60.81384172,62.8324255,66.13264979,69.46491509,71.96411407,77.66741429,76.19352772,81.70458186,84.84460109,86.09420058,87.02338994,90.16340916,90.32361423,89.29830183
Chaiyaphum,42.80679269,43.70394104,44.63313041,45.04966357,45.46619673,48.95866709,52.45113746,54.75809036,60.42934957,60.17302147,63.28099968,66.77347004,68.7279718,72.09227812,74.1108619,75.00801025,75.10413329
Chumphon,51.68215316,52.48317847,53.28420378,55.43095162,57.57769946,61.00608779,64.40243512,66.06856777,73.30983659,73.40595963,75.80903557,79.55783403,84.29990388,86.38256969,87.9525793,87.34380006,88.59339955
Trang,49.37520026,50.40051266,51.42582506,53.18808074,54.91829542,59.30791413,63.66549183,65.87632169,70.23389939,71.73982698,74.17494393,79.2374239,82.89009933,85.67766741,87.56808715,87.21563601,88.36911246
Trat,56.42422301,57.54565844,58.66709388,60.17302147,61.64690804,65.01121435,68.34347965,69.08042294,76.44985582,75.9051586,79.2374239,82.37744313,84.78051906,85.9019545,88.75360461,87.60012816,87.37584108
Tak,42.45434156,43.47965396,44.47292534,46.33130407,48.15764178,51.29766101,54.40563922,56.03973086,60.49343159,59.94873438,62.99263057,67.1900032,67.54245434,70.87471964,73.0855495,73.05350849,73.5982057
Nakhon Nayok,54.30951618,55.17462352,56.03973086,58.15443768,60.2691445,63.0887536,65.9083627,68.05511054,72.02819609,73.0855495,77.47516822,81.41621275,81.25600769,84.04357578,85.32521628,87.31175905,85.00480615
Nakhon Pathom,56.36014098,57.83402756,59.30791413,60.46139058,61.61486703,64.46651714,67.31816725,69.20858699,75.48862544,75.9051586,79.87824415,85.19705223,87.02338994,87.92053829,87.4399231,88.9778917,90.38769625
Nakhon Phanom,41.46107017,41.78148029,42.06984941,43.54373598,45.04966357,48.34988786,51.61807113,55.20666453,59.08362704,59.82057033,63.24895867,68.31143864,70.84267863,72.98942647,74.71964114,75.61678949,76.96251202
Nakhon Ratchasima,42.99903877,43.19128484,43.35148991,44.53700737,45.69048382,49.02274912,52.38705543,54.75809036,60.39730855,59.11566806,63.53732778,67.9589875,69.65716117,70.93880167,73.88657482,72.92534444,75.3925024
