Id,Id2,Geography,TargetGeoId,TargetGeoId2,Geographicarea,Geographicarea,Population,Housingunits,AreainsquaremilesTotal,AreainsquaremilesWater,AreainsquaremilesLand,DensitypersquaremilelandPopulation,DensitypersquaremilelandHousingunits
0500000US06075,6075,"San Francisco County, California",1400000US06075010100,6075010100,San Francisco County - Census Tract 101,Census Tract 101,3739,2267,0.55,0.25,0.3,12471.6,7561.7
0500000US06075,6075,"San Francisco County, California",1400000US06075010200,6075010200,San Francisco County - Census Tract 102,Census Tract 102,4143,2969,0.31,0.11,0.2,20812.5,14914.8
0500000US06075,6075,"San Francisco County, California",1400000US06075010300,6075010300,San Francisco County - Census Tract 103,Census Tract 103,3852,2341,0.1,0,0.1,37189.3,22601.3
0500000US06075,6075,"San Francisco County, California",1400000US06075010400,6075010400,San Francisco County - Census Tract 104,Census Tract 104,4545,2884,0.13,0,0.13,35061.6,22248.1
0500000US06075,6075,"San Francisco County, California",1400000US06075010500,6075010500,San Francisco County - Census Tract 105,Census Tract 105,2685,1985,0.45,0.19,0.26,10171.8,7519.9
0500000US06075,6075,"San Francisco County, California",1400000US06075010600,6075010600,San Francisco County - Census Tract 106,Census Tract 106,3894,2286,0.07,0,0.07,53868.7,31624
0500000US06075,6075,"San Francisco County, California",1400000US06075010700,6075010700,San Francisco County - Census Tract 107,Census Tract 107,5592,3025,0.07,0,0.07,79071.9,42774.1
0500000US06075,6075,"San Francisco County, California",1400000US06075010800,6075010800,San Francisco County - Census Tract 108,Census Tract 108,4578,2719,0.09,0,0.09,52447.3,31149.9
0500000US06075,6075,"San Francisco County, California",1400000US06075010900,6075010900,San Francisco County - Census Tract 109,Census Tract 109,4320,2891,0.1,0,0.1,44797.5,29979
0500000US06075,6075,"San Francisco County, California",1400000US06075011000,6075011000,San Francisco County - Census Tract 110,Census Tract 110,4827,2714,0.09,0,0.09,52104.8,29296.1
0500000US06075,6075,"San Francisco County, California",1400000US06075011100,6075011100,San Francisco County - Census Tract 111,Census Tract 111,5164,3388,0.1,0,0.1,54225.6,35576.4
0500000US06075,6075,"San Francisco County, California",1400000US06075011200,6075011200,San Francisco County - Census Tract 112,Census Tract 112,3286,2331,0.07,0,0.07,47970.9,34029.2
0500000US06075,6075,"San Francisco County, California",1400000US06075011300,6075011300,San Francisco County - Census Tract 113,Census Tract 113,3143,1675,0.04,0,0.04,79575.5,42408.2
0500000US06075,6075,"San Francisco County, California",1400000US06075011700,6075011700,San Francisco County - Census Tract 117,Census Tract 117,1783,1416,0.21,0,0.21,8305,6595.6
0500000US06075,6075,"San Francisco County, California",1400000US06075011800,6075011800,San Francisco County - Census Tract 118,Census Tract 118,1500,800,0.02,0,0.02,68682.9,36630.9
0500000US06075,6075,"San Francisco County, California",1400000US06075011901,6075011901,San Francisco County - Census Tract 119.01,Census Tract 119.01,2408,1711,0.02,0,0.02,100117,71138
0500000US06075,6075,"San Francisco County, California",1400000US06075011902,6075011902,San Francisco County - Census Tract 119.02,Census Tract 119.02,2598,1981,0.04,0,0.04,72311.4,55138.1
0500000US06075,6075,"San Francisco County, California",1400000US06075012000,6075012000,San Francisco County - Census Tract 120,Census Tract 120,3833,2796,0.05,0,0.05,79433.4,57943
0500000US06075,6075,"San Francisco County, California",1400000US06075012100,6075012100,San Francisco County - Census Tract 121,Census Tract 121,3833,2406,0.05,0,0.05,80453.7,50501.3
0500000US06075,6075,"San Francisco County, California",1400000US06075012201,6075012201,San Francisco County - Census Tract 122.01,Census Tract 122.01,4567,2906,0.04,0,0.04,128506.1,81769
0500000US06075,6075,"San Francisco County, California",1400000US06075012202,6075012202,San Francisco County - Census Tract 122.02,Census Tract 122.02,2986,1633,0.04,0,0.04,83351.7,45583.8
0500000US06075,6075,"San Francisco County, California",1400000US06075012301,6075012301,San Francisco County - Census Tract 123.01,Census Tract 123.01,2734,1786,0.04,0,0.04,76844.9,50199.3
0500000US06075,6075,"San Francisco County, California",1400000US06075012302,6075012302,San Francisco County - Census Tract 123.02,Census Tract 123.02,3073,2388,0.04,0,0.04,85906.2,66756.9
0500000US06075,6075,"San Francisco County, California",1400000US06075012401,6075012401,San Francisco County - Census Tract 124.01,Census Tract 124.01,5075,2934,0.04,0,0.04,142919.8,82625.9
0500000US06075,6075,"San Francisco County, California",1400000US06075012402,6075012402,San Francisco County - Census Tract 124.02,Census Tract 124.02,3974,2517,0.14,0,0.14,28669,18158
0500000US06075,6075,"San Francisco County, California",1400000US06075012501,6075012501,San Francisco County - Census Tract 125.01,Census Tract 125.01,5335,2518,0.05,0,0.05,101880.8,48085.5
0500000US06075,6075,"San Francisco County, California",1400000US06075012502,6075012502,San Francisco County - Census Tract 125.02,Census Tract 125.02,3821,2309,0.02,0,0.02,161499.1,97592.6
0500000US06075,6075,"San Francisco County, California",1400000US06075012601,6075012601,San Francisco County - Census Tract 126.01,Census Tract 126.01,2329,1640,0.07,0,0.07,35340.8,24885.8
0500000US06075,6075,"San Francisco County, California",1400000US06075012602,6075012602,San Francisco County - Census Tract 126.02,Census Tract 126.02,2909,1924,0.45,0.21,0.24,11974.9,7920.1
0500000US06075,6075,"San Francisco County, California",1400000US06075012700,6075012700,San Francisco County - Census Tract 127,Census Tract 127,3492,2278,0.25,0.09,0.17,20814.4,13578.2
0500000US06075,6075,"San Francisco County, California",1400000US06075012800,6075012800,San Francisco County - Census Tract 128,Census Tract 128,4106,2629,0.19,0,0.19,21361.2,13677.2
0500000US06075,6075,"San Francisco County, California",1400000US06075012901,6075012901,San Francisco County - Census Tract 129.01,Census Tract 129.01,2557,1696,0.07,0,0.07,36565.7,24253.2
0500000US06075,6075,"San Francisco County, California",1400000US06075012902,6075012902,San Francisco County - Census Tract 129.02,Census Tract 129.02,3376,2215,0.14,0,0.14,24801.9,16272.6
0500000US06075,6075,"San Francisco County, California",1400000US06075013000,6075013000,San Francisco County - Census Tract 130,Census Tract 130,4044,2678,0.14,0,0.14,28609.2,18945.5
0500000US06075,6075,"San Francisco County, California",1400000US06075013101,6075013101,San Francisco County - Census Tract 131.01,Census Tract 131.01,3811,2639,0.07,0,0.07,57063.5,39514.7
0500000US06075,6075,"San Francisco County, California",1400000US06075013102,6075013102,San Francisco County - Census Tract 131.02,Census Tract 131.02,2625,1752,0.09,0,0.09,28568.3,19067.3
0500000US06075,6075,"San Francisco County, California",1400000US06075013200,6075013200,San Francisco County - Census Tract 132,Census Tract 132,4162,2590,0.21,0,0.21,19718.2,12270.6
0500000US06075,6075,"San Francisco County, California",1400000US06075013300,6075013300,San Francisco County - Census Tract 133,Census Tract 133,4232,2090,0.22,0,0.22,18855.4,9311.9
0500000US06075,6075,"San Francisco County, California",1400000US06075013400,6075013400,San Francisco County - Census Tract 134,Census Tract 134,3599,2180,0.14,0,0.14,26318.7,15941.9
0500000US06075,6075,"San Francisco County, California",1400000US06075013500,6075013500,San Francisco County - Census Tract 135,Census Tract 135,2556,1857,0.09,0,0.09,28148.2,20450.4
0500000US06075,6075,"San Francisco County, California",1400000US06075015100,6075015100,San Francisco County - Census Tract 151,Census Tract 151,2493,1904,0.07,0,0.07,37041.2,28289.8
0500000US06075,6075,"San Francisco County, California",1400000US06075015200,6075015200,San Francisco County - Census Tract 152,Census Tract 152,3934,2624,0.11,0,0.11,36494.3,24341.9
0500000US06075,6075,"San Francisco County, California",1400000US06075015300,6075015300,San Francisco County - Census Tract 153,Census Tract 153,2040,1051,0.09,0,0.09,22606.5,11646.8
0500000US06075,6075,"San Francisco County, California",1400000US06075015400,6075015400,San Francisco County - Census Tract 154,Census Tract 154,5621,3088,0.28,0,0.28,20223.9,11110.4
0500000US06075,6075,"San Francisco County, California",1400000US06075015500,6075015500,San Francisco County - Census Tract 155,Census Tract 155,3622,2441,0.12,0,0.12,30007.1,20222.9
0500000US06075,6075,"San Francisco County, California",1400000US06075015600,6075015600,San Francisco County - Census Tract 156,Census Tract 156,2728,1400,0.11,0,0.11,24073.9,12354.6
0500000US06075,6075,"San Francisco County, California",1400000US06075015700,6075015700,San Francisco County - Census Tract 157,Census Tract 157,7832,2754,0.32,0,0.32,24248.1,8526.5
0500000US06075,6075,"San Francisco County, California",1400000US06075015801,6075015801,San Francisco County - Census Tract 158.01,Census Tract 158.01,3594,1764,0.13,0,0.13,27087.6,13295.1
0500000US06075,6075,"San Francisco County, California",1400000US06075015802,6075015802,San Francisco County - Census Tract 158.02,Census Tract 158.02,2965,1581,0.07,0,0.07,44973,23980.5
