Petition ID,Month,Date,Year,Priority,Filing Party,Ground (landlord): Capital Improvement,Ground (landlord): Comparable Rents,Ground (landlord): Extension of Time for Capital Improvements,Ground (landlord): Intent to Withdraw (Ellis),Ground (landlord): Other,Ground (landlord): Operating & Maintenance,Ground (landlord): Substantial Rehabilitation,Ground (landlord):  Costa-Hawkins,Ground (landlord):  Exemption,Ground (landlord): Rules and Regulations Section 1.21,Ground (landlord): Rules and Regulations Section 6.14,Ground (landlord): Rules and Regulations Section 6.15,Ground (landlord): SRO Hotel Vistor Policy Petition,Ground (landlord): Utility Passthrough Petition,Ground (landlord): Owner Move-In Disability Determination,Ground (landlord): Utility Passthrough Worksheet,Ground (landlord): Non-Comparable Rents,Ground (tenant): Decrease in Housing Services,Ground (tenant): Failure to Repair and Maintain,Ground (tenant): Passthrough Challenge,Ground (tenant): Summary Petition,Ground (tenant): Unlawful Rent Increase,Ground (tenant): Wrongful Eviction Report,Ground (tenant): Section 8 tenancy,Ground (tenant): SRO Hotel Vistor Policy Petition,Ground (tenant): Rules and Regulations Section 6.15,Ground (tenant): Other,Ground (tenant): Utility Passhtrough Hardship,Ground (tenant): Water Revenue Bond Passthrough Hardship,Ground (tenant): Capital Improvement Passthrough Hardship Petition,Ground (tenant): Wrongful Severance of Housing Service,Ground: Alternative Dispute Resolution,Address,Petition Source Zipcode,Supervisor District,Neighborhoods - Analysis Boundaries,Location0,Location1
T110451,4,6,2011,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1700 Block Of Grant Avenue,94133,3,North Beach,-122.408120293503,37.8029649992604
T131896,12,2,2013,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0 Block Of Locksley Avenue,94122,7,Inner Sunset,-122.463311606656,37.7592202975486
T130662,5,1,2013,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1400 Block Of 15th Street,94103,9,Mission,-122.417102244119,37.766893128304
T121481,9,20,2012,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1200 Block Of Arguello Boulevard,94122,5,Inner Sunset,-122.45784824333,37.7656812763098
T071311,9,4,2007,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,1300 Block Of South Van Ness Avenue,94110,9,Mission,-122.416255532118,37.7515676529233
T012107,11,26,2001,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,200 Block Of Peabody Street,94134,10,Visitacion Valley,-122.407917700421,37.7090147280514
T992217,10,28,1999,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,2400 Block Of Lake Street,94121,1,Outer Richmond,-122.485681909999,37.7856667326135
T111404,10,28,2011,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,300 Block Of Wilde Avenue,94134,10,Visitacion Valley,-122.403664398767,37.7167969475402
T061966,12,22,2006,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,100 Block Of Jackson Street,94111,3,Financial District/South Beach,-122.398908212966,37.7969551634448
T150365,2,23,2015,No,tenant,false,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0 Block Of Henry Street,94114,8,Castro/Upper Market,-122.432228457108,37.766783888389
