Location,Type,lat,long
5th St&Mission St,MuniZone,37.782796,-122.405925
7th St&Market St,MuniZone,37.7730614,-122.4032337
7th St&Townsend St,MuniZone,37.7730614,-122.4032337
8th St & Market St,MuniZone,37.7724233,-122.4067954
16th St&Mission,MuniZone,37.765058,-122.419705
18th St&Pennsylvania Ave,MuniZone,37.762766,-122.393427
19th Ave&Buckingham St,MuniZone,37.7505174,-122.4761259
19th Ave&Kirkham St,MuniZone,37.7505174,-122.4761259
19th Ave&Kirkham St,PeakExtensionZone,37.7505174,-122.4761259
19th Ave&Noriega St,MuniZone,37.7505174,-122.4761259
19th Ave&Noriega St,MuniZone,37.7505174,-122.4761259
19th Ave&Wawona St,MuniZone,37.7505174,-122.4761259
19th Ave& Winston Dr,MuniZone,37.7505174,-122.4761259
24th St&Church St,MuniZone,37.7525417,-122.4135418
24th St&Church St,MuniZone,37.7525417,-122.4135418
24th St&Guerrero St,MuniZone,37.7525417,-122.4135418
24th St&Noe St,MuniZone,37.7525417,-122.4135418
Arguello Blvd&Geary Blvd,MuniZone,37.7818554,-122.4589322
Bryant St&7th St,MuniZone,37.7734187,-122.405858
Bryant St&18th St,MuniZone,37.7734187,-122.405858
Bryant St&18th St,MuniZone,37.7734187,-122.405858
Bryant St&22nd St,MuniZone,37.7734187,-122.405858
Bryant St&23rd St,MuniZone,37.7734187,-122.405858
Cesar Chavez St&Florida St,MuniZone,37.7482729,-122.4105576
Cesar Chavez St&Folsom St,MuniZone,37.7482729,-122.4105576
Cesar Chavez St&Folsom St,MuniZone,37.7482729,-122.4105576
Columbus Ave&Broadway,MuniZone,37.797875,-122.406716
Castro St&25th,MuniZone,37.7521001,-122.4341864
Castro St&25th,MuniZone,37.7521001,-122.4341864
Divisadero St&Bush St,PeakExtensionZone,37.7864116,-122.4400866
Divisadero St&California St,MuniZone,37.7864116,-122.4400866
Divisadero St&Eddy St,MuniZone,37.7864116,-122.4400866
Divisadero St&Eddy St,MuniZone,37.7864116,-122.4400866
Divisadero St&Geary Blvd,MuniZone,37.7864116,-122.4400866
Divisadero St&Haight St,PeakExtensionZone,37.7864116,-122.4400866
Divisadero St&Oak St,MuniZone,37.7864116,-122.4400866
Eddy St&Van Ness Ave,MuniZone,37.7824275,-122.4245564
Eddy St&Van Ness Ave,MuniZone,37.7824275,-122.4245564
Larkin St&Grove St,MuniZone,37.7917252,-122.4192489
Harrison St&2nd St,MuniZone,37.8085316,-122.2631094
Harrison St&4th St,MuniZone,37.8085316,-122.2631094
Harrison St&7th St,MuniZone,37.8085316,-122.2631094
Lombard St&Divisadero St,MuniZone,37.802139,-122.41874
North Point St&Mason St,MuniZone,37.8068244,-122.4163878
100 O'Shaughnessy Blvd,MuniZone,37.7440529,-122.4507248
