Location,Type
5th St&Mission St,MuniZone
7th St&Market St,MuniZone
7th St&Townsend St,MuniZone
8th St & Market St,MuniZone
16th St&Mission,MuniZone
18th St&Pennsylvania Ave,MuniZone
19th Ave&Buckingham St,MuniZone
19th Ave&Kirkham St,MuniZone
19th Ave&Kirkham St,PeakExtensionZone
19th Ave&Noriega St,MuniZone
19th Ave&Noriega St,MuniZone
19th Ave&Wawona St,MuniZone
19th Ave& Winston Dr,MuniZone
24th St&Church St,MuniZone
24th St&Church St,MuniZone
24th St&Guerrero St,MuniZone
24th St&Noe St,MuniZone
Arguello Blvd&Geary Blvd,MuniZone
Arguello Blvd&Geary Blvd,MuniZone
Bryant St&7th St,MuniZone
Bryant St&18th St,MuniZone
Bryant St&18th St,MuniZone
Bryant St&22nd St,MuniZone
Bryant St&23rd St,MuniZone
Cesar Chavez St&Florida St,MuniZone
Cesar Chavez St&Folsom St,MuniZone
Cesar Chavez St&Folsom St,MuniZone
Columbus Ave&Broadway,MuniZone
Castro St&25th,MuniZone
Castro St&25th,MuniZone
Divisadero St&Bush St,PeakExtensionZone
Divisadero St&California St,MuniZone
Divisadero St&Eddy St,MuniZone
Divisadero St&Eddy St,MuniZone
Divisadero St&Geary Blvd,MuniZone
Divisadero St&Haight St,PeakExtensionZone
Divisadero St&Oak St,MuniZone
Eddy St&Van Ness Ave,MuniZone
Eddy St&Van Ness Ave,MuniZone
Larkin St&Grove St,MuniZone
Harrison St&2nd St,MuniZone
Harrison St&4th St,MuniZone
Harrison St&7th St,MuniZone
Lombard St&Divisadero St,MuniZone
North Point St&Mason St,MuniZone
100 O'Shaughnessy Blvd,MuniZone
O'Shaughnessy Blvd&Portola Dr,MuniZone
Parnassus Ave&Stanyan St,MuniZone
Parnassus Ave&Stanyan St,MuniZone
Park Presidio&Geary Blvd,MuniZone
Park Presidio&Geary Blvd,MuniZone
Polk St&O'Farrell St,MuniZone
Polk St&Post St,MuniZone
Post St&Powell St,MuniZone
"Potrero Ave&25th St,",MuniZone
Stanyan St&Waller St,MuniZone
"Townsend St&3rd St,",MuniZone
"Townsend St&3rd St,",MuniZone
Townsend St&4th St,MuniZone
Van Ness Ave&Union St,PeakExtensionZone
Valencia St&25th St,MuniZone
Broadway&Grant Ave,MuniZone
Cesar Chavez St&Mission St,MuniZone
Cesar Chavez St&Valencia St,MuniZone
9th St&Market St,MuniZone
Cesar Chavez St&Florida ST,MuniZone
17th St&Wisconsin St,WhiteZone
Divisadero St&Geary Blvd,WhiteZone
16th St&South Van Ness,WhiteZone
Van Ness Ave&Union St,WhiteZone
San Jose Ave&29th St,WhiteZone
Harrison St&The Embarcadero,MuniZone
Howard St&Fremont St,MuniZone
Fell St&Pierce St,WhiteZone
8th St & Market St,WhiteZone
Castro St&18th St,WhiteZone
Castro St&Market St,WhiteZone
Townsend St&4th St,WhiteZone
"Potrero Ave&25th St,",WhiteZone
19th Ave&Wawona St,WhiteZone
16th St&Sanchez St,WhiteZone
Gough St&Grove St,WhiteZone
Oak St&Steiner St,WhiteZone
16th St&Sanchez St,WhiteZone
Fell St&Laguna St,WhiteZone
Fell St&Masonic St,WhiteZone
Brannan St&4th St,WhiteZone
Gough St&Bush St,WhiteZone
Franklin St&Bush St,WhiteZone
Franklin St&Golden Gate Ave,WhiteZone
South Van NessAve&Mission St,WhiteZone
Brannan St&5th St,WhiteZone
Valencia St&26th St,PeakExtensionZone
Mississippi St&17th St,WhiteZone
Cesar Chavez St&Bartlett St,WhiteZone
Lombard St&Scott St,WhiteZone
Lombard St&Scott St,WhiteZone
San Jose Ave&Valley St,WhiteZone
Gough St&Geary Blvd,WhiteZone
