employer,num_workers
WIPRO LIMITED,34
UNIVERSITY OF ALASKA,20
"COLUMBIA SUSSEX MANAGEMENT, LLC",5
POPULUS GROUP LLC,5
"TECH MAHINDRA (AMERICAS),INC.",5
SKAGWAY JEWELRY CO LLC,5
PROHNS LLC,5
CONOCOPHILLIPS COMPANY,4
BP AMERICA INC.,4
SAI INVESTMENTS LLC,4
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,3
"HOPE COMMUNITY RESOURCES, INC.",3
BARTLETT REGIONAL HOSPITAL,3
"DELTA EPSILON, INC",3
TRIDENT SEAFOODS CORPORATION,3
"HALLIBURTON ENERGY SERVICES, INC.",2
"MCKINLEY CAPITAL MANAGEMENT, LLC",2
"ALTMAN, ROGERS & CO.",2
"COPPER RIVER SEAFOODS, INC.",2
"NANA WORLEYPARSONS, LLC",2
FAIRBANKS NORTH STAR BOROUGH,2
DELOITTE CONSULTING LLP,2
"ASPEN TECHNOLOGY, INC.",2
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,2
"COMPUTER TASK GROUP, INC.",2
SAFEWAY INC.,2
BTY DENTAL GROUP LLC,2
"ADVANCED PHYSICAL THERAPY, INC.",2
MOJO SOLUTIONS AND SERVICES MSS LLC,1
NANA DEVELOPMENT CORPORATION,1
NIBLACK PROJECT LLC,1
"NOAH'S ARK, INC",1
PETRO STAR INC,1
PND ENGINEERS INC.,1
"PND ENGINEERS, INC.",1
PROVIDENCE HEALTH & SERVICES - WASHINGTON,1
SCHLUMBERGER TECHNOLOGY CORPORATION,1
SHELL EXPLORATION AND PRODUCTION COMPANY,1
"SILICON STAFF IT SERVICES, INC.",1
SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,1
STATE OF ALASKA DEPARTMENT OF TRANSPORTATION & PUBLIC FACILITIES,1
TELE TECH TEAM LLC,1
TERRASOND LIMITED,1
"UNISEA, INC.",1
UNIVERSITY OF ALASKA SOUTHEAST,1
MOJO SOLUTIONS AND SERVICES MSS LCC,1
"ADVANCED SUPPLY CHAIN INTERNATIONAL, LLC",1
ALASKA CONFERENCE OF SEVENTH-DAY ADVENTISTS,1
ALASKA PACIFIC UNIVERSITY,1
"ALL ALASKA TOURS, INC.",1
ALUTIIQ HERITAGE FOUNDATION,1
ANCHORAGE SCHOOL DISTRICT,1
"ARCTIC FOX VENTURES, INC.",1
BANNER HEALTH,1
BANNER MEDICAL GROUP,1
"BETHEL SERVIES, INCORPORATED",1
BUILDING BLOCKS REHAB LLC,1
"CH2M HILL, INC.",1
CPD ALASKA LLC,1
DON JOSE'S LLC,1
"EFFY & CO., INC.",1
ERNST &AMP; YOUNG U.S. LLP,1
FAST ENTERPRISES LLC,1
GALEN HOSPITAL ALASKA INC.,1
GCI COMMUNICATION CORP.,1
"GHD SERVCES, INC.",1
"GLACIER DENTAL, LLC",1
HAINES BOROUGH,1
INFOSYS LIMITED,1
KOOTZNAHOO - FORTRESS OF THE BEAR INC,1
LITHIA INC,1
M-I LLC,1
MICROCOM COMMUNICATIONS INC,1
