employer,num_workers
INFOSYS LIMITED,1273
SYNTEL CONSULTING INC.,412
TATA CONSULTANCY SERVICES LIMITED,411
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",359
IBM INDIA PRIVATE LIMITED,256
"INTRAEDGE, INC.",240
INTEL CORPORATION,186
SYNTEL INC,174
ACCENTURE LLP,165
THE UNIVERSITY OF ARIZONA,149
ARIZONA STATE UNIVERSITY,145
WIPRO LIMITED,137
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,110
CAPGEMINI AMERICA INC,87
MINDTREE LIMITED,58
"MICROCHIP TECHNOLOGY, INC.",57
"APOLLO EDUCATION GROUP, INC.",57
CHOICE HOTELS INTERNATIONAL SERVICES CORP,54
"SOUTHWEST KIDNEY INSTITUTE, PLC",53
"SAAMA TECHNOLOGIES, INC.",52
"NTT DATA, INC.",52
"HUMAC, INC.",48
DELOITTE CONSULTING LLP,46
VIRTUSA CORPORATION,42
BANNER MEDICAL GROUP,41
"AMERICAN AIRLINES, INC.",39
"IMPETUS TECHNOLOGIES, INC.",36
"PAYPAL, INC.",35
L&T TECHNOLOGY SERVICES LIMITED,34
ERNST & YOUNG U.S. LLP,34
"TRIZETTO CORPORATION, A COGNIZANT COMPANY",32
KBR GLOBAL IT SOLUTIONS LLC,31
AXWAY INC.,30
"HCL AMERICA, INC.",29
"PROKARMA, INC.",29
SUREIT SOLUTIONS INC.,28
DELL MARKETING L.P.,28
"COMPUNNEL SOFTWARE GROUP, INC.",28
GBT US LLC,27
"V-SOFT CONSULTING GROUP, INC",26
"FREESCALE SEMICONDUCTOR, INC.",26
"EARLY WARNING SERVICES, LLC",26
CSAA INSURANCE SERVICES INC.,26
"M3BI, LLC",26
TEXAS INSTRUMENTS INCORPORATED,26
BANNER UNIVERSITY MEDICAL GROUP,25
"TECHMILEAGE, LLC",25
"CLAIRVOYANT, LLC",25
"GODADDY.COM, LLC",24
"RANDSTAD TECHNOLOGIES, LP",23
LARSEN & TOUBRO INFOTECH LIMITED,21
"CAREMARK, LLC",21
RPS TEK SOL LLC,21
NICHE SOFTWARE SOLUTIONS INC,20
"TECH ONE STAFFING, LLC",20
IBM CORPORATION,20
"CAPGEMINI AMERICA, INC.",18
"REPUBLIC SERVICES, INC.",18
"ITC INFOTECH (USA), INC.",18
FREEPORT-MCMORAN MORENCI INC.,18
SAFEWAY INC.,18
TECHNOSOFT CORPORATION,17
DIGNITY HEALTH,17
POPULUS GROUP LLC,17
NORTHERN ARIZONA UNIVERSITY,17
INDIDGE SYSTEMS LLC,17
"AVNET, INC.",16
MAYO CLINIC,16
"NCS PEARSON, INC.",16
MPHASIS CORPORATION,16
"KRYPTO IT SOLUTIONS, INC",16
WEBILENT TECHNOLOGY INC,15
DYTEK SOLUTIONS LLC,15
VIRTUOUSPROS INC,15
"METASOFTTECH SOLUTIONS, INC.",15
"ARIZONA KIDNEY DISEASE & HYPERTENSION CENTER, LLC",15
DISCOVER PRODUCTS INC.,13
"TECH MAHINDRA (AMERICAS),INC.",13
"MEDTRONIC, INC.",13
"UNIVERSITY OF PHOENIX, INC., AN APOLLO EDUCATION GROUP, INC. COMPANY",13
MICROCHIP TECHNOLOGY INC.,13
"SIVEES, INC",12
DAISY EDUCATION CORPORATION,12
COLLABERA INC.,12
PROSOFT TECHNOLOGIES INC,12
"ASM AMERICA, INC.",12
SAN CARLOS UNIFIED SCHOOL DISTRICT NO. 20,12
MARVEL TECHNOLOGIES INC,12
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",12
"CRAFTNER, INC.",12
AMAZON CORPORATE LLC,12
ROOSEVELT SCHOOL DISTRICT #66,12
"NXP SEMICONDUCTORS USA, INC.",12
SCIENTIFIC TECHNOLOGIES CORPORATION,12
"DESERT KIDNEY ASSOCIATES, PLC",11
ARTHA DATA SOLUTIONS LLC,11
HCL GLOBAL SYSTEMS INC,11
"NESS USA, INC.",11
"MODULAR MINING SYSTEMS, INC.",11
"FREESCALE SEMICONDUCTOR, INC., A SUBSIDIARY OF NXP SEMICONDUCTORS N.V.",11
"ADEPTPROS, INC.",11
"INSYS THERAPEUTICS, INC.",11
"FIRST SOLAR ELECTRIC, LLC",11
INTEL MOBILE COMMUNICATIONS NORTH AMERICA,11
"JOBING.COM, LLC",10
AMERICAN EXPRESS COMPANY,10
"DELL SOFTWARE, INC.",10
CGI TECHNOLOGIES AND SOLUTIONS INC.,10
PINON UNIFIED SCHOOL DISTRICT #4,10
"SOURCE HEALTHCARE ANALYTICS LLC, A SYMPHONY HEALTH SOLUTIONS COMPANY",10
"APL LOGISTICS AMERICAS, LTD.",10
EPACE TECHNOLOGIES INC,10
HONEYWELL INTERNATIONAL INC.,10
"REGION TECHNOLOGIES, INC.",10
"LIFELOCK, INC.",10
M9 CONSULTING INC.,10
AMAZON.COM.AZDC LLC,10
"NEUDESIC, LLC",10
TANISHA SYSTEMS INC,9
"SOGETI USA, LLC",9
BROADCOM CORPORATION,9
"COUNTY OF SANTA CRUZ, NOGALES UNIFIED SCHOOL DISTRICT #1",9
"MENTORUS GLOBAL, LLC",9
LARSEN AND TOUBRO INFOTECH LIMITED,9
DIASPARK INC,9
"VENTANA MEDICAL SYSTEMS, INC.",9
DELOITTE & TOUCHE LLP,9
LUPTTHA TECHNOLOGIES LLC,9
"ARM, INC.",9
DIALOG SEMICONDUCTOR,9
"IFACTOR CONSULTING, INC.",8
"HEXAWARE TECHNOLOGIES, INC.",8
"RELIABLE SOFTWARE RESOURCES, INC.",8
WHITERIVER UNIFIED SCHOOL DISTRICT,8
"CHARLES SCHWAB AND COMPANY, INC.",8
MOBILE PROGRAMMING LLC,8
"EQUITY METHODS, LLC",8
UNIVERSAL DENTAL LABORATORY LLC,8
U-HAUL INTERNATIONAL,8
TUBA CITY UNIFIED SCHOOL DISTRICT #15,8
TUBA CITY UNIFIED SCHOOL DISTRICT,8
"KK ASSOCIATES, LLC",8
AETNA LIFE INSURANCE COMPANY,8
"TRINITY CONSULTING, INC",8
"JDA SOFTWARE, INC.",8
MAP-IT SOLUTIONS INC,8
MALLA SYSTEMS DBA EFULGENT,8
FREEPORT MINERALS CORPORATION,8
SYSTEM SOFT TECHNOLOGIES LLC,8
DATA SYSTEMS INTEGRATION GROUP INC.,8
"COOK SYSTEMS INTERNATIONAL, INC.",8
SAN CARLOS UNIFIED SCHOOL DISTRICT #20,8
CHINLE UNIFIED SCHOOL DISTRICT #24,7
NATSOFT CORPORATION,7
"UNIGO, INC",7
"TPF SOFTWARE, INC.",7
ERNST &AMP; YOUNG U.S. LLP,7
SUNSET COMMUNITY HEALTH CENTER,7
EDGEIT CORP,7
HITACHI CONSULTING CORPORATION,7
"XEROX STATE & LOCAL SOLUTIONS, INC.",7
"CIBER, INC.",7
"STMICROELECTRONICS, INC.",7
"DPR CONSTRUCTION, A GENERAL PARTNERSHIP",7
INNOVECTURE,7
NORTH COUNTRY HEALTHCARE,7
"CVS RX SERVICES, INC.",7
"GSS INFOTECH CT, INC.",7
"SHUTTERFLY, INC.",7
MIDWESTERN UNIVERSITY,7
