employer,num_workers
CAPGEMINI AMERICA INC,2097
INFOSYS LIMITED,911
"TECH MAHINDRA (AMERICAS),INC.",707
IBM INDIA PRIVATE LIMITED,627
TATA CONSULTANCY SERVICES LIMITED,594
ACCENTURE LLP,519
EMORY UNIVERSITY,378
DELOITTE CONSULTING LLP,365
"HEXAWARE TECHNOLOGIES, INC.",286
CAPGEMINI U.S. LLC,231
ADROIX CORP,198
WIPRO LIMITED,187
TEK SIGNATURE LLC,174
"AIRWATCH, LLC",165
"ALLIED INFORMATICS, INC",163
"CHARTER GLOBAL, INC.",154
"SOFTWARE PARADIGMS INTERNATIONAL GROUP, LLC",150
ERNST & YOUNG U.S. LLP,144
IGATE TECHNOLOGIES INC.,126
"SMARTSOFT INTERNATIONAL, INC.",125
GULFSTREAM AEROSPACE CORPORATION,118
"MANHATTAN ASSOCIATES, INC.",117
THE UNIVERSITY OF GEORGIA,117
"OBJECT FRONTIER, INC.",111
"HCL AMERICA, INC.",111
"HOME DEPOT USA, INC.",111
SOFTPATH SYSTEM LLC,111
KATALYST TECHNOLOGIES INC,108
"VIRTUE GROUP, LLC",108
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,106
GEORGIA INSTITUTE OF TECHNOLOGY,99
"TECH MAHINDRA (AMERICAS), INC.",95
"INTERACTIVE COMMUNICATIONS INTERNATIONAL, INC.",92
IBM CORPORATION,92
SYNTEL CONSULTING INC.,88
DOCMATION LLC,87
TRENDSET IT INC,83
L&T TECHNOLOGY SERVICES LIMITED,81
"SUNRAY ENTERPRISE, INC.",80
"ARGHA SERVICES, INC",73
IDRIL SERVICES CORPORATION,70
COMMUNITY REHABILITATION SERVICES INC,69
"PYRAMID CONSULTING, INC.",68
"CAPGEMINI AMERICA, INC.",68
EMAESTRO TECHNOLOGIES INC,67
TECH MAHINDRA (AMERICAS) INC.,66
ERICSSON INC.,65
KPMG LLP,65
"INTERCONTINENTAL EXCHANGE HOLDINGS, INC.",64
BIRLASOFT INC,63
"IIT WORKFORCE, LLC",63
"DELTA INFORMATION SYSTEMS, INC",62
"FUTURETECH CONSULTANTS, LLC.",62
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",61
"NAM TECHNOLOGIES, INC.",60
INFOTECH PRISM LLC,60
EBIX INC,59
SYSTEL INC OF DELAWARE,58
"UNICORN TECHNOLOGIES, LLC",57
SYNTEL INC,56
ARVYTECH LLC,56
VERIZON TELEMATICS INC.,56
UST GLOBAL INC,55
"TAP IT SERVICES, INC",55
"PROKARMA, INC.",55
CAPGEMINI US LLC,54
"ELITE SOLUTIONS, INC.",54
"INFOSMART TECHNOLOGIES, INC",52
MINDTREE LIMITED,51
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,50
OPENSOFT INC,50
"MICRONET SOLUTIONS, LLC",50
EXCEL. EST LLC,49
NIIT TECHNOLOGIES LIMITED,49
INTRIV INC,49
"NORTHSTAR TECHNOLOGIES, INC.",49
"SUNTRUST BANKS, INC.",46
"ORPINE, INC.",46
ZEROSNONES INC,46
PETADIGIT,46
SAMURAI INFOTECH LLC,46
BOR USGA OBO AUGUSTA UNIVERSITY,45
NICHE SOFTWARE SOLUTIONS INC,45
"SOURCEONE TECHNOLOGY SOLUTIONS, INC",45
NCR CORPORATION,44
"THIRTHASOFT,LLC",43
MACY'S SYSTEMS AND TECHNOLOGY,43
"IDHASOFT, INC.",43
"VIGNA, INC.",43
"KR ELIXIR, INC.",42
TSYS,41
"ESSENTIAL TECHNOLOGIES, INC.,",41
"KNOWLEDGE RESOURCES GROUP, INC",40
"SPARITY, INC.",40
"MAGNUM OPUS IT, INC.",39
"BOSS TECHNOLOGIES, INC",39
"ADP TECHNOLOGY SERVICES, INC.",39
S2 IT GROUP LLC,38
"MIND CRAFT TECHNOLOGIES, INC",38
UST GLOBAL INC.,38
DELOITTE & TOUCHE LLP,38
"VUESOL TECHNOLOGIES, INC.",37
BRIGHT SHINE BUSINESS SOLUTIONS INC,37
NETLINE TECHNOLOGIES LLC,37
"IBS SOFTWARE SERVICES AMERICAS, INC.",37
"CONCEPT SOFTWARE & SERVICES, INC.",36
"YESKAY SYSTEMS INC.,",36
GENPACT LLC,35
INFOSYS BPO LIMITED,35
"MILESTONE EDUCATIONAL SERVICES, INC",35
"LEXISNEXIS RISK SOLUTIONS, INC.",35
TEKORG INC,35
"CAPRICORN SYSTEMS, INC.",35
"ORDUSION TECHNOLOGIES, INC.",34
SAPIENT CORPORATION,34
"OBJECTS ON NET, INC.",33
"PROFICIENT BUSINESS SYSTEMS, INC.",32
LARA TEKIES INC,32
CORPTEQ SOLUTIONS INC.,32
"RIVI CONSULTING GROUP, LLC",31
"COMPUNNEL SOFTWARE GROUP, INC.",31
"NUTECH SYSTEMS, INC.",31
TEK AND COMPANY,31
DELOITTE TAX LLP,31
"IMPERIO, INC",31
VEDICSOFT SOLUTIONS LLC,30
"OCHER TECHNOLOGY GROUP, LLC",30
"FUSIONSOFT TECHNOLOGIES, INC.",30
