employer,num_workers
UNIVERSITY OF HAWAII,81
RESEARCH CORPORATION OF THE UNIVERSITY OF HAWAII,42
HAWAII MEDICAL SERVICE ASSOCIATION,17
TATA CONSULTANCY SERVICES LIMITED,17
"MINATOISHI PALUMBO ARCHITECTS, INC.",12
ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY,10
THE QUEEN'S MEDICAL CENTER,10
TOURNET HAWAII INC.,10
ACCENTURE LLP,10
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,9
CAPGEMINI AMERICA INC,8
HAWAII PACIFIC HEALTH,8
NIIT TECHNOLOGIES LIMITED,7
IGATE TECHNOLOGIES INC.,6
BIRLASOFT INC,6
KKDLY LLC,6
"NAN, INC.",6
HAWAII PACIFIC UNIVERSITY,5
GOMA INC.,4
"AMERICAN SAVINGS BANK, FSB",4
HAWAIYA TECHNOLOGIES INC,4
"MERCURY TECHNOLOGY GROUP, INC.",4
HAWAI'I PACIFIC UNIVERSITY,3
BRIGHAM YOUNG UNIVERSITY-HAWAII,3
"FIRST LINK, INC.",3
BIG ISLAND FEDERAL CREDIT UNION,3
SPIRE HAWAII LLP,3
AMERICAN KEY SUPPLY INC,3
"OTSUKA & ASSOCIATES, LLLC",3
POPULUS GROUP LLC,3
DELOITTE & TOUCHE LLP,3
"HAWAIIAN AIRLINES, INC.",3
"HAWAII NEPHROLOGISTS, LLC",3
"YOGI KWONG ENGINEERS, LLC",3
REFTECH INTERNATIONAL CORP,3
ABEES INC.,2
"PACIFIC BUSINESS SPECIALISTS, LTD.",2
AMETHYST BUILDERS LLC,2
PBR HAWAII & ASSOCIATES INC.,2
"HDR ENGINEERING, INC.",2
"CENTER FOR CULTURAL AND TECHNICAL INTERCHANGE BETWEEN EAST & WEST, INC",2
"AECOM TECHNICAL SERVICES, INC.",2
ENJOY TRAVEL CORPORATION,2
"ENTHSQUARE, INC.",2
ALOHA SOFT LLC,2
"SANJOLE, INC.",2
"CHARLIE Y. SONIDO, MD, INC",2
"FAMILY FOOD CO., INC.",2
FQ LABS LLC,2
"G. USHIJIMA CPA, LLC",2
"CONTROLPOINT SURVEYING, INC.",2
"JOHNSON-PACIFIC ENTERPRISES, INC.",2
KAMAKURA CORPORATION A DELAWARE CORPORATION,2
KAPU HONU LLC,2
THERMAL ENGINEERING CORPORATION,2
"GOODFELLOW BROS., INC",2
"HAKKASAN HOLDINGS, LLC",2
KOKUA KALIHI VALLEY COMPREHENSIVE FAMILY SERVICES,2
"UNIGO, INC",2
"UNIVALUE CREATIONS, LLC",2
LEE AND WU CPA LLC,2
VARNAR INC,2
VASTEK INC,2
BUMP NETWORKS INC.,2
"CALIFORNIA CREATIVE SOLUTIONS, INC.",2
"MARLABS, INC.",1
MECHANICAL ENGINEERS OF HAWAII CORPORATION,1
MLS HAWAII INC.,1
"MODERN EYES OPTOMETRY, INC",1
MYHOBNOB INC.,1
"NEW ENGLAND IT ASSOCIATES, INC",1
"NEW ENGLAND IT ASSOCIATES, INC.",1
"NOBUTAKA ASHIHARA ARCHITECT, P.C.",1
NOBUTAKE ASHIHARA ARCHITECT,1
NORTH SHORE EMBROIDERY INC.,1
OASIS IT CORP,1
"PACRIM MARKETING GROUP, INC.",1
POLYNESIAN CULTURAL CENTER,1
PONO HEALTH LLC,1
PREMKAMAL SPAS LLC,1
"PROFITABILITY OF HAWAII, INC.",1
"PROPELLER USA, INC",1
