employer,num_workers
THE UNIVERSITY OF IOWA,236
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,122
TATA CONSULTANCY SERVICES LIMITED,68
"ROCKWELL COLLINS, INC.",65
PIONEER CONSULTING SERVICES LLC,55
ADAMAS INC,52
"HCL AMERICA, INC.",47
INFOSYS LIMITED,47
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,43
"NCS PEARSON, INC.",41
"AMES IT AND NUMERIC SOLUTIONS, LLC",39
L&T TECHNOLOGY SERVICES LIMITED,33
TRANSAMERICA LIFE INSURANCE COMPANY,30
LAUNCH IT CORP,30
IBM INDIA PRIVATE LIMITED,27
"YASH TECHNOLOGIES, INC.",27
"TALENTLINK, INC.",26
PUGNA TECHNOLOGIES,25
MMR INTERNATIONAL LTD.,23
"APOGEE MEDICAL GROUP, IOWA, PC",23
"QUALITY CONSULTING, INC.",22
IOWA PHYSICIANS CLINIC MEDICAL FOUNDATION,21
"SEVEN SEAS TECHNOLOGIES, INC.",20
ACCENTURE LLP,20
SYNTEL CONSULTING INC.,20
FEDERAL HOME LOAN BANK OF DES MOINES,17
TEJASE TECHNOLOGIES INC,16
"SKYWORKS SOLUTIONS, INC.",16
LARSEN & TOUBRO INFOTECH LIMITED,16
ROCKWELL COLLINS INC.,15
CAPGEMINI AMERICA INC,15
HNI CORPORATION,15
WIPRO LIMITED,15
"COMPUNNEL SOFTWARE GROUP, INC.",15
NATIONWIDE INSURANCE,14
"INFINITE COMPUTING SYSTEMS, INC.",14
ATHENE ANNUITY AND LIFE COMPANY,14
COMPUTER SCIENCES CORPORATION,14
DEERE & COMPANY,13
CAPGEMINI FINANCIAL SERVICES USA INC,12
GENESIS HEALTH SYSTEM,12
"ONR NATIONAL SPEECH PATHOLOGY, INC.",12
"V-SOFT CONSULTING GROUP, INC",12
MAHARISHI UNIVERSITY OF MANAGEMENT,12
SYNTEL INC,11
"CEREBRAL GROUP, LLC",11
"RANDSTAD TECHNOLOGIES, LP",11
WHIRLPOOL CORPORATION,11
"EPATHUSA, INC",11
GREAT RIVER HEALTH SYSTEMS,11
"AMERICAN TECHNOLOGY CONSULTING, LLC",10
"GRANDISON MANAGEMENT, INC.",10
"ANU SOFTWARE CONSULTANTS, INC.",10
SBP CONSULTING INC.,9
"NTT DATA, INC.",9
"CYBYTE, INC.",9
HCL GLOBAL SYSTEMS INC,9
VEDICSOFT SOLUTIONS LLC,9
"PIONEER HI-BRED INTERNATIONAL, INC.",9
"SKYWALK GLOBAL, LLC",9
LEAD IT CORPORATION,8
DELOITTE CONSULTING LLP,8
"INFINITE STAFFING SOLUTIONS, INC.",8
"FRONTIER TECHNOLOGIES, LLC",8
SYSTEM SOFT TECHNOLOGIES LLC,8
UST GLOBAL INC,8
"ACT, INC.",8
"GSS INFOTECH CT, INC.",8
VOLT MANAGEMENT CORP,8
"KEMIN INDUSTRIES, INC.",8
"INFOTREE SERVICE, INC.",8
ERNST & YOUNG U.S. LLP,8
COGENT HEALTHCARE OF IOWA PC,7
PRODWARE SOLUTIONS LLC,7
"AEGON USA REALTY ADVISORS, LLC",7
"MERCY CLINICS, INC.",7
DRAKE UNIVERSITY,7
TRINITY HEALTH,7
IOWA FERTILIZER COMPANY,7
FIRST TEK DOS LLC,7
PRICEWATERHOUSECOOPERS LLP,6
"DENKEN SOLUTIONS, INC.",6
NIC INFO TEK INC,6
PALMER COMPANIES INC.,6
"CONCAT SYSTEMS, INC",6
PRINCIPAL LIFE INSURANCE COMPANY,6
"COMMUNITY HEALTH CARE, INC.",6
"CLIKHOME,INC.",6
KANAP SYSTEMS LLC,6
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",6
"SOFTCORP INTERNATIONAL, INC.",6
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,6
HEADSTRONG SERVICES LLC,5
"TALENTLINK, INC",5
"FISERV GLOBAL SERVICES, INC.",5
UST GLOBAL INC.,5
"RELIABLE SOFTWARE RESOURCES, INC.",5
CODE ACE SOLUTIONS INC,5
UNIVERSITY OF NORTHERN IOWA,5
PELLA CORPORATION,5
"L AND T TECHNOLOGY SERVICES, LTD.",5
"COGENT HEALTHCARE OF IOWA, PC",5
VERMEER MANUFACTURING COMPANY,5
MPHASIS CORPORATION,5
ADAEQUARE INC,5
"CAMBREX CHARLES CITY, INC.",5
SOFTWARE ENGINEERS CORP.,5
SPAN SYSTEMS CORPORATION,5
ST. AMBROSE UNIVERSITY,5
MIDAMERICAN ENERGY COMPANY,5
"STRATEGIC STAFFING SOLUTIONS, L.C.",5
"MERCY HOSPITAL - CEDAR RAPIDS, IOWA",5
"BERKLEY TECHNOLOGY SERVICES, LLC",5
E. I. DU PONT DE NEMOURS AND COMPANY,5
AMES IT AND NUMERIC SOLUTIONS LLC,5
"SALT SOLUTIONS, INC.",5
"ENTHSQUARE, INC.",5
DEDICATED TECHNOLOGIES INC.,4
"EUROFINS NSC US, INC.",4
EVEREST COMPUTERS INC.,4
"ITECH US, INC.",4
"TARGET LABS, INCORPORATED",4
"FIRST TEK , INC.",4
IOWA CITY DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER (VAMC),4
"INTEGRATED DNA TECHNOLOGIES, INC.",4
"ICONMA, LLC",4
GUIDEONE MUTUAL INSURANCE COMPANY,4
TALENT9 INC,4
"GRAPNEL TECH SERVICES, LLC",4
SYNAPSIS INC,4
"BELL INFO SOLUTIONS,LLC",4
SREE INFOTECH LLC,4
"SCHNEIDER ELECTRIC USA, INC.",4
"RELIANT PRO REHAB, LLC",4
"REG SERVICES GROUP, LLC",4
"YETI TECHNOLOGIES LLC, DBA",4
ZUVEN TECHNOLOGIES INC,4
"PLASTIC RECYCLING OF IOWA FALLS, INC.",4
PHANTOM EFX LLC,4
"PAMTEN, INC.",4
"AIRYSOFT, INC",4
TRIPLE R GLOBAL INC,4
DELOITTE TAX LLP,4
ALEGENT CREIGHTON CLINIC,4
TRIMARK PHYSICIANS GROUP,4
"WORKIVA, INC.",4
LORAS COLLEGE,4
"LOGIC PLANET, INC.",4
"EINFOCHIPS, INC.",4
KFORCE INC.,4
"CLICKSTOP, INC.",3
PROMATRIX CORP,3
"REALSOFT TECHNOLOGIES, LLC",3
"CHANNEL FUSION, INC.",3
"CEREBRA CONSULTING, INC.",3
"ROGERS, FREELS & ASSOCIATES, INC.",3
CENTRAL IOWA HOSPITAL CORPORATION,3
TRUSTEES OF GRINNELL COLLEGE,3
"CDS GLOBAL, INC.",3
"INFOMERICA, INC.",3
"DELASOFT, INC.",3
"INFOPATH SYSTEMS, INC.",3
NATSOFT CORPORATION,3
SIOUXLAND HOSPITALISTS PLLC,3
TECHSTAR CONSULTING INC,3
"SMART WORKS, LLC",3
"WELLS ENTERPRISES, INC.",3
"CALIFORNIA CREATIVE SOLUTIONS, INC.",3
"MOTOROLA SOLUTIONS, INC.",3
BROOKLYN-GUERNSEY-MALCOM COMMUNITY SCHOOL DISTRICT,3
"STANLEY CONSULTANTS, INC.",3
INTONE NETWORKS INC.,3
XL IMPEX INC,3
"STRATEGIC RESOURCES INTERNATIONAL, INC.",3
DIVERSANT LLC,3
MERCY MEDICAL CENTER - DES MOINES,3
IQUEST SOLUTIONS CORP.,3
"WOODRUFF CONSTRUCTION, LLC",3
BIRLASOFT INC,3
"BH MANAGEMENT SERVICES, LLC",3
SUNMERGE SYSTEMS INC.,3
"SUNRAY ENTERPRISE, INC.",3
"MARLABS, INC.",3
SUPREME TECH SOLUTIONS LLC,3
E-GIANTS TECHNOLOGIES LLC,3
SVS TECHNOLOGIES LIMITED,3
E.I. DU PONT DE NEMOURS AND COMPANY,3
"GEOMETRIC AMERICAS, INC.",3
L AND T TECHNOLOGY SERVICES LIMITED,3
"GEOMETRIC AMERICAS, INC",3
"ENTEGEE, INC.",3
ECOM SOLUTIONS INC,3
EGEN SOLUTIONS INC.,3
"LILAX TECHNOLOGIES, INC.",3
ERNST &AMP; YOUNG U.S. LLP,3
ICSA INC,3
IDOL SOLUTIONS INC,3
POLAR IT SERVICES INC,3
"COVENANT MEDICAL CENTER, INC.",3
"GENIUS BUSINESS SOLUTIONS, INC.",3
"COOLSOFT, LLC",3
PELLA REGIONAL HEALTH CENTER,3
V-T INDUSTRIES INC.,3
IGATE TECHNOLOGIES INC.,3
"PRIMESOFT, INC",3
"PALAYEKAR COMPANIES, INC",3
"ONR NATIONAL SPEECH PATHOLOGY, INC..",3
VERIZON DATA SERVICES LLC,3
VIVA USA INC.,3
"TECHPILLARS, INC.",2
"A-1 IOWA DENTAL, PLLC",2
"ADECCO GROUP NA/ENTEGEE, INC.",2
"ADVAITAA TECHNOLOGIES, INC.",2
"AGILITY TECHNOLOGIES, LLC",2
ALEGENT CREIGHTON HEALTH,2
ALLEN MEMORIAL HOSPITAL CORPORATION,2
"ANJANEYAP, INC.",2
APTION LLC,2
AVANT SYSTEMS INC,2
BACKYARD LION CORPORATION,2
"BRILLIO, LLC",2
C-VISION INC,2
"CARESOFT GLOBAL, INC.",2
CIRRUS HOLDINGS USA LLC,2
CLARINDA COMMUNITY SCHOOL DISTRICT,2
CLICKHOME INC,2
CLIMAX MOLYBDENUM COMPANY,2
CNH INDUSTRIAL AMERICA LLC,2
COLLABERA INC.,2
COMMUNITY CPA & ASSOCIATES INC,2
"COMTEK GLOBAL, INC.",2
"CONNELL COMMUNICATIONS, INC",2
"CONSUMER SAFETY TECHNOLOGY, LLC",2
"CORPORATE COMPUTER SOLUTIONS, LLC",2
"CRITICAL SKILLS, INC.",2
DANFOSS POWER SOLUTIONS (US) COMPANY,2
"DANFOSS POWER SOLUTIONS, INC.",2
DATASERV INC,2
DEEMSYS INC,2
DEERE AND COMPANY,2
DELOITTE & TOUCHE LLP,2
DEVCARE SOLUTIONS,2
"DEVENISH NUTRITION, L.L.C.",2
DHI GROUP INC.,2
DIZER CORP,2
DOCUSTREAM INC.,2
DYNAMIC ITSOLUTIONS INC,2
"EBSOFT CONSULTING, INC.",2
ELITE IT SOLUTIONS INC,2
EMINENT SOFTWARE SERVICES,2
EMPLOYERS MUTUAL CASUALTY COMPANY,2
EMPOWER PROFESSIONALS,2
ENERIC PETROLEUM CORPORATION,2
ERNST & YOUNG LLP,2
"ETEK IT SERVICES, INC.",2
EZOPS INC,2
"EZOPS, INC",2
"FBL FINANCIAL GROUP, INC.",2
FORTUNE MINDS INC.,2
GATEWAY GROUP TECHNOLOGIES INC.,2
"GODADDY.COM, LLC",2
GRACELAND UNIVERSITY,2
HAGIE MANUFACTURING,2
"HEALTH CAROUSEL, LLC",2
HOLY FAMILY CATHOLIC SCHOOLS,2
HORIZON TECHNOLOGIES INC,2
HOWARD HUGHES MEDICAL INSTITUTE,2
"IA DENTAL, P.C.",2
"IBRAIN TECHNOLOGIES, INC.",2
INDIAN HILLS COMMUNITY COLLEGE,2
"INFOLOB SOLUTIONS, INC.",2
INTELIZIGN SOLUTIONS LLC,2
INTERGRAPH CORPORATION,2
IT AMERICA INC,2
"IT RESOURCES, INC.",2
"ITRACE FOUNDATION, INC.",2
"ITS, INC.",2
JNIT TECHNOLOGIES,2
KPMG LLP,2
KRONSYS INC.,2
L&T TECHNOLOGY SERVICES LLC,2
LARSEN AND TOUBRO INFOTECH LIMITED,2
LOGIC PLANET INC,2
"MARKETLINK, INC.",2
"MARUTHI TECHNOLOGIES, LLC",2
MASON CITY CLINIC,2
MEREDITH CORPORATION,2
METRO INFECTIOUS DISEASE CONSULTANTS LLC,2
MICROTURN SYSTEMS INC,2
MONROE COUNTY HOSPITAL,2
MONSANTO COMPANY,2
"MONTEZUMA MANUFACTURING, A DIVISION OF DIEOMATIC INCORPORATED",2
MULTIVISION INC.,2
"NAGARRO, INC.",2
NANOSOFT TECHNOLOGIES INC.,2
"NESS USA, INC.",2
"NIXSOL, INC",2
NORTHWESTERN COLLEGE,2
OFFICE OF THE CHIEF INFORMATION OFFICER,2
ONR NATIONAL SPEECH PATHOLOGY INC.,2
OPENWAVE COMPUTING LLC,2
"ORACLE AMERICA, INC.",2
PALO ALTO COUNTY HEALTH SYSTEM,2
PANDA EXPRESS INC.,2
"PATIENT EDUCATION INSTITUTE, INC.",2
PELLA CHRISTIAN GRADE SCHOOL,2
POPULUS GROUP LLC,2
QUALITY MATRIX INC,2
"RADIANT SYSTEMS, INC.",2
RINGGOLD COUNTY HOSPITAL,2
