employer,num_workers
CAPGEMINI AMERICA INC,2863
INFOSYS LIMITED,1588
TATA CONSULTANCY SERVICES LIMITED,938
IBM INDIA PRIVATE LIMITED,806
ACCENTURE LLP,802
DELOITTE CONSULTING LLP,614
WIPRO LIMITED,483
ERNST & YOUNG U.S. LLP,351
IGATE TECHNOLOGIES INC.,314
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,310
MARVELL TECH LLC,283
HTC GLOBAL SERVICES INC.,276
THE UNIVERSITY OF CHICAGO,272
"YASH TECHNOLOGIES, INC.",269
"HCL AMERICA, INC.",241
SEARS HOLDINGS MANAGEMENT CORPORATION,239
NORTHWESTERN UNIVERSITY,218
UNIVERSITY OF ILLINOIS,203
L&T TECHNOLOGY SERVICES LIMITED,202
UNIVERSITY OF ILLINOIS AT CHICAGO,179
IBM CORPORATION,173
"HEXAWARE TECHNOLOGIES, INC.",172
DISCOVER PRODUCTS INC.,168
MOTOROLA MOBILITY LLC,164
"ASPIRE SYSTEMS, INC.",154
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,149
"TECH MAHINDRA (AMERICAS),INC.",141
DELOITTE & TOUCHE LLP,127
VENSAR TECHNOLOGY INC,120
SOFTWARE TECHNOLOGY LABS INC,116
NEO PRISM SOLUTIONS LLC,114
TRIESTEN TECHNOLOGIES LLC,114
KATALYST TECHNOLOGIES INC,103
ABBVIE INC,101
RAISER TECHNOLOGIES INC,101
"NTT DATA, INC.",99
AIM BIG INC,96
KPMG LLP,95
EMERGTECH BUSINESS SOLUTIONS INC,94
"ETEST IT, INC.",93
"UCHICAGO ARGONNE, LLC",93
SYNTEL CONSULTING INC.,90
SOFTLABZ CORPORATION,89
"BITWISE, INC.",89
ANDHUS TECHNOLOGIES INC,88
MEDCOMPS CORPORATION,87
LEX NIMBLE SOLUTIONS INC.,82
"AMERICLOUD SOLUTIONS, INC.",82
CATERPILLAR INC.,80
AMERITECH GLOBAL INC,80
"AMERICAN IT RESOURCE GROUP, INC.",79
BIRLASOFT INC,79
"CYIENT, INC.",78
CAPITAL ONE SERVICES II LLC,77
"CAREMARK, LLC",77
CITADEL LLC,75
LEAD IT CORPORATION,73
HEADSTRONG SERVICES LLC,71
DELOITTE TAX LLP,70
DIGITAL MINDS TECHNOLOGIES INC.,68
"HERE NORTH AMERICA, LLC",68
CAPGEMINI FINANCIAL SERVICES USA INC,68
CAPGEMINI FINANCIAL SERVICES USA INC. (LEGACY KANBAY),66
PRICEWATERHOUSECOOPERS LLP,66
TRANSUNION LLC,66
"V-SOFT CONSULTING GROUP, INC",65
ERNST &AMP; YOUNG U.S. LLP,64
"MOTOROLA SOLUTIONS, INC.",64
"MORNINGSTAR, INC.",62
AMERITCH GLOBAL INC,62
POPULUS GROUP LLC,61
LUCENT IT SOLUTIONS LLC,61
SYNERGY GLOBAL SYSTEMS INC,61
MAHINDRA ENGINEERING SERVICES LTD,58
COREMATIQ INC.,58
"TECH MAHINDRA (AMERICAS), INC.",56
DFS CORPORATE SERVICES LLC,56
"FUJITSU AMERICA, INC.",56
JOHN H. STROGER JR. HOSPITAL OF COOK COUNTY,55
RUSH UNIVERSITY MEDICAL CENTER,52
FIERCE INFOTECH LLC,52
"THOUGHTWORKS, INC.",52
TCG DIGITAL SOLUTIONS LLC,52
EGEN SOLUTIONS INC,50
"FERMI RESEARCH ALLIANCE, LLC",50
BANK OF AMERICA N.A.,49
"NETWORK OBJECTS, INC.",48
"GRANDISON MANAGEMENT, INC.",47
"PHOTON INFOTECH, INC.",47
CHICAGO MERCANTILE EXCHANGE INC.,46
"RANDSTAD TECHNOLOGIES, LP",46
"HSBC BANK USA, N.A.",46
CSC COVANSYS CORPORATION,45
GE HEALTHCARE IITS USA CORP.,45
"GROUPON, INC.",45
LERA TECHNOLOGIES LLC,45
BLUECROSS AND BLUESHIELD ASSOCIATION,44
MARVELLTECH LLC,44
JPMORGAN CHASE & CO.,43
