employer,num_workers
CUMMINS INC.,552
"PYRAMID TECHNOLOGY SOLUTIONS, INC",310
TATA CONSULTANCY SERVICES LIMITED,243
PURDUE UNIVERSITY,221
INFOSYS LIMITED,216
IBM INDIA PRIVATE LIMITED,169
INDIANA UNIV. PURDUE UNIV. INDIANAPOLIS,159
INDIANA UNIVERSITY,152
"KPIT INFOSYSTEMS, INC.",125
L&T TECHNOLOGY SERVICES LIMITED,99
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,92
UNIVERSITY OF NOTRE DAME DU LAC,84
CUMMINS EMISSION SOLUTIONS INC.,81
CAPGEMINI AMERICA INC,77
DELOITTE CONSULTING LLP,57
"HCL AMERICA, INC.",56
"TAVANT TECHNOLOGIES, INC.",52
"IDEALOGIX, LLC",51
DELPHI CORPORATION,51
ELI LILLY AND COMPANY,43
"LHP SOFTWARE, LLC",40
PRIVITY SOLUTIONS LLC,39
"TECH MAHINDRA (AMERICAS),INC.",38
UST GLOBAL INC.,36
ACCENTURE LLP,36
IU HEALTH CARE ASSOCIATES,32
SALESFORCE.COM INC.,32
DATUM CONSULTING GROUP LLC,31
"ZIMMER, INC.",31
"PIORION SOLUTIONS, INC.",30
"CIGITAL, INC.",29
"IU HEALTH CARE ASSOCIATES, INC.",29
CAUTELA INSTITUTE OF INFORMATICS AND TECHNOLOGY INC.,29
WIPRO LIMITED,29
KPIT INFOSYSTEMS INCORPORATED,27
UST GLOBAL INC,26
SPATE BUSINESS SOLUTIONS LLC,25
"V-SOFT CONSULTING GROUP, INC",25
"DOW AGROSCIENCES, LLC",24
GYANSYS INC.,24
Q-EDGE CORPORATION,20
"SALESFORCE.COM, INC.",20
"TRILOGY REHAB SERVICES, LLC",19
"VEROTECH SOLUTIONS,LLC",19
"PARKVIEW HOSPITAL, INC.",18
DELOITTE & TOUCHE LLP,17
"BRITE SYSTEMS, INC.",17
ERNST & YOUNG U.S. LLP,17
"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC.",17
SPRINGLEAF GENERAL SERVICES CORPORATION,16
"HEXAWARE TECHNOLOGIES, INC.",16
"NTT DATA, INC.",16
RCR TECHNOLOGY CORPORATION,16
"VSLN INTERNATIONAL, INC",15
LHP SOFTWARE LLC,15
"IT TRANSFORMERS, INC.",14
COOK PHARMICA LLC,14
"APOGEE MEDICAL GROUP, INDIANA, PC",13
"CVS RX SERVICES, INC.",13
"EAGLECARE, LLC",13
"FRONTIER TECHNOLOGIES, LLC",13
"ESKENAZI MEDICAL GROUP, INC.",12
"A CARING DOCTOR (MINNESOTA), P.A.",12
SPLN INTERNATIONAL LLC,12
REVEREIT LLC,12
SRNL INTERNATIONAL INC,12
"ADESA, INC.",12
POPULUS GROUP LLC,11
"BLUESKY TECHNOLOGY PARTNERS, INC.",11
"VALEO NORTH AMERICA, INC.",11
ARCELORMITTAL USA LLC,11
"ANGIE'S LIST, INC.",11
"CUMMINS FILTRATION, INC.",11
