employer,num_workers
INFOSYS LIMITED,141
IBM INDIA PRIVATE LIMITED,105
KANSAS STATE UNIVERSITY,94
CAPGEMINI AMERICA INC,92
"TECH MAHINDRA (AMERICAS),INC.",89
THE UNIVERSITY OF KANSAS MEDICAL CENTER,84
SPRINT CORPORATION,77
ACCENTURE LLP,73
THE UNIVERSITY OF KANSAS,63
OBJECT TECHNOLOGY SOLUTIONS INC,50
BLACK & VEATCH CORPORATION,49
CYBERBRAINS INC,36
"GARMIN INTERNATIONAL, INC.",35
L&T TECHNOLOGY SERVICES LIMITED,32
CHELSOFT SOLUTIONS CO.,31
"NTT DATA, INC.",30
TATA CONSULTANCY SERVICES LIMITED,27
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,27
WICHITA STATE UNIVERSITY,25
IBM CORPORATION,25
"RELIABLE SOFTWARE RESOURCES, INC.",23
IGATE TECHNOLOGIES INC.,22
"ANITSYS, INC",21
"SAGITEC SOLUTIONS, LLC",18
HAPPIEST MINDS TECHNOLOGIES PRIVATE LTD.,16
COMPUTERIZED ASSESSMENTS AND LEARNING,16
"TECH MAHINDRA (AMERICAS), INC.",15
"PERFORMANCE SOFTECH SOLUTIONS, INC.",15
"PAYLESS SHOESOURCE, INC.",15
RELIANCE IT SERVICES INC.,14
ERICSSON INC.,14
"IDATALYTICS, LLC",14
NICHE SOFTWARE SOLUTIONS INC,14
STORMONT-VAIL HEALTHCARE,13
DELOITTE CONSULTING LLP,13
"GLOBALLOGIC,INC.",13
QUEST DIAGNOSTICS INCORPORATED,13
CESSNA AIRCRAFT COMPANY,12
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",12
"NETAPP, INC.",12
"SE2, LLC",12
"HCL AMERICA, INC.",12
THE UNIVERSITY OF KANSAS PHYSICIANS,12
EMPORIA STATE UNIVERSITY,11
FORT HAYS STATE UNIVERSITY,11
BIRLASOFT INC,11
AGCO CORPORATION,10
UNIVERSITY OF KANSAS SCHOOL OF MEDICINE-WICHITA MEDICAL PRACTICE ASSOC,10
SECURITY BENEFIT CORPORATION,10
"U.S.D. 501, TOPEKA PUBLIC SCHOOLS",10
METAPRO USA LLC,9
MPHASIS CORPORATION,9
"INFOSOFT, INC.",9
"HOSPIRA INC., A PFIZER COMPANY",9
WIPRO LIMITED,8
UNIVERSITY OF KANSAS PHYSICIANS,8
ERNST & YOUNG U.S. LLP,8
"AMERICLOUD SOLUTIONS, INC.",7
VEDICSOFT SOLUTIONS LLC,7
"QUINTILES, INC.",7
"SILICON TECH SOLUTIONS, INC",6
CNH INDUSTRIAL AMERICA LLC,6
CNET GLOBAL SOLUTIONS INC,6
"HOSPIRA, INC.",6
"UNIFIED SCHOOL DISTRICT NO. 259, SEDGWICK COUNTY, KS",6
LEARJET INC.,6
"SAGARSOFT, INC",6
"ORACLE AMERICA, INC.",6
SYSTEMART LLC,6
