employer,num_workers
"TECH MAHINDRA (AMERICAS),INC.",184
TATA CONSULTANCY SERVICES LIMITED,181
SYNTEL CONSULTING INC.,137
UNIVERSITY OF KENTUCKY,126
UNIVERSITY OF LOUISVILLE,83
WIPRO LIMITED,82
COOLSOFT LLC,61
"V-SOFT CONSULTING GROUP, INC",56
HUMANA INC.,55
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,54
DELOITTE CONSULTING LLP,53
INFOSYS LIMITED,46
"NTT DATA, INC.",37
"TECH MAHINDRA (AMERICAS), INC.",28
IBM INDIA PRIVATE LIMITED,22
ARCHER DANIELS MIDLAND COMPANY,22
SELECT IT RESOURCES LLC,19
"APPALACHIAN REGIONAL HEALTHCARE, INC",17
NICHE SOFTWARE SOLUTIONS INC,16
ACCENTURE LLP,15
"PIKEVILLE MEDICAL CENTER, INC.",14
"SITEK, INC.",13
TECH MAHINDRA (AMERICAS) INC.,13
SYNTEL INC,13
AMFAL TECH LLC,11
"YASH & LUJAN CONSULTING, INC.",11
CITIUSTECH INC.,11
IBM CORPORATION,10
"POMEROY IT SOLUTIONS SALES COMPANY, INC.",10
FUTURISTIC GLOBAL INC,10
PROSOFT TECHNOLOGIES INC,10
LARSEN & TOUBRO INFOTECH LIMITED,9
"MERIDIAN SOFTWARE SOLUTIONS, INC.",9
CITIUSTECH INC,9
COMMONWEALTH HEALTH CORPORATION,8
SPA ENTERPRISE SERVICES INC.,8
"TOYOTA BOSHOKU AMERICA, INC.",8
ERNST & YOUNG U.S. LLP,8
"H-3 TECHNOLOGIES, LLC",8
"COOLSOFT, LLC",7
"XEROX COMMERCIAL SOLUTIONS, LLC",7
"ASPIRE SYSTEMS, INC.",7
CSC COVANSYS CORPORATION,6
"APOGEE MEDICAL GROUP, KENTUCKY, PSC",6
CUMMINS INC.,6
SUMMIT MEDICAL GROUP,6
"SUMMIT MEDICAL GROUP, INC.",6
EASTERN KENTUCKY UNIVERSITY,6
KENTUCKYONE HEALTH MEDICAL GROUP,6
RSR UNLIMITED INC.,6
"EXPEED SOFTWARE, LLC",6
"IHEALTH SOLUTIONS, LLC",6
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",6
"INDU, LLC",6
"HCL AMERICA, INC.",6
"GO SYSTEMS, LLC.",5
"CAMBRIDGE TECHNOLOGY, INC.",5
KFORCE INC.,5
NATSOFT CORPORATION,5
"FUJITSU AMERICA, INC.",5
MURRAY STATE UNIVERSITY,5
POPULUS GROUP LLC,5
NORTON HEALTHCARE,5
FIDELITY TECHNOLOGY GROUP LLC,5
"GENERAL CABLE INDUSTRIES, INC.",5
FAYETTE COUNTY PUBLIC SCHOOLS,4
"YASH TECHNOLOGIES, INC.",4
"CITICORP CREDIT SERVICES, INC. (USA)",4
HCL GLOBAL SYSTEMS INC,4
GENERAL ELECTRIC COMPANY,4
"APPALACHIAN REGIONAL HEALTHCARE, INC.",4
"RYLEE TECHNOLOGIES, INC.",4
"CVS RX SERVICES, INC.",4
DELOITTE & TOUCHE LLP,4
DELOITTE &AMP; TOUCHE LLP,4
"SUMMIT ENERGY SERVICES, INC.",4
TECHASPECT SOLUTIONS INC,4
NORTH AMERICAN STAINLESS,4
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,4
LARSEN AND TOUBRO INFOTECH LIMITED,4
SREE INFOTECH LLC,4
HEADSTRONG SERVICES LLC,4
"GEN NINE, INC.",4
KENTUCKY TRANSPORTATION CABINET,4
ASHLAND INC.,4
KENTUCKY STATE UNIVERSITY,4
FIRST TEK DOS LLC,4
"GRAM RESOURCES, INC",4
BROWN-FORMAN CORPORATION,4
