employer,num_workers
RITE PROS INC,54
RITE PROS INC.,34
EASTERN MAINE MEDICAL CENTER,33
TATA CONSULTANCY SERVICES LIMITED,21
UNIVERSITY OF MAINE,21
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,18
PINES HEALTH SERVICES,16
IBM INDIA PRIVATE LIMITED,16
THE JACKSON LABORATORY,15
"IDEXX LABORATORIES, INC.",14
"FAIRCHILD SEMICONDUCTOR INTERNATIONAL, INC.",14
INFOSYS LIMITED,13
UNIVERSITY OF NEW ENGLAND,9
SIRI INFOSOLUTIONS INC.,9
MAINEGENERAL MEDICAL CENTER,9
"AMZUR TECHNOLOGIES, INC",8
QUALITY MATRIX INC,7
COLBY COLLEGE,7
"NTT DATA, INC.",6
DELOITTE CONSULTING LLP,6
"RITE PROS, INC.",6
TRC ENVIRONMENTAL CORPORATION,6
"ST. JOSEPH AMBULATORY CARE, INC.",6
"SOUND PHYSICIANS OF NEW YORK, PLLC",6
"GENESIS ELDERCARE REHABILITATION SERVICES, LLC",6
MAINE MEDICAL CENTER,5
"MAJESCO SOFTWARE AND SOLUTIONS, INC.",5
UNUM GROUP,5
MILLINOCKET REGIONAL HOSPITAL,5
CSC COVANSYS CORPORATION,5
WIPRO LIMITED,5
REDINGTON-FAIRVIEW GENERAL HOSPITAL,5
"FHC, INC.",4
MAJESCO,4
"GLOBAL AMERICAN STAFFING, INC.",4
"IT CATS, LLC",4
"MANAGEMENT HEALTH SYSTEMS, INC.",4
"TRC ENGINEERS, LLC",4
"COMPUNNEL SOFTWARE GROUP, INC.",4
RITE AID CORP.,3
"EPAM SYSTEMS, INC",3
"TYLER TECHNOLOGIES, INC.",3
COMPUTEK SOULUTIONS INC,3
PENOBSCOT RESPIRATORY,3
BOWDOIN COLLEGE,3
COMPUTER SCIENCES CORPORATION,3
VEDICSOFT SOLUTIONS LLC,3
HOSPITAL ADMINISTRATIVE DISTRICT #4,3
"AIT GLOBAL, INC",3
"XCELTECH, INC",3
SITA CORP,3
POLYCOR INC.,3
M&R CONSULTANTS CORPORATION,3
BUSINESS INTELLI SOLUTIONS INC,3
"TABNER, INC.",3
THE AROOSTOOK MEDICAL CENTER,2
"ORACLE AMERICA, INC.",2
PENOBSCOT VALLEY HOSPITAL,2
POLAR IT SERVICES INC,2
BANGOR CHINESE SCHOOL,2
"ADVAITAA TECHNOLOGIES, INC.",2
"QUEST IT SOLUTIONS, INC",2
BATES COLLEGE,2
"RANDSTAD TECHNOLOGIES, LP",2
"REHABCARE GROUP EAST, INC.",2
"RIYA HOSPITALITY, LLC",2
ERNST & YOUNG U.S. LLP,2
"AMERICAN PHYSICIANS, INC.",2
L.L. BEAN INC.,2
FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC.,2
