employer,num_workers
TATA CONSULTANCY SERVICES LIMITED,92
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,76
THE UNIVERSITY OF MISSISSIPPI,49
MISSISSIPPI STATE UNIVERSITY,46
UNIVERSITY OF SOUTHERN MISSISSIPPI,21
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,19
INFOSYS LIMITED,19
"ENTERGY SERVICES, INC",15
SUNFLOWER CONSOLIDATED SCHOOL DISTRICT,15
HATTIESBURG CLINIC P A,14
"TRANSCENDENT SOLUTIONS, INC.",13
MISSISSIPPI BAPTIST MEDICAL CENTER,12
"SEVEN SEAS TECHNOLOGIES, INC.",12
JACKSON STATE UNIVERSITY,9
BLUE CROSS & BLUE SHIELD OF MISSISSIPPI,7
DELTA STATE UNIVERSITY,6
"GLITTERSOFT GROUP, LLC",6
"FINANCIAL NEURAL COMPUTING, INC.",6
JEFFERSON MEDICAL ASSOCIATES P A,5
"SOUTHERN MEDICAL PARTNERS, L.L.C.",5
HOLLY SPRINGS SCHOOL DISTRICT,5
"IMPLEMENTATION TECHNOLOGIES CONSULTING, INC.",5
DURANT PUBLIC SCHOOL DISTRICT,5
BAPTIST MEMORIAL MEDICAL GROUP,5
GLOBAL TEACHERS SOLUTIONS LLC,5
AVANT HEALTHCARE PROFESSIONALS,5
"ITELLIGENCE, INC.",5
ERNST & YOUNG U.S. LLP,5
FAST ENTERPRISES LLC,5
SAKS FIFTH AVENUE LLC,4
MURPHY MARTIN M.D. PLLC,4
WALGREEN CO.,4
"HOWARD INDUSTRIES, INC.",4
HOLMES COUNTY SCHOOL DISTRICT,4
MISSISSIPPI COLLEGE,4
YAZOO CITY MUNICIPAL SCHOOL DISTRICT,4
"FNC, INC.",4
"AMORY HMA PHYSICIAN MANAGEMENT, LLC",4
BELHAVEN UNIVERSITY,4
"MILESTONE EDUCATIONAL SERVICES,INC",3
"CARDIOVASCULAR INSTITUTE OF THE SOUTH, APMC",3
"DIGESTIVE HEALTH CENTER, P.A.",3
DODO PIZZA USA RETAIL INC.,3
POPULUS GROUP LLC,3
"ITRON, INC.",3
"FAST ENTERPRISES, LLC",3
JONES COUNTY JUNIOR COLLEGE,3
BOMGAR CORPORATION,3
SOUTH CENTRAL REGIONAL MEDICAL CENTER,3
COMPUSHARP INC,3
"GLOBAL TEACHERS RESEARCH & RESOURCES, INC",3
AARON E HENRY COMMUNITY HEALTH SERVICES CENTER,3
MISSISSIPPI VALLEY STATE UNIVERSITY,3
"UNIPRES SOUTHEAST USA, INC.",3
"VASTIKA, INC.",3
WALTHALL COUNTY SCHOOL DISTRICT,3
BYTEWARE INC,3
"GALAXY SOFTWARE SOLUTIONS, INC",2
SOUTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,2
B&M FARMS INC,2
ST. ANDREW'S EPISCOPAL SCHOOL,2
"ST. DOMINIC MEDICAL ASSOCIATES, LLC",2
LUVATA GRENADA LLC,2
STANDEX INTERNATIONAL CORPORATION,2
"GENLYTE THOMAS GROUP, LLC (A PHILIPS-OWNED COMPANY)",2
"SAGE GROUP CONSULTING, INC.",2
CHESS AG FULL HARVEST PARTNERS LLC,2
"COMPUNNEL SOFTWARE GROUP, INC.",2
GREENWOOD PUBLIC SCHOOL DISTRICT,2
"ITRACE FOUNDATION, INC.",2
ALCORN STATE UNIVERSITY,2
MEMORIAL HOSPITAL AT GULFPORT,2
MUDIAM INC,2
PRESBYTERIAN CHRISTIAN SCHOOL,2
"MICROEXCEL, INC",2
EAST JASPER SCHOOL DISTRICT,2
"MICROINFO IT,INC",2
"MIDSOUTH INFECTIOUS DISEASE ASSOCIATES, PLLC",2
MURPHY MARTIN M D PLLC,2
"INTEGRATED MANAGEMENT SERVICES, PA",2
MISSISSIPPI BLOOD SERVICES,2
PEARL RIVER COMMUNITY COLLEGE,2
ANDERSON REGIONAL MEDICAL CENTER,2
ORION SYSTEMS INTEGRATORS LLC,2
HTN WIRELESS INC.,2
THINK ANEW LLC,2
"MISSISSIPPI NEPHROLOGISTS, LLC",2
NEONATAL SERVICES LTD,2
HITACHI CONSULTING CORPORATION,2
"CORTELCO, INC.",2
"WILLIAMS-SONOMA, INC.",2
UNITED IT SOLUTIONS INC,2
"BATTLES PARTIES, EVENTS AND CARRY-OUTS",2
"HEALTH CAROUSEL, LLC",2
GREENVILLE PUBLIC SCHOOL DISTRICT,2
GREENWOOD LEFLORE HOSPITAL,2
LARA TEKIES INC,2
"LENNOX INDUSTRIES, INC.",2
"SOFTCORP INTERNATIONAL, INC.",2
"SOFTECH INTERNATIONAL RESOURCES, INC.",2
KEMPER COUNTY SCHOOL DISTRICT,2
N O KRONFOL M D P A,2
"SERAPHIM SOLAR USA MANUFACTURING, INC.",2
CLARKSDALE MUNICIPAL SCHOOL DISTRICT,2
JONAM SYSTEMS INC,2
"RELIABLE SOFTWARE RESOURCES, INC.",1
RETZER RESOURCES,1
RSR UNLIMITED INC.,1
"RYDER SYSTEM, INC.",1
"SAVI TECHNOLOGIES, INC",1
SBASE TECHNOLOGIES INC,1
SCHLUMBERGER TECHNOLOGY CORPORATION,1
"SCHULZ XTRUDED PRODUCTS, LP",1
SENATOBIA CHILDREN'S CLINIC PC,1
"SESHADRI RAJU, M.D., P.A.",1
"SIEMENS INDUSTRY, INC.",1
"SIERRA INFOSYS, INC",1
SKYHAWKE TECH LLC,1
SKYHAWKE TECHNOLOGIES LLC,1
"SMART WORKS, LLC",1
"SOFTWARE PARADIGMS INTERNATIONAL GROUP, LLC",1
SOUTH MISSISSIPPI NEPHROLOGY PLLC,1
SOUTHERN IONICS INC.,1
"SOUTHERN SOILS LAB, INC",1
SREE INFOTECH LLC,1
STA-HOME HEALTH & HOSPICE INC,1
STARKVILLE OKTIBBEHA CONSOLIDATED SCHOOL DISTRICT,1
STATEWIDE FEDERAL CREDIT UNION,1
STEEL DYNAMICS COLUMBUS LLC,1
"STRIBLING EQUIPMENT, LLC",1
STYLECRAFT HOME COLLECTION INC.,1
SUPER SAVER LLC,1
SWIFT TECH LLC,1
"SYNTHESIS SYSTEMS, INC.",1
"TALENTED IT, INC.",1
"TCSWARE, INC.",1
TEKNATIO INC,1
TEKSOFT SYSTEMS INC,1
"TELEDYNE OPTECH, INC.",1
THE CURATORS OF THE UNIVERSITY OF MISSOURI,1
THE GREENVILLE CLINIC P A,1
"THE NIELSEN COMPANY (US), LLC",1
"THE OMO GROUP, INC.",1
TORQUE TECHNOLOGIES LLC,1
TOUGALOO COLLEGE,1
TSQ SYSTEMS INC,1
"USA YEAST COMPANY, LLC",1
VALENT USA CORPORTATION,1
"VICKSBURG HEALTHCARE, LLC",1
WILLIAM CAREY UNIVERSITY,1
"XERIUM TECHNOLOGIES, INC.",1
"XTGLOBAL, INC.",1
"SYNERGY HOME FURNISHINGS, LLC",1
AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER,1
ABB INC.,1
"ACLAT, INC.",1
"AGREEYA SOLUTIONS, INC.",1
"AKZO NOBEL PULP AND PERFORMANCE CHEMICALS, INC.",1
"AMERICAN BUSINESS SOLUTIONS, INC.",1
"AURO PRO SYSTEMS, INC",1
"AXIS, INC.",1
BAPTIST MEMORIAL HOSPITAL-GOLDEN TRIANGLE,1
"BATESVILLE HMA MEDICAL GROUP, LLC",1
"BILOXI HMA PHYSICIAN MANAGEMENT, LLC",1
BORGWARNER EMISSIONS SYSTEMS LLC,1
"BUNGE NORTH AMERICA, INC.",1
BURROWS PAPER CORPORATION,1
"BYTEFIELD, INC.",1
"CARR, RIGGS & INGRAM, LLC",1
"CENTER FOR TOXICOLOGY AND ENVIRONMENTAL HEALTH, LLC",1
CERTIFIED HOSPITALITY CORP,1
"CHENOA INFORMATION SERVICES, INC.",1
"CIBER, INC.",1
CITY OF JACKSON,1
CLAIBORNE COUNTY SCHOOL DISTRICT,1
CODE ACE SOLUTIONS INC,1
"COOPER LIGHTING, LLC",1
COPIAH-LINCOLN COMMUNITY COLLEGE,1
COSMIC-I LLC,1
"CYIENT, INC.",1
DELOITTE & TOUCHE LLP,1
DELTA REGIONAL MEDICAL CENTER,1
"DOUBLE QUICK, INC.",1
"EDUCATING AFRICANS FOR CHRIST, INC.",1
ENVISTA LLC,1
FIM GROUP,1
FIRST CLASS LINEN LLC,1
FIRST PRESBYTERIAN CHURCH,1
G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER,1
"GALAXY SOFTWARE SOLUTIONS, INC.",1
GEORGIA-PACIFIC MONTICELLO LLC,1
"GLOBAL DATA MART, INC",1
"GLOBAL INFORMATION TECHNOLOGY, INC",1
GRAMMER INC.,1
GREATER MERIDIAN HEALTH CLINIC INC,1
"GULF COAST CHILDREN'S CLINIC, PA",1
"GULF PINE ENERGY, LP",1
"HATTIESBURG CLINIC, P.A.",1
"HCL AMERICA, INC.",1
HELEN OF TROY NEVADA CORPORATION,1
HTC GLOBAL SERVICES INC.,1
HTN WIRELESS LLC,1
"IBRAIN TECHNOLOGIES, INC.",1
ICC CABLE CORP.,1
"IMPULSE MONITORING, INC.",1
ISG-LOTUS  INC,1
ISG-LOTUS INC,1
"ITECH US, INC.",1
ITSYNTAX INC,1
JADA FINANCIAL LLC,1
JEFFERSON MEDICAL ASSOCIATES,1
JEFFERSON MEDICAL ASSOCIATES P. A.,1
"JINDAL TUBULAR USA, LLC",1
KAIZEN TECHNOLOGIES INC.,1
"KASAI NORTH AMERICA, INC.",1
"LIGHTHEART, SANDERS AND ASSOCIATES, INC.",1
"LILAX TECHNOLOGIES, INC.",1
LOGIC BRIDGE INC.,1
LOGIC PLANET INC,1
"LTC PHARMACY SOLUTIONS, LLC",1
"M-TEK, INC.",1
"MADISON HMA PHYSICIAN MANAGEMENT, LLC",1
"MADISON SERVICES, INC.",1
"MANAGEMENT HEALTH SYSTEMS, INC.",1
MCCOMB CHILDREN'S CLINIC,1
MCCOMB SCHOOL DISTRICT,1
MERIDIAN PUBLIC SCHOOL DISTRICT,1
MISSISSIPPI DEPARTMENT OF EDUCATION,1
"MISSISSIPPI INPATIENT MEDICINE ASSOCIATES, PLLC",1
"MOON RIVER FOODS, INC.",1
"MORTGAGE BUSINESS TRADE HOLDING CO., LLC",1
MORTGAGE TRADE BUSINESS HOLDING CO. LLC,1
"MORTGAGE TRADE BUSINESS HOLDING CO., LLC",1
"MORTGAGE TRADE HOLDING CO., LLC",1
MURPHY MARTIN MD PLLC,1
MURPHY S MARTIN M.D. PLLC,1
N. O. KRONFOL M.D. P.A.,1
N. SUNFLOWER MEDICAL CENTER,1
"NAMITUS TECHNOLOGIES, INC.",1
"NARENDRA  A  DOLIA, LLC",1
"NATCHEZ CLINIC COMPANY, LLC",1
NETTLETON SCHOOL DISTRICT,1
"NORTH AMERICAN GAMING, INC.",1
NORTH MISSISSIPPI MEDICAL CENTER,1
NORTH MISSISSIPPI MEDICAL CLINICS INC.,1
"NOTRUM LABORATORIES, INC.",1
NOXUBEE COUNTY SCHOOL DISTRICT,1
NU INFO SYSTEMS INC.,1
"OPEN ACCESS TECHNOLOGY INTERNATIONAL, INC.",1
"OPUS MANAGEMENT GROUP JACKSON, LLC",1
"ORACLE AMERICA, INC.",1
PEAVEY ELECTRONICS CORPORATION,1
PEDIATRIX MEDICAL GROUP OF MISSISSIPPI,1
PROLIFICS INC.,1
PURSUE ENERGY CORPORATION,1
R-SQUARED PUCKETT INC.,1
REED FOOD TECHNOLOGY,1
