employer,num_workers
INFOSYS LIMITED,199
"PROKARMA, INC.",112
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,86
"TECH MAHINDRA (AMERICAS),INC.",76
UNIVERSITY OF NEBRASKA MEDICAL CENTER,69
WIPRO LIMITED,52
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,50
UNION PACIFIC RAILROAD,40
BLUE CROSS BLUE SHIELD OF NEBRASKA,35
THE PHYSICIAN NETWORK,28
"CSG SYSTEMS, INC.",24
PHYSICIANS MUTUAL INSURANCE COMPANY,24
VIRTUSA CORPORATION,22
WEST CORPORATION,20
ACCENTURE LLP,20
"FIRST DATA TECHNOLOGIES, INC.",19
DELOITTE CONSULTING LLP,18
TATA CONSULTANCY SERVICES LIMITED,17
"D2SOL, INC.",16
"SARKIT, INC.",16
ALEGENT CREIGHTON CLINIC,16
"GALLUP, INC.",16
UNMC PHYSICIANS,15
"E PRO TECHNOLOGIES, LLC",15
"HEXAWARE TECHNOLOGIES, INC.",15
"TECH MAHINDRA (AMERICAS), INC.",14
"TELVENT DTN, LLC",13
CREIGHTON UNIVERSITY,13
"WERNER ENTERPRISES, INC.",13
UNIVERSITY OF NEBRASKA AT OMAHA,12
HCL GLOBAL SYSTEMS INC,12
FIRST NATIONAL BANK OF OMAHA,11
"CABELA'S, INC.",11
"FIRST DATA RESOURCES, LLC",11
"ORIENTAL TRADING COMPANY, INC.",10
CAPGEMINI AMERICA INC,10
"PHOTON INFOTECH, INC.",10
IBM INDIA PRIVATE LIMITED,9
"NORTH PLATTE, NEBRASKA HOSPITAL CORPORATION",9
TECH MAHINDRA (AMERICAS) INC.,9
DELOITTE & TOUCHE LLP,8
"HAYNEEDLE, INC.",8
ACI WORLDWIDE CORP.,8
"HDR, INC.",7
MUTUAL OF OMAHA INSURANCE COMPANY,7
COMPUTER SCIENCES CORPORATION,7
"PAYPAL, INC.",7
"NELNET BUSINESS SOLUTIONS, INC.",6
"VALMONT INDUSTRIES, INC.",6
"W/H/I/P SYSTEMS, LLC D/B/A AROGHIA GROUP, LLC",6
"NEBRASKA FURNITURE MART, INC.",6
"LI-COR, INC.",6
"KEARNEY REGIONAL MEDICAL CENTER, LLC",6
"GORDMANS STORES, INC.",6
DELL MARKETING L.P.,6
IBM CORPORATION,6
FIRST DATA MERCHANT SERVICES CORPORATION,5
MORRILL COUNTY COMMUNITY HOSPITAL,5
"MOODY'S ANALYTICS, INC.",5
"V-SOFT CONSULTING GROUP, INC",5
MONOLITH MATERIALS,5
ELECTION SYSTEMS & SOFTWARE LLC,5
"BUILDING ENERGY SOLUTIONS & TECHNOLOGY, INC.",5
POPULUS GROUP LLC,5
"HCL AMERICA, INC.",5
VEDICSOFT SOLUTIONS LLC,5
ERNST & YOUNG U.S. LLP,5
KIEWIT CORPORATION,5
"TFL, INC.",5
"CYIENT, INC.",5
"DEVCARE SOLUTIONS, LTD.",5
"LINCOLN TECHNOLOGY SOLUTIONS, LLC",5
CABELA'S,4
FAITH REGIONAL PHYSICIAN SERVICES LLC,4
CONNECT WORLD LLC,4
NELNET BUSINESS SOLUTIONS INC.,4
UNIVERSITY OF NEBRASKA AT KEARNEY,4
SAPPHIRE SOFTWARE SOLUTIONS INC,4
GOPA IT CONSULTANTS INC.,4
"APEX INFORMATICS, LLC",4
MRC INFORMATION TECHNOLOGY INC,4
"PYRAMID TECHNOLOGY SOLUTIONS, INC",4
SPRUCE TECHNOLOGY INC.,4
"ONLY IT CONSULTING, LLC",4
"TRANSACTION APPLICATIONS GROUP, INC.",4
"ECLOUD LABS,INC.",3
"FRONTIER TECHNOLOGIES, LLC",3
NEBRASKA  DEPARTMENT OF LABOR,3
"FYRA ENGINEERING, LLC",3
COOLSOFT LLC,3
"COOLSOFT, LLC",3
NORTHERN NATURAL GAS COMPANY,3
"NTT DATA, INC.",3
"ONEWORLD COMMUNITY HEALTH CENTERS, INC.",3
PIERSON WIRELESS CORP.,3
POLAR IT SERVICES INC,3
PS TECHNOLOGY INC,3
"HENDERSON HEALTH CARE SERVICES, INC.",3
CYBERTHINK INC,3
"INFOFREE.COM, LLC",3
SARAYU CONSULTANTS INC,3
"INFOSMART TECHNOLOGIES, INC",3
SOGETI USA LLC,3
"SOGETI USA, LLC",3
"INSTITUTE FOR ENVIRONMENTAL HEALTH, INC.",3
DELOITTE TAX LLP,3
IT RESONANCE INC.,3
TEK LEADERS INC,3
THE MARY LANNING MEMORIAL HOSPITAL ASSOCIATION,3
ECHELON IT INC,3
EMETEORS INC,3
TUV RHEINLAND MOBILITY INC.,3
CNET GLOBAL SOLUTIONS INC,3
LINDSAY CORPORATION,3
COMMITPOINT INC.,3
LOGIC PLANET INC,3
VISTA APPLIED SOLUTIONS GROUP INC,3
"MACPRACTICE, INC.",3
FATHER FLANAGAN'S BOYS' HOME,3
"APLOMB TECHNOLOGIES, INC.",2
"STRATEGIC RESOURCES INTERNATIONAL, INC.",2
"IMCS GROUP, INC.",2
IDRIL SERVICES CORPORATION,2
"IDOL SOFT, INC.",2
WESTERN NEBRASKA COMMUNITY COLLEGE,2
RMH FRANCHISE HOLDINGS INC,2
IT AMERICA INC,2
"HUMETIS TECHNOLOGIES, INC.",2
NATIONAL INDEMNITY COMPANY,2
"ITC INFOTECH (USA), INC.",2
CENTRAL COMMUNITY COLLEGE,2
CENTRAPRISE CORP,2
"CUBIC TECHNOLOGIES, LLC",2
AGFA HEALTHCARE CORPORATION,2
JNIT TECHNOLOGIES,2
TALENT9 INC,2
BROWN COUNTY HOSPITAL,2
"RELIANT VISION GROUP, INC",2
"TAYLOR COMMUNICATIONS, INC.",2
JZW INTERNATIONAL DEVELOPMENT LLC,2
CHILDREN'S HOSPITAL & MEDICAL CENTER,2
BROWSE INFO SOLUTIONS INC,2
CSC COVANSYS CORPORATION,2
HITACHI CONSULTING CORPORATION,2
"REINKE MANUFACTURING COMPANY, INC.",2
"TECHNOCRAFT SOLUTIONS, LLC",2
CABELA'S INC.,2
"TEK SERVICES, LLC",2
REGIONAL WEST PHYSICIANS CLINIC,2
TEKGENCE INC.,2
"RALCORP HOLDINGS, INC.",2
RAAS INFOTEK LLC,2
E-BUSINESS INTERNATIONAL INC.,2
ARCHER DANIELS MIDLAND COMPANY,2
QUADRANT 4 SYSTEM CORPORATION,2
"COMPUNNEL SOFTWARE GROUP, INC.",2
"QISON, INC.",2
ACI INFOTECH INC.,2
THE NEBRASKA MEDICAL CENTER,2
BANK OF THE WEST,2
POPULUS GROUP,2
FLOWSERVE U.S. INC.,2
"THINC SYSTEMS, INC",2
ARKSTEK INC,2
KURT SALMON US INC.,2
"MIDWEST CLOUD COMPUTING, L.L.C.",2
"PITNEY BOWES PRESORT SERVICES, INC.",2
TRI-CON INDUSTRIES LTD.,2
"TRI-CON INDUSTRIES, LTD.",2
"PEDIATRIC PARTNERS, LLC",2
"TRIBOLATECH, INC.",2
LEAD IT CORPORATION,2
CLOUD SOFT INC,2
FIRST TEK DOS LLC,2
"YASH TECHNOLOGIES, INC.",2
CAPGEMINI FINANCIAL SERVICES USA INC,2
"YASHCO SYSTEMS, INC.",2
GREEN PLAINS INC.,2
GREEN AND ASSOCIATES,2
"ENDURANCE GROUP, INC.",2
"GOLD COAST IT SOLUTIONS, LLC",2
AMPLE IT SERVICES LLC,2
"GLOBAL IT EXPERTS, INC.",2
GLAXOSMITHKLINE CONSUMER HEALTHCARE HOLDINGS (US) LLC,2
"ATP USA, INC.",2
UNIVERSITY OF NEBRASKA OMAHA,2
AMERICA SALES LEADS LLC,2
NEXTGEN SOLUTIONS INC,2
"CONAGRA FOODS, INC.",2
"FIDELITY NATIONAL MANAGEMENT SERVICES, LLC",2
NEBRASKA WESLEYAN UNIVERSITY,2
MINDTREE LIMITED,2
"NEBRASKA PEDIATRIC PRACTICE, INC",2
"LOGIC PLANET, INC.",2
NEBRASKA MEDICINE,2
"ERP ANALYSTS, INC.",2
NEBRASKA GAME AND PARKS COMMISSION,2
ZENITHTECH SOLUTIONS INC.,2
"AURO PRO SYSTEMS, INC",2
NEBRASKA DEPARTMENT OF LABOR,2
"NCI INFORMATION SYSTEMS, INC.",2
"ZIETA TECHNOLOGIES, LLC",2
SERVESYS CORPORATION,2
SHINEWELL TECHNOLOGIES INC.,2
SIERRA CONSULTING INC.,2
MADONNA REHABILITATION HOSPITAL,2
SIRI INFOSOLUTIONS INC.,2
"INFOGROUP, INC.",2
"INFOGROUP, INC",2
"DAITRON, INC.",2
NAVAYUGA INFOTECH LLC,2
FREMONT HEALTH,2
SARKIT INC.,2
INFOGEN SOFTWARE INC.,2
SPARTAN SOLUTIONS INC,2
SACRED HEART HEALTH SERVICES,2
"MAGANTI IT RESOURCES, LLC",2
ST. WENCESLAUS CATHOLIC CHURCH,2
DATAFORMIX TECHNOLOGIES INC,2
"ADECCO GROUP NA/MODIS, INC.",2
SVAM INTERNATIONAL INC.,1
SVK SYSTEMS INC,1
"SWIFT BEEF COMPANY, A JBS USA SUBSIDIARY",1
SWIFT SOLUTIONS INC,1
SYNAPSIS INC,1
"SYNECHRON, INC.",1
SYSTEM SOFT TECHNOLOGIES LLC,1
TACHYON TECHNOLOGIES LLC,1
"TALENT PLUS, INC.",1
TANISHA SYSTEMS INC,1
TD AMERITRADE HOLDING CORPORATION,1
TDT CORPORATION,1
"TEAM FINANCIAL MANAGEMENT SYSTEMS, INC.",1
TEK TREE LLC,1
TENNECO AUTOMOTIVE OPERATING COMPANY INC.,1
"TERADATA OPERATIONS, INC.",1
"TERRACON CONSULTANTS, INC.",1
"THE MASCHHOFFS, LLC",1
THE MSR GROUP,1
THE RODENBURG GROUP INCORPORATED,1
THE SCOULAR COMPANY,1
"THOMAS AND BETTS POWER SOLUTIONS, LLC",1
TIC-THE INDUSTRIAL COMPANY,1
"TIGERPAW SOFTWARE, INC.",1
TRIARCH IT SOLUTIONS,1
"TSYS MERCHANT SOLUTIONS, LLC",1
TT TECHNOLOGIES INC,1
"TURF INDUSTRY, INC.",1
TWILIGHTLIVING.COM INC.,1
TWO95 INTERNATIONAL INC.,1
UNION COLLEGE,1
UNIVERSITY OF NEBRASKA,1
UNIVERSITY OF NEBRASKA LINCOLN,1
UNIVERSITY OF NEBRASKA MEDICAL CTR,1
VAJRA INSTRUMENTS,1
VALLEY COUNTY HOSPITAL,1
"VALUELABS, INC.",1
"VELAGA ASSOCIATES, INC.",1
"VERTEX CONSULTING SERVICES, INC.",1
"VEYANCE TECHNOLOGIES, INC.",1
"VM INNOVATIONS, INC.",1
"W-H-I-P SYSTEMS, LLC",1
WAYNSYS INC,1
WEBILENT TECHNOLOGY INC,1
"WESTCHESTER CAPITAL MANAGEMENT, INC.",1
WOODMEN OF THE WORLD LIFE INSURANCE SOCIETY,1
WOODMEN OF THE WORLD LIFE INSURANCE SOCIETY AND/OR OMAHA WOODMEN LIFE,1
XORIANT CORPORATION,1
YAHOO! INC.,1
YESMAIL.COM,1
"YMCA OF HASTINGS, NEBRASKA",1
YORK GENERAL HOSPITAL,1
ZYLOG SYSTEMS LTD.,1
LEO A DALY,1
"3I INFOTECH, INC.",1
3S BUSINESS CORPORATION,1
"4S TECHNOLOGIES, LLC",1
9TO9 SOFTWARE SOLUTIONS LLC,1
"ABENGOA BIOENERGY NEW TECHNOLOGIES, INC.",1
"ACI WORLDWIDE, CORP.",1
"AGREEYA SOLUTIONS, INC.",1
"AIRYSOFT, INC",1
"AIT GLOBAL, INC",1
ALEGENT CREIGHTON HEALTH,1
ALEGENT CREIGHTON HEALTH D/B/A CHI HEALTH,1
ALORICA INC.,1
AMERITAS LIFE INSURANCE CORP.,1
"AMZUR TECHNOLOGIES, INC",1
"ANU SOFTWARE CONSULTANTS, INC.",1
APIGEE CORPORATION,1
APPLIED INFORMATION MANAGEMENT INSTITUTE,1
ARIS TELERADIOLOGY PROFESSIONAL CORPORATION,1
"AZEE SYSTEMS, INC.",1
"BAILEY LAUERMAN & ASSOCIATES, INC.",1
"BALDWIN FILTER, INC.",1
BANYAN MEDICAL SYSTEMS INC.,1
"BECTON, DICKINSON AND COMPANY",1
BELLEVUE UNIVERSITY,1
"BENAISSANCE, LLC",1
BIOTARGET LLC,1
"BROADGATE, INC.",1
BRYAN MEDICAL CENTER,1
"BUILDERS WAREHOUSE, INC.",1
BUSINESS INTELLI SOLUTIONS INC,1
"C & A INDUSTRIES, INC.",1
C-VISION INC,1
"CALIFORNIA CREATIVE SOLUTIONS, INC.",1
CANOPY ONE SOLUTIONS INC,1
"CANVAS INFOTECH, INC.",1
CAPRUS IT INC,1
"CAPSTONE CONSULTING, INC.",1
"CARESOFT GLOBAL, INC.",1
"CARGILL, INCORPORATED",1
"CELERION, INC.",1
CENTER FOR RURAL AFFAIRS,1
CENTERS FOR DISEASE CONTROL AND PREVENTION/DHHS,1
"CENTRAPRISE, CORP",1
CHASE COUNTY COMMUNITY HOSPITAL,1
CHERRY COUNTY HOSPITAL,1
CHILDREN'S HOSPTIAL AND MEDICAL CENTER,1
"CHYY (USA), LLC, F/K/A HRC LEASING COMPANY, LLC",1
"CIBER, INC.",1
"CITY OF OMAHA, A MUNICPAL CORPORATION",1
CLIENT SOFTWARE SERVICES LLC,1
COLLEGE OF ST. MARY,1
COMMUNITY ALLIANCE REHABILITATION SERVICES,1
"COMMUNITY MEDICAL CENTER, INC.",1
"COMMUNITY PHARMACY SERVICES, INC.",1
CONTRACT STAFFING SPECIALISTS,1
CORPORATE COMPUTER SOLUTIONS LLC,1
"COVANEX, INC.",1
"COVEY SOFTWARE SYSTEMS, INC",1
CQUENT SYSTEMS INC,1
"CRITICALRIVER, INC.",1
CROWN GLOBAL CONSULTING LLC,1
CYBAGE SOFTWARE INC,1
"DATA-CORE SYSTEMS, INC",1
"DATABASEUSA.COM, LLC",1
"DATAFORMIX TECHNOLOGIES, INC",1
"DAZ SYSTEMS, INC.",1
"DESIGN DATA, INC.",1
DIZER CORP,1
DKAN CORPORATION,1
"DONALD J MEIS, DDS, PC",1
"DONALD J. MEIS, DDS, PC",1
DOUGLAS COUNTY CIVIL SERVICE COMMISSION,1
DREAM WARRIOR GROUP,1
DSBRIDGE CORP,1
EAST CENTRAL DISTRICT HEALTH DEPARTMENT,1
"EASYWAY INTERNATIONAL, LLC",1
