employer,num_workers
CAPGEMINI AMERICA INC,92
INFOSYS LIMITED,81
AKKEN INC,78
DATASERV INC,76
XCHANGING SOLUTIONS (USA) INC,69
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,65
DARTMOUTH COLLEGE,53
TATA CONSULTANCY SERVICES LIMITED,44
"DICE IT SOLUTIONS, LLC",32
"AMERICAN IT RESOURCE GROUP, INC.",30
ACCENTURE LLP,30
UNIVERSITY OF NEW HAMPSHIRE,29
DECISIONWAVE TECHNOLOGIES INC,28
"KBACE TECHNOLOGIES, INC.",27
DELOITTE CONSULTING LLP,24
DARTMOUTH-HITCHCOCK CLINIC,22
TRIANZ CONSULTING INC.,18
FIDELITY TECHNOLOGY GROUP LLC,18
"LIBERTY MUTUAL GROUP, INC.",17
SPARK IT CORP,17
MARY HITCHCOCK MEMORIAL HOSPITAL,16
"TECH MAHINDRA (AMERICAS),INC.",16
NATIONAL FINANCIAL LLC,14
"C AND S WHOLESALE GROCERS, INC.",14
"VASTIKA, INC.",12
JPMORGAN CHASE & CO.,10
LIBERTY MUTUAL GROUP INC.,10
FMR CO INC.,10
TECHNOSOFT CORPORATION,10
IGATE TECHNOLOGIES INC.,10
"ORACLE AMERICA, INC.",10
ZENITH SOFTWARE INC.,10
UNIQUE SYSTEM SKILLS LLC,9
QUALITY MATRIX INC,9
"CAMP SYSTEMS INTERNATIONAL, INC.",9
WIPRO LIMITED,9
"APPS ASSOCIATES, LLC",9
TRIANZ CONSULTING INC,9
LRGHEALTHCARE,9
"PARALLEL WIRELESS, INC.",9
HIGHDATA SOFTWARE CORPORATION,8
MAJESCO,8
FIDELITY BROKERAGE SERVICES LLC,8
DELL MARKETING L.P.,8
"LONZA BIOLOGICS, INC.",8
"RANDSTAD TECHNOLOGIES, LP",8
"ARISTA NETWORKS, INC.",8
WENTWORTH-DOUGLASS PHYSICIAN CORPORATION,7
INTEL MASSACHUSETTS,7
"INFOSYS PUBLIC SERVICES, INC.",7
"CIT BANK, N.A.",7
DILIGENT GROUP LLC,7
AVANT SYSTEMS INC,7
SOUTHERN NEW HAMPSHIRE UNIVERSITY,7
VENSIT CORP,6
AMPHENOL TCS,6
"ANSYS, INC.",6
PAV IT GLOBAL INC,6
"ALLEGRO MICROSYSTEMS, LLC",6
CSI SOLUTIONS LLC,6
IT VERTEX INC,6
LEAD IT CORPORATION,5
IBM CORPORATION,5
SIRI INFOSOLUTIONS INC.,5
"PROFICIENT BUSINESS SYSTEMS, INC.",5
TEXAS INSTRUMENTS INCORPORATED,5
ERICSSON INC.,5
FIPROS LLC,5
"NESS USA, INC.",5
"PROTEGE, LLC",5
"FUJITSU AMERICA, INC.",5
STEM XPERT LLC,4
DEKA RESEARCH & DEVELOPMENT CORP.,4
HCL GLOBAL SYSTEMS INC,4
DELL PRODUCTS L.P.,4
"GENESIS ELDERCARE REHABILITATION SERVICES, LLC",4
"FUSION PLUS SOLUTIONS, INC",4
FMR LLC,4
FIDELITY EMPLOYERS SERVICES LLC,4
EMD MILLIPORE CORPORATION,4
THE LIFE IS GOOD COMPANY,4
"SYMBIOSYS SOLUTIONS, INC.",4
"PEARSON EDUCATION, INC.",4
"CD-ADAPCO NEW HAMPSHIRE CO., LTD.",4
"OSRAM SYLVANIA, INC.",4
"NEWMARKET INTERNATIONAL, INC.",4
"V-SOFT CONSULTING GROUP, INC",4
"DATAGRAVITY, INC.",4
"PC CONNECTION, INC.",3
MM INFO SOLUTIONS INC.,3
