employer,num_workers
UNIVERSITY OF OKLAHOMA,86
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,72
OKLAHOMA STATE UNIVERSITY,70
IBM INDIA PRIVATE LIMITED,56
LARSEN & TOUBRO INFOTECH LIMITED,54
WISE EQUATION SOLUTIONS INC.,53
WIPRO LIMITED,52
INTALENT LLC,42
ACCENTURE LLP,40
CAPGEMINI AMERICA INC,33
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,25
"THINC SYSTEMS, INC",24
INVOLGIXS INC,24
QUARDENT INC.,23
MURPHY-BROWN LLC,21
OKLAHOMA MEDICAL RESEARCH FOUNDATION,20
"PAYCOM PAYROLL, LLC",19
"TERADATA OPERATIONS, INC.",18
"TECH MAHINDRA (AMERICAS),INC.",18
SLK AMERICA INC,16
INFOSYS LIMITED,16
ERNST & YOUNG U.S. LLP,16
PHILLIPS 66 COMPANY,15
"VISUAL BI SOLUTIONS, INC.",15
"FUJITSU AMERICA, INC.",14
UNIVERSITY OF CENTRAL OKLAHOMA,13
JENKS PUBLIC SCHOOLS,13
"POWER COSTS, INC.",12
SCHLUMBERGER TECHNOLOGY CORPORATION,11
DELOITTE & TOUCHE LLP,11
"HEXAWARE TECHNOLOGIES, INC.",11
DEVON ENERGY CORPORATION,11
SEABOARD FOODS LLC,10
LARSEN AND TOUBRO INFOTECH LIMITED,9
DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,9
DELOITTE CONSULTING LLP,9
THE UNIVERSITY OF TULSA,9
"MSCI, INC.",9
L&T TECHNOLOGY SERVICES LIMITED,8
TATA CONSULTANCY SERVICES LIMITED,8
CHOCTAW NATION HEALTH SERVICES AUTHORITY,8
COMANCHE COUNTY HOSPITAL AUTHORITY,8
"MERCY HOSPITAL OKLAHOMA CITY, INC.",7
SCINTILLA SOFT INC,7
BAKER HUGHES INCORPORATED,7
"THE SAMUEL ROBERTS NOBLE FOUNDATION, INC.",7
"KEYBRIDGE TECHNOLOGIES, INC.",6
PREFERRED FAMILY HEALTHCARE,6
CONOCOPHILLIPS COMPANY,6
"ITELLIGENCE, INC.",6
"L&T TECHNOLOGY SERVICES, LTD.",6
"INTEGRIS HEALTH, INC.",6
TELEFLORA LLC,5
"MERCY CLINIC OKLAHOMA COMMUNITIES, INC.",5
SBASE TECHNOLOGIES INC,5
SAINT FRANCIS HEALTH SYSTEM,5
ROGERS STATE UNIVERSITY,5
"DECISION TREE CONSULTING, LLC",5
DECISION TREE CONSULTING LLC,5
"ABYSSUS, INC",5
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",5
"AMERICAN AIRLINES, INC.",5
AETHER DBS,5
NORTHEASTERN STATE UNIVERSITY,5
AMONGIT INC,5
"BITECH, INC.",5
"COMPUNNEL SOFTWARE GROUP, INC.",4
MPHASIS CORPORATION,4
"MPW ENGINEERING, LLC",4
"HALLIBURTON ENERGY SERVICES, INC.",4
"NAVICO, INC.",4
AMERICAN ELECTRIC POWER,4
OKLAHOMA BAPTIST UNIVERSITY,4
OKLAHOMA CITY UNIVERSITY,4
AMERICAN INFORMATION TECHNOLOGY CORPORATION,4
OKLAHOMA STATE UNIVERSITY - INSTITUTE OF TECHNOLOG,4
"CHESAPEAKE OPERATING, LLC",4
DOVE SCIENCE ACADEMY,4
DOVE SCIENCE ACADEMY-TULSA,4
CHOCTAW NATION OF OKLAHOMA,4
IGATE TECHNOLOGIES INC.,4
POPULUS GROUP LLC,4
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,4
"QUEST GLOBAL SERVICES-NA, INC",4
"ROBINSON BROTHERS PORK, INC.",4
"IT RESOURCES, INC.",4
BITECH INC,4
"ANU SOFTWARE CONSULTANTS, INC.",4
"LITHKO CONTRACTING, INC.",4
CYMA SYSTEMS INC,4
"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC.",4
MCALESTER REGIONAL HEALTH CENTER,4
VALUE ADDED PRODUCTS,4
VEDICSOFT SOLUTIONS LLC,4
"CARESOFT GLOBAL, INC.",4
WALGREEN CO.,4
"DELL SOFTWARE, INC.",4
GC & S CO. (TRANSPACIFIC INC.),3
JMD INFORMATICS LLC,3
"FRACTIONATION RESEARCH, INC.",3
LATINO COMMUNITY DEVELOPMENT AGENCY,3
"VARIETY CARE, INC.",3
SLK AMERICA INC.,3
