employer,num_workers
INFOSYS LIMITED,505
"CVS PHARMACY, INC.",133
TATA CONSULTANCY SERVICES LIMITED,125
CAPGEMINI AMERICA INC,63
BROWN UNIVERSITY,61
ALTIMETRIK CORP,51
IBM INDIA PRIVATE LIMITED,51
DELL MARKETING L.P.,43
"CITIZENS FINANCIAL GROUP, INC.",40
"UNIVERSITY MEDICINE FOUNDATION, INC.",30
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,29
"HCL AMERICA, INC.",27
DASSAULT SYSTEMES SIMULIA CORP.,27
"PROVIDENCE COMMUNITY HEALTH CENTERS, INC.",27
UNIVERSITY OF RHODE ISLAND,27
ACCENTURE LLP,26
WIPRO LIMITED,22
"RANDSTAD TECHNOLOGIES, LP",17
"WEBJECT SYSTEMS, INC.",17
LIFESPAN PHYSICIAN GROUP INC.,15
L&T TECHNOLOGY SERVICES LIMITED,15
FIDELITY BROKERAGE SERVICES LLC,14
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",14
DELOITTE CONSULTING LLP,13
"SECUREWORKS, INC.",12
IGATE TECHNOLOGIES INC.,12
SYSCONS CORPORATION,11
"FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC.",10
"AFFINITY PHYSICIANS, LLC",10
"COMPUNNEL SOFTWARE GROUP, INC.",9
"GRANDISON MANAGEMENT, INC.",9
US DOT NETWORKS INC,9
SYSTEM SOFT TECHNOLOGIES LLC,8
RHODE ISLAND HOSPITAL,8
ERNST & YOUNG U.S. LLP,8
NATIONAL FINANCIAL LLC,8
THE MIRIAM HOSPITAL,8
DILIGENT GROUP LLC,8
"V-SOFT CONSULTING GROUP, INC",7
"CAREMARK, LLC",7
PAV IT GLOBAL INC,6
BUSITANTS INC,6
RHODE ISLAND SCHOOL OF DESIGN,6
"HEMATOLOGY & ONCOLOGY ASSOCIATES OF RHODE ISLAND, INC.",6
TECHSTAR CONSULTING INC,6
"FIRST TEK , INC.",6
CYBERTHINK INC,6
DATAQUEST CORP,6
PROVIDENCE COLLEGE,6
THUNDERMIST HEALTH CENTER,6
IT VERTEX INC,6
"DELASOFT, INC.",6
VISTA APPLIED SOLUTIONS GROUP INC,6
CSI SOLUTIONS LLC,6
"NEW ENGLAND IT ASSOCIATES, INC.",6
FACTORY MUTUAL INSURANCE COMPANY,6
IGT GLOBAL SOLUTIONS CORPORATION,6
CONTINENTAL HUB FOR INFO PROCESSING INC,5
"RELIABLE SOFTWARE RESOURCES, INC.",5
ADAEQUARE INC,5
IT AMERICA INC,5
"SSB SOFTWARE TECHNOLOGIES, INC.",5
INNOVATE SOLUTIONS INC,5
HNI MEDICAL SERVICES,5
"BLACKSTONE VALLEY COMMUNITY HEALTH CARE, INC.",5
"HYPERTENSION AND NEPHROLOGY, INC.",5
"W/H/I/P SYSTEMS, LLC D/B/A AROGHIA GROUP, LLC",5
"PROSPECT CHARTERCARE PHYSICIANS, LLC",5
CAPRUS IT INC,5
"SCHNEIDER ELECTRIC USA, INC.",4
"ALEX AND ANI, INC.",4
SBASE TECHNOLOGIES INC,4
"ACADIA TECHNOLOGIES, INC.",4
IMATRIX CORP,4
ERNST &AMP; YOUNG U.S. LLP,4
RHODE ISLAND COLLEGE,4
ASTIR IT SOLUTIONS INC.,4
"PROLIFICS, INC.",4
"WISSEN INFOTECH, INC.",4
LEAD IT CORPORATION,4
KFORCE INC.,4
FMR CO INC.,4
NATSOFT CORPORATION,4
CAVALIER IT INC.,4
DATASERV INC,4
INTONE NETWORKS INC.,4
"3I INFOTECH, INC.",3
"CODE ACE SOLUTIONS, INC.",3
MAKRO TECHNOLOGIES INC,3
"MANTROSE-HAEUSER COMPANY, INC.",3
FIDELITY TECHNOLOGY GROUP LLC,3
COMMUNITY CARE ALLIANCE,3
FMR LLC,3
"NARTAL SYSTEMS, INC.",3
NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,3
AMICA MUTUAL INSURANCE COMPANY,3
NORTHWEST COMMUNITY HEALTH CARE,3
NVESTTECH INC,3
OASYS TECHNOLOGIES INC,3
HASBRO MANAGERIAL SERVICES LLC,3
PRIME HEALTHCARE SERVICES - LANDMARK LLC,3
HEADSTRONG SERVICES LLC,3
"HEWLETT-PACKARD STATE & LOCAL ENTERPRISE SERVICES, INC.",3
"HUMAC, INC.",3
PYRAMIS GLOBAL ADVISORS LLC,3
CAPGEMINI FINANCIAL SERVICES USA INC,3
"QUICK FITTING, INC.",3
"ASTA CRS, INC.",3
IBM CORPORATION,3
ICON INTERNATIONAL INC.,3
SAMITI TECHNOLOGY INC.,3
INCESSANT TECHNOLOGIES NA INC,3
SAPIENT CORPORATION,3
INFOGEN SOFTWARE INC.,3
SIRI INFOSOLUTIONS INC.,3
CEDENT CONSULTING INC,3
"SOFTLABS NA, INC",3
AUMNI GROUP,3
"INNOVATIVE INFORMATION TECHNOLOGIES, INC.",3
"IT CATS, LLC",3
AAA GLOBAL TECHNOLOGIES LLC,3
KENZAN MEDIA LLC,3
AZHVAS INC,3
LAKSAN TECHNOLOGIES LLC,3
UNITED SOFTWARE GROUP INC.,3
"USM BUSINESS SYSTEMS, INC.",3
CLAIRVOYANT TECHNOSOLUTIONS INC.,3
LAPIS SOFTWARE ASSOCIATES LLC,3
VEDICSOFT SOLUTIONS LLC,3
VISION SYSTEMS INC.,3
ETEAM SOLUTIONS INC,3
WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,3
"X-RAY ASSOCIATES, INC.",3
"XTGLOBAL, INC.",3
"YASH SOLUTIONS, LLC",3
M&R CONSULTANTS CORPORATION,3
ZEBRA TECHNOLOGIES CORPORATION,3
"INFOMERICA, INC.",2
DILEONARDO INTERNATIONAL INC.,2
"INFORMATION RESOURCES, INC.",2
MOURI TECH LLC,2
GSSR INC,2
"MORLOGIC, INC.",2
"GSS INFOTECH CT, INC.",2
LETHYA GROUP INC.,2
W.R.COBB COMPANY,2
"PARK AVENUE SENIOR CARE, INC.",2
DW MATRIX INC,2
SOVEREIGN TECHNOLOGIES LLC,2
SQA CONCEPTS INC,2
"MNCL, INC.",2
CENTRAPRISE CORP,2
ABACUS SERVICE CORPORATION,2
STELLENT SOLUTIONS INC,2
"STONEWALL SOLUTIONS, INC.",2
"STRATEGIC RESOURCES INTERNATIONAL, INC.",2
INTERNATIONAL EDUCATION PARTNERS LLC,2
SUNMERGE SYSTEMS INC.,2
EAST BAY COMMUNITY ACTION PROGRAM,2
"INTERPRO, INC.",2
OVERBROOK INCORPORATED,2
IPOLARITY LLC,2
"CENTRAPRISE, CORP",2
ALFA SERVICES USA INC,2
ISITE TECHNOLOGIES INC,2
OSPYN TECHNOLOGIES INC,2
SYNERGY GLOBAL TECHNOLOGIES INC.,2
"OSHEAN, INC.",2
ORION SYSTEMS INTEGRATORS LLC,2
FIRST OBJECT INC,2
GLOBAL INFOTECH INC,2
"T3C, INC. DBA RETAIL SOLUTIONS, INC.",2
ITCOMMENCE INC,2
TALENT9 INC,2
TANISHA SYSTEMS INC,2
"APPLIED SCIENCE ASSOCIATES, INC.",2
"ITECH US, INC.",2
JEAN MARTIN INC,2
"ALINDUS, INC.",2
ELEMENT TECHNOLOGIES INC.,2
ON SEMICONDUCTOR,2
"ADROIT ASSOCIATES, INC.",2
"LIGHTHOUSE COMPUTER SERVICES, INC.",2
"COLLISION CENTER DESIGN, LLC",2
TEKGENCE INC.,2
"EMBRACE HOME LOANS, INC.",2
"NTT DATA, INC.",2
EXPEDENT CORP,2
"TERADATA OPERATIONS, INC.",2
ENDUE CORP,2
THE BEACON MUTUAL INSURANCE COMPANY,2
L AND T TECHNOLOGY SERVICES LIMITED,2
ACMEVISTA INC,2
NS IT SOLUTIONS LLC,2
NOVISYS LLC,2
"THE NEUROLOGY FOUNDATION, INC.",2
"THE PROVIDENCE CENTER, INC.",2
"L&T TECHNOLOGY SERVICES, LTD.",2
THIELSCH ENGINEERING,2
THRIVETEK INC,2
"CRITICAL RESOURCE TECHNOLOGY, INC.",2
META DIMENSIONS INC.,2
CITADEL INFORMATION SERVICES INC.,2
"ANESTHESIA CARE, INC.",2
"FIDELITY INVESTMENTS INSTITUTIONAL SERVICES COMPANY, INC.",2
