employer,num_workers
SOUTH DAKOTA STATE UNIVERSITY,41
TATA CONSULTANCY SERVICES LIMITED,41
MY3TECH INC,35
SANFORD CLINIC,21
UNIVERSITY OF SOUTH DAKOTA,17
AVERA MCKENNAN,15
SIOUX FALLS SCHOOL DISTRICT 49-5,13
NIIT TECHNOLOGIES LIMITED,11
SANFORD RESEARCH,9
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,9
SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY,9
COMPUTER SCIENCES CORPORATION,6
"VALLEY QUEEN CHEESE FACTORY, INC.",6
RAPID CITY REGIONAL HOSPITAL,4
HCL GLOBAL SYSTEMS INC,4
"INFECTIOUS DISEASE SPECIALISTS, PC",4
"CEGA INNOVATIONS, LLC",3
PROXIM SYSTEMS INC,3
SANFORD SCHOOL OF MEDICINE OF THE UNIVERSITY OF SOUTH DAKOTA RESIDENCY,3
AVERA ST. LUKE'S HOSPITAL,3
DAKOTA STATE UNIVERSITY,3
TODD COUNTY SCHOOL DISTRICT,3
BLACK HILLS STATE UNIVERSITY,3
TIOSPAYE TOPA SCHOOL,2
PRAIRIE RIDGE DAIRIES LLC,2
"ASPIRE SYSTEMS, INC.",2
SSATECH INC,2
"DOCUTAP, INC",2
AVANT HEALTHCARE PROFESSIONALS,2
"MINNTRONIX, INC.",2
"PHILIP HEALTH SERVICES, INC.",2
NIC INFO TEK INC,1
NORTHERN STATE UNIVERSITY,1
"ORACLE FINANCIAL SERVICES SOFTWARE, INC.",1
"PIC USA, INC.",1
POET LLC,1
"PREMIER BANKCARD, LLC",1
PRESENTATION COLLEGE,1
SAINT FRANCIS INDIAN SCHOOL,1
"SENCORE, INC",1
"SGT, INC.",1
SOUTH DAKOTA SCIENCE AND TECHNOLOGY AUTHORITY,1
SOUTH DAKOTA SCIENCE TECHNOLOGY AUTHORITY,1
"SPARKPRO SOLUTIONS,INC.",1
"SPARTAN MOTORS USA, INC.",1
SYSTEM SOFT TECHNOLOGIES LLC,1
TALLGRASS PUBLIC RELATIONS,1
TECH MAHINDRA (AMERICAS) INC.,1
"TECH MAHINDRA (AMERICAS),INC.",1
"TECHPILLARS, INC.",1
"TYSON FOODS, INC.",1
USDA/AGRICULTURAL RESEARCH SERVICE,1
VERTICAL BRIDGE MANAGEMENT LLC,1
"AFFIRM, INC.",1
YASHRAJ TECHNOLOGIES INC,1
"ANTIMICROBIAL MATERIALS, INC.",1
AVERA GETTYSBURG HOSPITAL,1
BCS BIOMASS LLC,1
BENNETT & PLESS INC.,1
BROTHERS PHARMACIES INC.,1
BUSINESS RESOURCES LTD,1
CAPGEMINI AMERICA INC,1
CAPGEMINI FINANCIAL SERVICES USA INC,1
CAPGEMINI FINANCIAL SERVICES USA INC. (LEGACY KANBAY),1
CNET GLOBAL SOLUTIONS INC,1
CRAZY HORSE SCHOOL,1
CYBERTHINK INC,1
"DAKOTA TURKEY GROWERS, LLC",1
DAMIAN CONSULTING INC,1
DELOITTE CONSULTING LLP,1
ELITE IT SOLUTIONS INC,1
ERNST & YOUNG U.S. LLP,1
"FUJITSU AMERICA, INC.",1
"GARRET TENBROEK CPA, PC",1
HITACHI CONSULTING CORPORATION,1
INFOSYS LIMITED,1
INFOTECH DYNAMICS INC,1
INTRINSIC MATERIALS CORP,1
INUTEQ LLC,1
JEAN LOU'S MASSAGE AND REFLEXOLOGY,1
JUDGE TECHNICAL SERVICES INC,1
"KRIDDHA TECHNOLOGIES, INC.",1
"L AND T TECHNOLOGY SERVICES, LTD.",1
LARSEN AND TOUBRO INFOTECH LIMITED,1
MOBRIDGE REGIONAL HOSPITAL,1
