employer,num_workers
INFOSYS LIMITED,2777
"TECH MAHINDRA (AMERICAS),INC.",1390
TATA CONSULTANCY SERVICES LIMITED,1278
ACCENTURE LLP,1161
WIPRO LIMITED,1050
IBM INDIA PRIVATE LIMITED,1025
CAPGEMINI AMERICA INC,993
"HCL AMERICA, INC.",770
DELOITTE CONSULTING LLP,745
ERNST & YOUNG U.S. LLP,453
IBM CORPORATION,414
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,335
"NEMO IT SOLUTIONS, INC",318
DELL MARKETING L.P.,317
SCHLUMBERGER TECHNOLOGY CORPORATION,302
"DELTA SYSTEM & SOFTWARE, INC",281
BAYLOR COLLEGE OF MEDICINE,278
ERICSSON INC.,269
DALLAS INDEPENDENT SCHOOL DISTRICT,255
ADVISEAN LLC,248
THE UNIVERSITY OF TEXAS AT AUSTIN,232
MYTHRI CONSULTING LLC,226
"TASACOM TECHNOLOGIES, INC.",225
THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,222
DELL USA L.P.,216
"TECH MAHINDRA (AMERICAS), INC.",214
"AMERICAN AIRLINES, INC.",206
DELL PRODUCTS L.P.,195
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,192
COMPUTEK SOULUTIONS INC,188
VEDICSOFT SOLUTIONS LLC,183
"CIGNITI, INC.",179
MPHASIS CORPORATION,173
SINGULAR ANALYSTS INC,170
8K MILES HEALTH CLOUD INC,170
TEXAS A&M UNIVERSITY,169
"YASH & LUJAN CONSULTING, INC.",162
TEXAS INSTRUMENTS INCORPORATED,161
SABRE GLBL INC.,158
"INOVANT, LLC",156
NICHE SOFTWARE SOLUTIONS INC,151
DELOITTE & TOUCHE LLP,143
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,142
LARSEN & TOUBRO INFOTECH LIMITED,142
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",135
"V-SOFT CONSULTING GROUP, INC",135
UNIVERSITY OF HOUSTON SYSTEM,134
JPMORGAN CHASE & CO.,132
L&T TECHNOLOGY SERVICES LIMITED,131
"CAPITAL ONE SERVICES, LLC",129
MICROINFO INC,128
STEM XPERT LLC,127
HITACHI CONSULTING CORPORATION,127
SAPOT SYSTEMS INC,127
CAMELOT INTEGRATED SOLUTIONS INC,126
DAMIAN CONSULTING INC,123
"PREMIER IT SOLUTIONS, INC",123
"VSION TECHNOLOGIES, INC.",122
"MAVRICK SOFTWARE AND TELECOM SERVICES, INC.",122
TEXAS TECH UNIVERSITY,122
CEDENT CONSULTING INC,121
YANA SOFTWARE INC,120
"APPSTEK, INC",117
CB&I INC.,116
AIKYA INFORMATION SYSTEMS INC,115
INTEL CORPORATION,114
IGATE TECHNOLOGIES INC.,114
"HALLIBURTON ENERGY SERVICES, INC.",112
UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,112
GLOBAL IT INC,108
KPMG LLP,108
BANK OF AMERICA N.A.,106
X-EDE IT SOLUTIONS LLC,106
TECH THEME SOLUTIONS INC,105
TECH MAHINDRA (AMERICAS) INC.,104
UST GLOBAL INC,103
NOKIA SOLUTIONS AND NETWORKS US LLC,103
"CHEMTEX ENVIRONMENTAL LABORATORY, INC.",103
QUADRANT RESOURCE LLC,102
MAKDI SOFTWARE SERVICES LLC,102
AMERICAN TECH VISION SOLUTIONS LLC,101
"TECHNIP USA, INC.",100
AVANT SYSTEMS INC,100
ECONTENTI INC.,99
"NTT DATA, INC.",99
TEK LEADERS INC,99
CNET GLOBAL SOLUTIONS INC,97
STIAOS TECHNOLOGIES INC,97
APPLE INC.,94
"SAGE IT, INC.",94
"TECHPILLARS, INC.",93
KA-SAPSOLUTIONS INC,92
HOUSTON INDEPENDENT SCHOOL DISTRICT,92
KINECTRA LLC,92
ZUSYS,91
"RACKSPACE US, INC.",91
HEWLETT PACKARD ENTERPRISE COMPANY,91
INTALENT LLC,89
INFODAT INTERNATIONAL INC,89
"ADVANCED MICRO DEVICES, INC.",89
GLOBUS IT INCORPORATED,89
"HEXAWARE TECHNOLOGIES, INC.",89
SIGMA SOFTWARE LLC,88
CAPRUS IT INC,88
MINDTREE LIMITED,88
VERIZON DATA SERVICES LLC,87
"ORACLE AMERICA, INC.",87
"SAMSUNG AUSTIN SEMICONDUCTOR, L.L.C.",87
"SAIPSIT, INC.",87
"SWIFT TECHNOLOGIES, INC.",84
SYSTEM SOFT TECHNOLOGIES LLC,83
"QUEST IT SOLUTIONS, INC",83
SAIBERSYS INC,83
"ORCHESTRA TECHNOLOGY, INC",83
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,83
W.M. RICE UNIVERSITY,83
SHINEWELL TECHNOLOGIES INC.,83
"NATIONAL OILWELL VARCO, L.P.",81
"SUN SOFT TECHNOLOGIES, INC",80
"ELAN TECHNOLOGIES, INC.",80
KIRANAM TECHNOLOGIES INC,80
LANCO GLOBAL SYSTEMS INC,79
IT SPIN INC,79
KASTECH SOLUTIONS LLC,79
PARAMOUNT GLOBAL SOLUTIONS INC,79
"CORE IT SOLUTIONS, INC",78
UST GLOBAL INC.,78
TRANS AMERICAN INFORMATION SYSTEMS INC,78
BIRLASOFT INC,78
ACCEL INTERNATIONAL INC.,77
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,77
"COMPUNNEL SOFTWARE GROUP, INC.",76
"RANDSTAD TECHNOLOGIES, LP",76
THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,76
PRICEWATERHOUSECOOPERS LLP,75
CLOUD BIG DATA TECHNOLOGIES LLC,75
MICROSOFT CORPORATION,74
TECHORBIT INC,72
"SELSOFT, INC.",72
BAKER HUGHES INCORPORATED,72
STRATEGIC STAFFING IT INC,71
GENPACT LLC,70
HCL GLOBAL SYSTEMS INC,70
"CAREMARK, LLC",69
"OBERON IT, INC.",68
CROWD SOFTWARE CONSULTING LLC,68
"ADS ALLIANCE DATA SYSTEMS, INC.",68
VDRIVEINFO INC,68
"AKT, LLC.",67
NATIONAL INSTRUMENTS CORPORATION,67
CONOCOPHILLIPS COMPANY,66
PEGAFRAME INFOTECH INC,66
"PIXAWARE TECHNOLOGIES, LLC",66
"NAMITUS TECHNOLOGIES, INC.",66
INVOLGIXS INC,65
"KBR, INC.",65
"INDEED, INC.",64
"SCORG INTERNATIONAL USA, INC.",63
"ARM, INC.",63
GENUINEIT LLC,63
TECHNOLABS INC,62
PALVAI GLOBAL SERVICES INC,62
HIRACLE INC,62
"VIRTUOSO TECHNOLOGIES, INC.",61
INFOSMART SYSTEMS INC,61
"JACKSON THERAPY PARTNERS HOLDINGS, LLC",61
VECTRA INFOSYS INC.,61
TECHNOZANT LLC,60
"VERITIS GROUP, INC.",60
"HEALTH CAROUSEL, LLC",60
SOFTWARE GLOBAL LTD.,60
"KELLY MAXSON, INC. [DUNS#079237324]",59
"MICROINFO IT,INC",59
SAPIENT CORPORATION,59
ERNST &AMP; YOUNG U.S. LLP,59
THE UNIVERSITY OF TEXAS AT DALLAS,59
"XTGLOBAL, INC.",59
CLOUD HYBRID TECHNOLOGIES LLC,59
"CIRRUS LOGIC, INC.",58
GOKATECH INC,58
WHIZ IT SOLUTIONS INC,58
IMG SYSTEMS INC,57
VALTECH SOLUTIONS INC.,57
"VISUAL BI SOLUTIONS, INC.",57
"INTELLECT BUSINESS SOLUTIONS, LLC",57
"CYIENT, INC.",57
"FREESCALE SEMICONDUCTOR, INC.",56
CHEVRON CORPORATION,56
DELOITTE &AMP; TOUCHE LLP,56
K-TEK RESOURCING LLC.,55
NATIONSTAR MORTGAGE LLC,55
THE UNIVERSITY OF TEXAS AT ARLINGTON,55
"YASME SOFT, INC.",55
"S&R PROFESSIONALS,L.P.",54
SYSTIME COMPUTER CORPORATION,54
"FUJITSU AMERICA, INC.",54
DELTA GLOBAL SERVICES LLC,54
MSIT SYSTEMS INC,54
CLOUDPOINT SYSTEMS INC,54
"MERITIOUS SERVICES, INC.",53
"BECHTEL OIL, GAS & CHEMICALS, INC.",53
LENORA SYSTEMS INC,53
SOFTIMA INC,52
JNIT TECHNOLOGIES,52
PRINCIPLE INFORMATION TECHNOLOGY COMPANY,52
TECHMAGIX INC,52
ADEPTMAX CORPORATION,51
SILICON LABORATORIES INC.,51
"CITICORP CREDIT SERVICES, INC. (USA)",51
SREE INFOTECH LLC,50
EXPANDTREE INC,50
"SYNECHRON, INC.",50
TACHYON TECHNOLOGIES LLC,50
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,50
DELOITTE TAX LLP,49
TELECOMGATEWAY LLC,49
"INTERNATIONAL TECHNOLOGIES PRO, LLC",49
"MARUTHI TECHNOLOGIES, LLC",49
SRIVEN SYSTEMS INC.,48
"EBS-MINDS IT, INC",48
SYSHA INC,47
MUDIAM INC,47
BP AMERICA INC.,47
"CVS RX SERVICES, INC.",47
"EZ2 TECHNOLOGIES, INC.",47
THE METHODIST HOSPITAL RESEARCH INSTITUTE,47
"CISCO SYSTEMS, INC.",47
"CAPGEMINI AMERICA, INC.",47
"FLUOR ENTERPRISES, INC.",46
ITEAM INC,46
3S BUSINESS CORPORATION,46
SAYEON LLC,45
"SLRI SOLUTIONS, LLC",45
"MANAGEMENT HEALTH SYSTEMS, INC.",45
SCHRILL TECHNOLOGIES INC.,45
"ENTERPRISE IT RESOURCES, INC",45
AMENSYS INC.,45
AMDOCS INC.,45
COMPUTER GLOBAL SOLUTIONS INC,45
ADEPT SCRIPTS,45
"PVR AMERICA, INC.",44
THE UNIVERSITY OF TEXAS AT EL PASO,44
LANDMARK GRAPHICS CORPORATION,44
EBS-MINDS IT INC,44
E3 GLOBAL INC.,43
"HP ENTERPRISE SERVICES, LLC",43
MYAPPSHUB LLC,43
TNP SYSTEMS LLC,43
FIDELITY TECHNOLOGY GROUP LLC,43
"TECHLEAP SYSTEMS, INC",43
"GENUINEIT, LLC",43
"WEATHERFORD INTERNATIONAL, LLC",43
SYNTEL CONSULTING INC.,42
HEIGHTS GLOBAL IT SERVICE CORPORATION,42
ADVENT GLOBAL SOLUTIONS INC.,42
"EXA DATA SOLUTIONS, INC",42
AMMA HOLDINGS LLC,41
"3CORE SYSTEMS, INC.",41
"RITE SOFTWARE SOLUTIONS AND SERVICES, LLC",41
HEIGHTS GLOBAL IT SERVICE,41
KEYMOUZ TECHNOLOGIES INC,40
LERA TECHNOLOGIES LLC,40
ETEAM SOLUTIONS INC,40
"SQUEEZE MOBILE, LLC",40
"ALCATEL-LUCENT USA, INC. (DBA NOKIA)",39
"SIERRA INFOSYS, INC",39
"ROVER RESOURCES, INC.",39
ASTUTEONE CORP,39
BRAINWARE INC,39
"KYRO4 SOLUTIONS, INC.",39
"ASCII GROUP, LLC",39
THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,39
SANTANDER CONSUMER USA INC.,38
"IKON TECH SERVICES, LLC",38
LOGIXHUB LLC,38
TEXAS A&M AGRILIFE RESEARCH,38
"IKON SYSTEMS, LLC",38
GENERIC SOLUTIONS INC.,38
TEXAS A&M HEALTH SCIENCE CENTER,38
"PHOTON INFOTECH, INC.",38
INFOGAIN CORPORATION,37
"NABORS CORPORATE SERVICES, INC.",37
ORBITTEK INC,37
MERGEN IT LLC,37
"CIBER, INC.",37
"FLEXERA GLOBAL, INC",37
"ADALISOFT, INC.",37
"LUCID TECHNOLOGIES, INC.",37
SHELL INTERNATIONAL EXPLORATION AND PRODUCTION INC.,37
