Company,new_foreign_worker_count
Bartlett Regional Hospital,4
"COLUMBIA SUSSEX MANAGEMENT, LLC",3
WASILLA KOREAN BAPTIST CHURCH,2
UNIVERSITY OF ALASKA,2
BTY Dental Group LLC,2
"CH2M HILL, INC.",2
"INTERNATIONAL SEAFOODS OF ALASKA, INC.",1
SITKA SCHOOL DISTRICT,1
"BAKER HUGHES, INC.",1
CONOCOPHILLIPS COMPANY,1
YUKON-KUSKOKWIM HEALTH CORPORATION,1
Bethel Korean Full Gospel Church,1
Kootznahoo-Fortress Of The Bear,1
GLACIER DENTAL LLC,1
"GoNorth RV Camper Rental, LLC",1
BANNER MEDICAL GROUP,1
MIRSONS INTERNATIONAL LLC D/B/A PRINCESS JEWELERS,1
MICHALSEN PARTNERSHIP.LLC,1
NANA WorleyParsons LLC,1
GCI,1
VITUS ENERGY LLC,1
"ARKANSAS INDUSTRIAL MACHINERY, INC.",1
ALL ALASKA TOURS,1
Don Jose's LLC,1
ALASKA REGIONAL MEDICAL GROUP LLC,1
NIKKIS LITTLE ANGELS CHILD CARE MANAGEMENT INC.,1
"POPULUS GROUP, LLC",1
"McKinley Capital Management, LLC",1
"WATER UNDER LOCK, INC",1
