Company,new_foreign_worker_count
"George's Processing, Inc.",234
WAYNE FARMS LLC,56
"WAL-MART ASSOCIATES, INC.",41
L.J. Smith and Associates,16
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,16
UNIVERSITY OF ARKANSAS,10
LIBERTYCOM LLC,9
PEARLSOFT SOLUTIONS INCORPORATED,8
PROTECH SOLUTIONS INC,8
ACXIOM CORPORATION,7
PRIME PHYSICIANS LLC,6
"J.B. HUNT TRANSPORT, INC",6
LISA ACADEMY,6
ARKANSAS STATE UNIVERSITY,5
SOUTHERN ARKANSAS UNIVERSITY,5
WHITE RIVER HEALTH SYSTEM,5
"WAVELETSOFT TECHNOLOGIES, INC.",4
TRANSAMERICA LIFE INSURANCE COMPANY,4
MAVERICK TUBE CORPORATION,4
TECSOURCE INTERNATIONAL LLC,4
GEORGE'S PROCESSING INC.,4
MERCY CLINIC FORT SMITH COMMUNITIES,3
"HP ENTERPRISE SERVICES, LLC",3
INTERNEXT CORPORATION,3
"CISCO SYSTEMS, INC.",2
"Lionbridge Technologies, Inc",2
Bradley County Medical Center,2
MICROSOFT CORPORATION,2
"SCA Pharmaceuticals, LLC",2
