Company,new_foreign_worker_count
INTEL CORPORATION,209
AMERICAN EXPRESS TRAVEL RELATED SERVICES,100
"INTRAEDGE, INC",91
"FREESCALE SEMICONDUCTOR, INC.",42
MICROCHIP TECHNOLOGY,28
KOLLA SOFT INC,26
BANNER MEDICAL GROUP,26
MINDTREE LIMITED,22
AXWAY INC.,21
Fyffe Masonry & Plastering,20
"AVNET, INC.",18
ARIZONA STATE UNIVERSITY,17
"CAREMARK, L.L.C.",17
"Humac, Inc.",16
6TUBA CITY UNIFIED SCHOOL DISTRICT #15,15
THE UNIVERSITY OF ARIZONA,14
TEXAS INSTRUMENTS INCORPORATED,14
"CLAIRVOYANT, LLC",13
M3BI LLC,12
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",11
"SANTA RITA LANDSCAPING, INC.",11
NORTHERN ARIZONA UNIVERSITY,10
"CSAA Insurance Services, Inc.",9
AJO UNIFIED SCHOOL DISTRICT #15,9
"PAYPAL, INC.",9
WHITERIVER UNIFIED SCHOOL DISTRICT #20,9
CHOICE HOTELS INTERNATIONAL,8
"EARLY WARNING SERVICES, LLC",8
APOLLO EDUCATION GROUP INC.,8
