Company,new_foreign_worker_count
"MOUNTAIRE FARMS OF DELAWARE, INC",156
JP MORGAN CHASE & CO,68
BARCLAYS BANK DELAWARE,35
CAPITAL ONE SERVICES II LLC,31
"DELASOFT, INC",18
HALLMARK GLOBAL TECHNOLOGIES INC.,17
BANK OF AMERICA,17
COVANT SOLUTIONS INC,16
VENSOFT LLC,13
Mican Technologies Inc,13
UNIVERSITY OF DELAWARE,13
"APOGEE MEDICAL GROUP, DELAWARE, INC.",11
"HEADSTREAM, INC.",11
"TECHNO SOFT, INC",10
TEK TREE LLC,7
IT RESOURCES INC,7
"BLACKROCK CAPITAL MANAGEMENT, INC.",6
QUALITREE INC,6
RAAS INFOTEK LLC,5
"STREAMLINE TECHNOLOGIES, INC",5
WENOVA INC,5
HORIZON SYSTEMS INC,5
Springleaf General Services Corporation,4
GB TECH INC,4
"FARMERS GROUP, INC.",4
"CAPITAL ONE SERVICES, LLC",4
AAA MID-ATLANTIC,4
"CAPITAL ONE, NATIONAL ASSOCIATION",3
TEKSTROM INC,3
