Company,new_foreign_worker_count
KFORCE INC.,247
"PURE BEAUTY FARMS, INC",77
SYSTEM SOFT TECHNOLOGIES LLC,71
MUY PIZZA SOUTHEAST LLC,55
UNIVERSITY OF FLORIDA,43
NIC INFO TEK INC,36
DELOITTE CONSULTING LLP,32
FLORIDA STATE UNIVERSITY,31
UNIVERSITY OF MIAMI,26
KEEN INFO TEK INC,18
"ORACLE AMERICA, INC.",18
AMERICAN EXPRESS TRAVEL RELATED SERVICES,18
DECIPHER SOFTWARE SOLUTIONS LLC,15
VCARVE INC.,15
"AMZUR TECHNOLOGIES, INC.",14
JP MORGAN CHASE & CO,14
UNIVERSITY OF CENTRAL FLORIDA,14
"MODIS, INC.",13
"OFFICE DEPOT, INC.",13
"VERIZON COMMUNICATIONS INC., & ALL ITS SUBSIDIARIES & AFFILIATES",12
"INNOVATIVE SCHEDULING, LLC",12
THE HACKETT GROUP,12
Podzamsky LLC,11
"EPCOS, INC.",11
SYNIVERSE TECHNOLOGIES INC.,11
SRI TECH SOLUTIONS INC,11
ADVENTIST HEALTH SYSTEM/SUNBELT INC D/B/A FLORIDA,11
GLOBAL INFORMATION TECHNOLOGY INC.,11
"MOSAICIST, INC.",11
