Company,new_foreign_worker_count
"NORMAN W. FRIES, INC. D/B/A CLAXTON POULTRY FARMS",375
HARRISON POULTRY,183
WAYNE FARMS LLC,178
"KOCH FOODS OF CUMMING, LLC",119
"KOCH FOODS OF GAINESVILLE, LLC",111
"MANHATTAN ASSOCIATES, INC.",73
NIIT TECHNOLOGIES LIMITED,56
GWINNETT INTL FARMERS MARKET DBA NAM DAE MUN,50
GULFSTREAM AEROSPACE CORPORATION,50
TATUM BROTHERS TIMBER INC,50
DELOITTE CONSULTING LLP,49
SMARTSOFT INTERNATIONAL INC,40
"ROGER WOOD FOODS, INC.",39
AGILITY TECHNOLOGIES LLC,35
"VIRTUE GROUP, LLC.",34
AIRWATCH LLC,32
"VICTORY PROCESSING, LLC",30
TEK SERVICES LLC,30
"CHARTER GLOBAL, INC.",29
"Intercontinental Exchange Holdings, Inc.",29
"SVK SYSTEMS, INC.",29
"PARAMOUNT SOFTWARE SOLUTIONS, INC",29
"RAPIDIT, INC.",29
JCG FOODS OF GEORGIA LLC D/B/A KOCH FOODS,27
TECHPILLARS INC,26
ERICSSON INC.,25
"HOME DEPOT U.S.A., INC.",25
ORPINE INC,24
MACY'S SYSTEMS AND TECHNOLOGY,24
