Company,new_foreign_worker_count
UNIVERSITY OF HAWAII,10
Mistwalker Corporation,3
HAWAII MEDICAL SERVICE ASSOCIATION,3
HAWAIIAN TELCOM INC,2
HANATOUR USA INC,2
"UniValue Creations, LLC",2
"AECOM TECHNICAL SERVICES, INC.",2
H&K INC.,2
"NAN, INC.",2
S&J LEE CORP,1
Asia Mission Baptist Church,1
Inmarsat Mobile Networks Inc.,1
MONSANTO COMPANY,1
"SIK DO RAK, INC",1
SMMJ CO INC.,1
"Kona Coffee and Tea Company, Inc.",1
"KKM, LLC",1
Daylight Mind Coffee Company LLC,1
Gu Industrial & Business Corporation,1
VIP TOUR CORP,1
"PACRIM MARKETING GROUP, INC.",1
"Martin and MacArthur Enterprises, Ltd.",1
"HERBERT CHOCK & ASSOCIATES, INC.",1
Pacific Resources LLC,1
"CHOI'S RESTAURANT, INC.",1
"ROYAL HAWAII TOURS, INC.",1
"MERCURY TECHNOLOGY GROUP, INC.",1
THE QUEEN'S MEDICAL CENTER,1
"NICUSA, INC.",1
