Company,new_foreign_worker_count
UNIVERSITY OF IOWA,59
ROCKWELL COLLINS,36
AMERICAN TECHNOLOGY CONSULTING LLC,30
IOWA STATE UNIVERSITY,30
Premier Services Inc.,15
IOWA PHYSICIANS CLINIC MEDICAL FOUNDATION,14
"PIONEER CONSULTING SERVICES, LLC",13
"EINFOCHIPS, INC.",11
"INFINITE COMPUTING SYSTEMS, INC.",10
UNIVERSITY OF NORTHERN IOWA,10
"COVENANT MEDICAL CENTER, INC.",9
QUALITY CONSULTING INC DBA QCI,9
NATIONWIDE INSURANCE,7
LAUNCH IT CORP,7
PIONEER HI-BRED INTERNATIONAL INC.,7
DEERE & COMPANY,7
WHIRLPOOL CORPORATION,6
"APOGEE MEDICAL GROUP, IOWA, PC",5
TRANSAMERICA LIFE INSURANCE COMPANY,5
ECOM SOLUTIONS INC.,5
EPATHUSA INC.,5
"INFOWEB SYSTEMS, INC.",4
ATHENE ANNUITY AND LIFE COMPANY,4
METRO BUFFET INC,4
AMES IT AND NUMERIC SOLUTIONS,3
"CHANNEL FUSION, INC.",3
"ACT, INC.",3
"POPULUS GROUP, LLC",3
MIDAMERICAN ENERGY COMPANY,3
