Company,new_foreign_worker_count
"MICRON TECHNOLOGY, INC.",71
INTEL CORPORATION,11
UNIVERSITY OF IDAHO,9
BOISE STATE  UNIVERSITY,4
IDAHO STATE UNIVERSITY,3
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",3
BODYBUILDINGCOM LLC,3
DELOITTE & TOUCHE LLP,2
Z DATA INC.,2
"MELALEUCA, INC.",2
"SCHWEITZER ENGINEERING LABORATORIES, INC.",2
"APPLIED MATERIALS, INC.",2
J.R. SIMPLOT COMPANY,2
Online Music Guild,1
"APOGEE MEDICAL GROUP, IDAHO, PC",1
"YONG IN MASTER LEE'S TAEKWONDO, INC.",1
"SORRENTO LACTALIS, INC",1
"CEMENTATION USA, INC.",1
HEWLETT-PACKARD ENTERPRISE COMPANY,1
INTERPATH LABORATORY,1
"NANOMETRICS, INC.",1
MARVELL SEMICONDUCTOR INC,1
CHINA GRAND BUFFET INC.,1
"MICRON SEMICONDUCTOR PRODUCTS, INC.",1
ORIGINAL THAI LLC,1
KENNETH ANHDER,1
"STANDLEE HAY COMPANY, INC.",1
SENTIENT CORPORATION,1
GREATEST GOOD LLC,1
