Company,new_foreign_worker_count
CAPGEMINI FINANCIAL SERVICES USA INC.,366
CAPGEMINI U.S. LLC,129
DELOITTE CONSULTING LLP,83
LEAD IT CORPORATION,71
"YASH TECHNOLOGIES, INC.",68
SEARS HOLDINGS MANAGEMENT CORPORATION,54
DISCOVER PRODUCTS INC.,50
ELITE IT SOLUTIONS INC,42
SAVVY INFO SYSTEMS INC,42
CATERPILLAR INC.,40
ABBVIE INC.,39
GLOBAL INFOTECH INC,38
"CAREMARK, L.L.C.",38
ENOVA FINANCIAL,36
CAPITAL ONE SERVICES II LLC,35
SIRITEK INC,35
FRONTIER TECHNOLOGIES LLC,31
Bitwise Inc.,29
"MU SIGMA INC.,",28
ZENSAR TECHNOLOGIES INC.,28
MOTOROLA MOBILITY LLC,26
ERNST & YOUNG U.S. LLP,24
"MORNINGSTAR, INC.",23
ACCENTURE LLP,23
"LEX NIMBLE SOLUTIONS INC DBA ILBSG,INC",23
UNIVERSITY OF ILLINOIS AT CHICAGO,23
CCC INFORMATION SERVICES INC.,22
CHICAGO MERCANTILE EXCHANGE,22
MOTOROLA SOLUTIONS INC.,22
