Company,new_foreign_worker_count
UNIVERSITY OF KANSAS,24
DYNAMIC ITSOLUTIONS  INC,16
"GARMIN INTERNATIONAL, INC",15
SPRINT CORPORATION,15
"OBJECT TECHNOLOGY SOLUTIONS, INC",12
WICHITA STATE UNIVERSITY,11
SAICON CONSULTANTS INC,10
KANSAS STATE UNIVERSITY,9
BLACK & VEATCH CORPORATION,9
THE UNIVERSITY OF KANSAS MEDICAL CENTER,8
AGCO CORPORATION,8
PAYLESS SHOESOURCE,8
"NETAPP, INC.",7
ERICSSON INC.,6
CHELSOFT SOLUTIONS CO.,6
"INFOSOFT, INC.",6
EMPORIA STATE UNIVERSITY,6
STORMONT-VAIL HEALTHCARE,6
NUVENTO LLC,5
FUSION GLOBAL SOLUTIONS LLC,5
"GATEWAY SOLUTIONS, INC",5
"HOSPIRA, INC.",5
QUEST DIAGNOSTICS INCORPORATED,5
Great-West Life & Annuity Insurance Company,4
"CNET GLOBAL SOLUTIONS, INC",4
"VIA CHRISTI CLINIC, PA",4
GOODLAND REGIONAL MEDICAL CENTER,4
"JMA INFORMATION TECHNOLOGY, INC.",4
PAYSPOT INC.,3
