Company,new_foreign_worker_count
"RANDSTAD TECHNOLOGIES, LP",290
"THE MATHWORKS, INC.",162
EMC CORPORATION,129
"PATNI AMERICAS, INC.",113
SAPIENT CORPORATION,80
"ECLINICALWORKS, LLC",79
VIRTUSA CORPORATION,65
"STAPLES, INC.",58
AVCO CONSULTING INC,50
"THE DOTCOM.TEAM, LLC",49
"ORACLE AMERICA, INC.",49
"AKAMAI TECHNOLOGIES, INC.",49
"INTEL MASSACHUSETTS, INC.",48
"COLLABORATE SOLUTIONS, INC",43
MICROSOFT CORPORATION,32
UNIVERSAL SOFTWARE CORPORATION,32
ICONSOFT INC.,31
MAXIMA CONSULTING INC,28
CIMPRESS USA INCORPORATED,26
"AMADEUS NORTH AMERICA, INC.",23
DELOITTE CONSULTING LLP,22
VENTOIS INC,22
"BIOGEN, INC.",22
"NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH, INC.",22
NEW ENGLAND IT ASSOCIATES INC,20
ORASYS LLC,20
"NETAPP, INC.",18
TRIPADVISOR LLC,17
"CHARLES RIVER SYSTEMS, INC",17
