Company,new_foreign_worker_count
"INFOSYS PUBLIC SERVICES, INC",71
BALTIMORE CITY PUBLIC SCHOOL SYSTEM,44
"CLIENT NETWORK SERVICES, INC.",42
SCEPTER TECHNOLOGIES INC,31
"INOVALON, INC.",31
CHAGS HEALTH INFORMATION TECHNOLOGY LLC,25
"HUGHES NETWORK SYSTEMS, LLC",22
"BILL ME LATER, INC.",20
"QUALITY SOFTWARE SERVICES, INC.",19
UNIFY SOLUTIONS INC,17
PACE COMPUTER SOLUTIONS INC,16
Ramnarain L.C.,15
POLAR IT SERVICES INC,13
QUALITY SOFTWARE SERVICES INC,13
"CISCO SYSTEMS, INC.",12
"MARYLAND INPATIENT CARE SPECIALISTS, LLC",12
"T. ROWE PRICE ASSOCIATES, INC.",11
"MEDICAL SCIENCE & COMPUTING, INC.",11
INTERNATIONAL SOFTWARE SYSTEMS INC,11
PARADIGM INFOTECH INC,10
QUANTUM VISION LLC,9
"HH MEDSTAR HEALTH, INC.",9
PENINSULA REGIONAL MEDICAL CENTER,9
DRFIRST,9
TECKPROS LLC,9
GOVERNMENT EMPLOYEES INSURANCE COMPANY,8
"RETAIL SERVICES AND SYSTEMS, INC",8
THE JOHNS HOPKINS UNIVERSITY,8
MERKLE INC.,8
