Company,new_foreign_worker_count
CERNER CORPORATION,249
"GEORGE'S PROCESSING, INC.",95
"PERFICIENT, INC",45
MONSANTO COMPANY,36
THE CURATORS OF THE UNIVERSITY OF MISSOURI,26
MASTERCARD INTERNATIONAL INCORPORATED,20
UNIVERSITY OF CENTRAL MISSOURI,18
"SEVEN SEAS TECHNOLOGIES, INC.",18
"ENTERPRISE HOLDINGS, INC.",17
WASHINGTON UNIVERSITY IN ST. LOUIS,14
abhra Inc.,14
RESOURCE AMERICA INFORMATION TECHNOLOGY INC,13
HRB PROFESSIONAL RESOURCES LLC,13
MISSOURI STATE UNIVERSITY,12
MERCY CLINIC SPRINGFIELD COMMUNITIES,12
AMDOCS INC.,11
GEMINI CONSULTING AND SERVICES LLC,10
"NESTLƒ REGIONAL GLOBE OFFICE NORTH AMERICA, INC.",10
FRONTIER SCHOOLS INC.,9
"WORLD WIDE TECHNOLOGY HOLDING COMPANY, INC.",8
UNIVERSITY PHYSICIAN ASSOCIATES,7
"TETRASOFT, INC.",7
PROSPECT INFOSYS INC,7
ASCENSION HEALTH-IS,7
"AMITECH SOLUTIONS, INC.",7
"Zetta Data Systems, LLC",6
"CHARTER COMMUNICATIONS, INC.",6
ESSENCE GROUP HOLDINGS CORPORATION,6
SAINT LOUIS UNIVERSITY,5
