Company,new_foreign_worker_count
WAYNE FARMS LLC,39
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,12
THE UNIVERSITY OF MISSISSIPPI,10
MISSISSIPPI STATE UNIVERSITY,8
"AMERICA'S CATCH, INC.",6
"FNC, INC.",5
UNIVERSITY OF SOUTHERN MISSISSIPPI,4
"Steel Dynamics Columbus, LLC",3
HOLMES COUNTY SCHOOL DISTRICT,3
JEFFERSON MEDICAL ASSOCIATES,2
EAST JASPER SCHOOL DISTRICT,2
"HATTIESBURG CLINIC, PA",2
"North Mississippi Medical Clinics, Inc.",2
Amory HMA Physician Management LLC,2
MS STATE DEPARTMENT OF HEALTH,2
ALEXANDER FARMS LLC,2
DELTA REGIONAL MEDICAL CENTER,2
"ENTERGY SERVICES, INC",2
CLARKSDALE MUNICIPAL SCHOOL DISTRICT,2
BOMGAR CORPORATION,2
Kemper County Office of Superintendent Education,2
"SIEMENS ENERGY, INC.",1
Beauty Mark,1
"Electro-Mech, Inc.",1
SOUTH CENTRAL REGIONAL MEDICAL CENTER,1
PARKER HANNIFIN CORPORATION,1
Burrows Paper Corporation,1
"Jackson Cardiology Associates, P.A.",1
"H&T BEAUTY, INC.",1
